subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFF,8,ent,180,5,0.5,7,0.14678899082568808,0.10605504587155963,23,0.11940298507462686,False,3.128281354904175
YFF,9,hpc,900,1,0.2,7,0.1651376146788991,0.10555045871559633,9,0.04975124378109453,True,2.362064838409424
YFF,10,hpc,75,12,0.8,7,0.1926605504587156,0.10839449541284406,5,0.029850746268656716,True,4.105871677398682
YFF,11,hpc,300,3,0.5,7,0.13761467889908258,0.10288990825688074,34,0.17412935323383086,False,2.624875068664551
YFF,12,hpc,90,10,0.5,7,0.12844036697247707,0.10963302752293579,61,0.30845771144278605,False,3.493236541748047
YFF,13,hpc,100,9,0.2,7,0.2018348623853211,0.11307339449541284,1,0.009950248756218905,True,3.464914321899414
YFF,14,hpc,60,15,0.8,7,0.12844036697247707,0.10802752293577983,69,0.3482587064676617,False,4.703073501586914
YFF,15,hpc,60,15,0.2,7,0.10091743119266056,0.11692660550458717,145,0.7263681592039801,False,4.748654365539551
YFF,16,hpc,150,6,0.2,7,0.1743119266055046,0.11050458715596331,10,0.05472636815920398,False,3.839179039001465
YFF,26,hpc,60,15,0.2,7,0.14678899082568808,0.1143119266055046,38,0.19402985074626866,False,4.936112880706787
YFF,27,hpc,60,15,0.2,7,,,0,0.004975124378109453,True,0.37476253509521484
YFF,28,hpc,180,5,0.5,7,0.1926605504587156,0.11151376146788991,1,0.009950248756218905,True,3.1134066581726074
YFF,29,hpc,60,15,0.2,7,,,0,0.004975124378109453,True,0.3430905342102051
YFF,30,hpc,60,15,0.2,7,0.1926605504587156,0.11229357798165138,4,0.024875621890547265,True,5.046557426452637
YFF,31,hpc,60,15,0.2,7,,,0,0.004975124378109453,True,0.45361876487731934
YFF,32,hpc,300,3,0.5,7,0.2018348623853211,0.10403669724770644,2,0.014925373134328358,True,3.9343655109405518
