subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFF,8,ent,60.0,15.0,0.2,7.0,0.14678899082568808,0.109954128440367,34.0,0.17412935323383086,False,4.902514696121216
YFF,9,hpc,900.0,1.0,0.2,7.0,0.1651376146788991,0.10555045871559633,9.0,0.04975124378109453,True,4.729883909225464
YFF,10,hpc,75.0,12.0,0.8,7.0,0.1926605504587156,0.10830275229357798,5.0,0.029850746268656716,True,5.093260049819946
YFF,11,hpc,300.0,3.0,0.5,7.0,0.13761467889908258,0.10279816513761468,34.0,0.17412935323383086,False,3.517442226409912
YFF,12,hpc,90.0,10.0,0.5,7.0,0.12844036697247707,0.1098165137614679,61.0,0.30845771144278605,False,5.13534951210022
YFF,13,hpc,100.0,9.0,0.2,7.0,0.2018348623853211,0.11330275229357799,1.0,0.009950248756218905,True,5.1864013671875
YFF,14,hpc,60.0,15.0,0.8,7.0,0.12844036697247707,0.10821100917431192,69.0,0.3482587064676617,False,5.2146618366241455
YFF,15,hpc,60.0,15.0,0.2,7.0,0.11009174311926606,0.11701834862385323,126.0,0.6318407960199005,False,4.890066146850586
YFF,16,hpc,150.0,6.0,0.2,7.0,0.1743119266055046,0.11077981651376147,10.0,0.05472636815920398,False,4.334985256195068
YFF,26,hpc,60.0,15.0,0.2,7.0,0.14678899082568808,0.11477064220183487,40.0,0.20398009950248755,False,5.256898880004883
YFF,27,hpc,75.0,12.0,0.5,7.0,0.11926605504587157,0.09830275229357799,56.0,0.2835820895522388,False,5.105596542358398
YFF,28,hpc,180.0,5.0,0.5,7.0,0.1926605504587156,0.11155963302752295,1.0,0.009950248756218905,True,5.008589506149292
YFF,29,hpc,75.0,12.0,0.2,7.0,0.11009174311926606,0.09756880733944956,75.0,0.3781094527363184,False,5.402856826782227
YFF,30,hpc,60.0,15.0,0.2,7.0,0.1926605504587156,0.11151376146788991,4.0,0.024875621890547265,True,4.280941486358643
YFF,31,hpc,150.0,6.0,0.5,7.0,0.09174311926605505,0.10160550458715598,136.0,0.681592039800995,False,5.072775602340698
YFF,32,hpc,300.0,3.0,0.5,7.0,0.2018348623853211,0.10403669724770644,2.0,0.014925373134328358,True,5.284403324127197
YFF,33,hpc,180.0,5.0,0.8,7.0,0.1926605504587156,0.10825688073394496,6.0,0.03482587064676617,True,4.660092353820801
YFF,34,hpc,180.0,5.0,0.2,7.0,0.2018348623853211,0.10573394495412845,2.0,0.014925373134328358,True,4.7354230880737305
YFF,35,hpc,150.0,6.0,0.2,7.0,0.1834862385321101,0.1131651376146789,12.0,0.06467661691542288,False,4.676780462265015
YFF,36,hpc,150.0,6.0,0.2,7.0,0.08256880733944955,0.09720183486238533,141.0,0.7064676616915423,False,4.74530029296875
YFF,37,hpc,60.0,15.0,0.8,7.0,0.1651376146788991,0.11403669724770643,21.0,0.10945273631840796,False,4.954900741577148
YFF,38,hpc,60.0,15.0,0.8,7.0,0.1651376146788991,0.11032110091743119,17.0,0.08955223880597014,False,4.850219011306763
YFF,39,hpc,150.0,6.0,0.8,7.0,0.25688073394495414,0.10830275229357798,0.0,0.004975124378109453,True,4.467158794403076
YFF,40,hpc,100.0,9.0,0.5,7.0,0.1559633027522936,0.11288990825688075,25.0,0.12935323383084577,False,4.617798566818237
YFF,41,hpc,150.0,6.0,0.2,7.0,0.09174311926605505,0.10087155963302752,132.0,0.6616915422885572,False,4.4268903732299805
YFF,42,hpc,90.0,10.0,0.8,7.0,0.14678899082568808,0.11206422018348623,35.0,0.1791044776119403,False,4.652178764343262
YFF,43,hpc,450.0,2.0,0.8,7.0,0.11926605504587157,0.10637614678899084,85.0,0.42786069651741293,False,4.5187225341796875
YFF,44,hpc,150.0,6.0,0.8,7.0,0.14678899082568808,0.10610091743119267,31.0,0.15920398009950248,False,4.578813314437866
YFF,45,hpc,900.0,1.0,0.2,7.0,0.13761467889908258,0.10192660550458715,30.0,0.15422885572139303,False,4.2859787940979
YFF,46,hpc,180.0,5.0,0.5,7.0,0.1559633027522936,0.11155963302752295,26.0,0.13432835820895522,False,4.697329044342041
YFF,47,hpc,225.0,4.0,0.8,7.0,0.13761467889908258,0.10004587155963303,26.0,0.13432835820895522,False,3.6932218074798584
YFF,48,hpc,900.0,1.0,0.2,7.0,0.1559633027522936,0.10885321100917432,20.0,0.1044776119402985,False,3.014172077178955
YFF,49,hpc,60.0,15.0,0.5,7.0,0.08256880733944955,0.10573394495412845,166.0,0.8308457711442786,False,4.74175500869751
YFF,50,hpc,300.0,3.0,0.5,7.0,0.1926605504587156,0.10807339449541285,1.0,0.009950248756218905,True,4.762806177139282
YFF,51,hpc,100.0,9.0,0.2,7.0,0.13761467889908258,0.10871559633027524,42.0,0.21393034825870647,False,3.7686173915863037
YFF,52,hpc,300.0,3.0,0.5,7.0,0.1651376146788991,0.1098165137614679,11.0,0.05970149253731343,False,4.291159391403198
YFF,53,hpc,60.0,15.0,0.2,7.0,0.14678899082568808,0.10403669724770642,19.0,0.09950248756218906,False,4.368649005889893
YFI,0,hpc,90.0,10.0,0.8,8.0,0.14563106796116504,0.11169902912621357,39.0,0.19900497512437812,False,4.123385429382324
