subject,bin_ms,bins_per_neuron,n_neurons,n_presentations,n_features,n_correct,accuracy,accuracy_percent
YFF,60,15,37,109,555,17,0.1559633027522936,15.59633027522936
YFF,75,12,37,109,444,16,0.14678899082568808,14.678899082568808
YFF,90,10,37,109,370,17,0.1559633027522936,15.59633027522936
YFF,100,9,37,109,333,17,0.1559633027522936,15.59633027522936
YFF,150,6,37,109,222,12,0.11009174311926606,11.009174311926607
YFF,180,5,37,109,185,16,0.14678899082568808,14.678899082568808
YFF,225,4,37,109,148,12,0.11009174311926606,11.009174311926607
YFF,300,3,37,109,111,16,0.14678899082568808,14.678899082568808
YFF,450,2,37,109,74,13,0.11926605504587157,11.926605504587156
YFF,900,1,37,109,37,11,0.10091743119266056,10.091743119266056
