neuron,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
0,90,0.2,0.21100917431192662,0.01990049751243781,3,True,True,
1,180,0.8,0.2018348623853211,0.01990049751243781,3,True,True,
2,225,0.8,0.14678899082568808,0.15422885572139303,30,False,True,
3,900,0.2,0.1926605504587156,0.004975124378109453,0,True,True,
4,100,0.2,0.2018348623853211,0.014925373134328358,2,True,True,
5,450,0.2,0.1559633027522936,0.12935323383084577,25,False,True,
6,225,0.2,0.21100917431192662,0.004975124378109453,0,True,True,
7,300,0.2,0.14678899082568808,0.17412935323383086,34,False,True,
8,60,0.5,0.14678899082568808,0.2885572139303483,57,False,True,
9,90,0.2,0.1834862385321101,0.04477611940298507,8,True,True,
10,75,0.5,0.12844036697247707,0.31840796019900497,63,False,True,
11,450,0.2,0.1559633027522936,0.12437810945273632,24,False,True,
12,900,0.2,0.1743119266055046,0.03482587064676617,6,True,True,
13,75,0.5,0.1834862385321101,0.04477611940298507,8,True,True,
14,225,0.5,0.13761467889908258,0.22885572139303484,45,False,True,
15,60,0.2,0.12844036697247707,0.3383084577114428,67,False,True,
16,900,0.2,0.1651376146788991,0.07462686567164178,14,False,True,
17,60,0.2,0.1743119266055046,0.03980099502487562,7,True,True,
18,100,0.8,0.14678899082568808,0.17412935323383086,34,False,True,
19,180,0.8,0.12844036697247707,0.3383084577114428,67,False,True,
20,150,0.5,0.14678899082568808,0.1890547263681592,37,False,True,
21,90,0.8,0.13761467889908258,0.263681592039801,52,False,True,
22,90,0.2,0.1559633027522936,0.12935323383084577,25,False,True,
23,75,0.2,0.11926605504587157,0.4079601990049751,81,False,True,
24,150,0.8,0.10091743119266056,0.6019900497512438,120,False,True,
25,100,0.8,0.13761467889908258,0.2736318407960199,54,False,True,
26,90,0.8,0.13761467889908258,0.21890547263681592,43,False,True,
27,75,0.2,0.11009174311926606,0.35323383084577115,70,False,True,
28,60,0.2,0.1926605504587156,0.01990049751243781,3,True,True,
29,75,0.2,0.10091743119266056,0.5074626865671642,101,False,True,
30,100,0.8,0.1926605504587156,0.004975124378109453,0,True,True,
31,150,0.2,0.09174311926605505,0.6417910447761194,128,False,True,
32,300,0.2,0.22018348623853212,0.004975124378109453,0,True,True,
33,60,0.2,0.2018348623853211,0.004975124378109453,0,True,True,
34,180,0.5,0.22018348623853212,0.024875621890547265,4,True,True,
35,150,0.2,0.1651376146788991,0.0845771144278607,16,False,True,
36,150,0.2,0.06422018348623854,0.9353233830845771,187,False,True,
37,60,0.2,0.14678899082568808,0.24378109452736318,48,False,True,
38,75,0.2,0.1651376146788991,0.05970149253731343,11,False,True,
39,150,0.5,0.22018348623853212,0.009950248756218905,1,True,True,
40,60,0.8,0.14678899082568808,0.23383084577114427,46,False,True,
41,150,0.5,0.10091743119266056,0.472636815920398,94,False,True,
42,180,0.5,0.14678899082568808,0.1890547263681592,37,False,True,
43,90,0.2,0.11926605504587157,0.417910447761194,83,False,True,
44,100,0.8,0.14678899082568808,0.19900497512437812,39,False,True,
45,900,0.2,0.14678899082568808,0.1044776119402985,20,False,True,
46,450,0.5,0.1559633027522936,0.12437810945273632,24,False,True,
47,225,0.2,0.13761467889908258,0.1890547263681592,37,False,True,
48,180,0.5,0.14678899082568808,0.21393034825870647,42,False,True,
49,900,0.2,0.10091743119266056,0.582089552238806,116,False,True,
50,90,0.2,0.1926605504587156,0.009950248756218905,1,True,True,
51,100,0.2,0.1743119266055046,0.024875621890547265,4,True,True,
52,180,0.2,0.1651376146788991,0.06965174129353234,13,False,True,
53,60,0.2,0.14678899082568808,0.09950248756218906,19,False,True,
