trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
0,1,4,7282.8,11,12.222222222222221
0,2,4,8032.76666666667,4,4.444444444444445
1,2,5,15416.0,10,11.11111111111111
2,1,4,20315.9,10,11.11111111111111
2,2,8,21065.9,8,8.88888888888889
3,1,3,27232.4666666667,4,4.444444444444445
3,2,1,27982.4666666667,6,6.666666666666666
5,1,2,40465.6,6,6.666666666666666
5,2,6,41215.5666666667,7,7.777777777777778
6,1,7,49548.7666666667,10,11.11111111111111
6,2,4,50298.7666666667,12,13.333333333333332
7,1,4,53598.7333333333,8,8.88888888888889
7,2,9,54348.7,6,6.666666666666666
8,1,3,60798.6,11,12.222222222222221
8,2,8,61565.2666666667,6,6.666666666666666
9,1,9,67365.1666666667,9,10.0
9,2,1,68115.1666666667,5,5.555555555555555
10,1,6,71431.7666666667,2,2.2222222222222223
10,2,9,72181.7666666667,5,5.555555555555555
11,1,8,77348.3333333333,11,12.222222222222221
11,2,1,78098.3333333333,5,5.555555555555555
12,1,7,84864.9,13,14.444444444444445
12,2,8,85614.8666666667,6,6.666666666666666
13,1,9,89381.5,10,11.11111111111111
13,2,5,90131.4666666667,15,16.666666666666668
14,1,5,94764.7333333333,6,6.666666666666666
14,2,6,95514.7333333333,11,12.222222222222221
15,1,6,102764.6,5,5.555555555555555
16,1,6,109281.166666667,10,11.11111111111111
16,2,9,110031.166666667,6,6.666666666666666
17,1,9,114314.433333333,13,14.444444444444445
18,1,8,119681.0,12,13.333333333333332
18,2,7,120431.0,8,8.88888888888889
19,1,3,125564.233333333,11,12.222222222222221
19,2,6,126314.233333333,7,7.777777777777778
20,1,7,131130.833333333,10,11.11111111111111
20,2,5,131880.8,8,8.88888888888889
21,1,6,135480.766666667,8,8.88888888888889
21,2,6,136230.733333333,14,15.555555555555555
22,1,5,146363.9,7,7.777777777777778
22,2,1,147113.9,4,4.444444444444445
23,1,7,155847.1,9,10.0
23,2,4,156597.1,12,13.333333333333332
24,1,8,160697.033333333,9,10.0
25,1,2,166280.266666667,13,14.444444444444445
25,2,1,167030.266666667,4,4.444444444444445
26,1,9,171263.533333333,5,5.555555555555555
27,1,5,176530.1,6,6.666666666666666
27,2,1,177280.1,4,4.444444444444445
28,1,5,180813.366666667,4,4.444444444444445
28,2,8,181563.366666667,5,5.555555555555555
29,1,6,187079.933333333,13,14.444444444444445
29,2,3,187829.933333333,13,14.444444444444445
30,1,5,191596.533333333,6,6.666666666666666
31,1,7,195663.133333333,2,2.2222222222222223
31,2,8,196413.133333333,8,8.88888888888889
32,1,5,203763.0,9,10.0
32,2,2,204513.0,6,6.666666666666666
33,1,3,208962.933333333,3,3.333333333333333
33,2,2,209712.9,5,5.555555555555555
34,1,2,215229.5,8,8.88888888888889
34,2,1,215979.466666667,6,6.666666666666666
35,1,3,220629.4,6,6.666666666666666
35,2,3,221379.4,5,5.555555555555555
36,1,5,226362.666666667,5,5.555555555555555
36,2,4,227112.633333333,6,6.666666666666666
37,1,1,230495.933333333,6,6.666666666666666
37,2,3,231245.9,5,5.555555555555555
38,1,5,235462.533333333,7,7.777777777777778
39,1,1,240612.433333333,4,4.444444444444445
39,2,4,241362.433333333,3,3.333333333333333
40,2,2,246412.333333333,8,8.88888888888889
41,1,3,251795.6,5,5.555555555555555
41,2,7,252545.566666667,8,8.88888888888889
42,1,8,256762.166666667,5,5.555555555555555
42,2,8,257512.166666667,8,8.88888888888889
43,1,3,262328.766666667,6,6.666666666666666
43,2,4,263078.733333333,5,5.555555555555555
44,1,5,267845.333333333,3,3.333333333333333
44,2,9,268595.333333333,7,7.777777777777778
45,1,4,272278.6,0,0.0
45,2,5,273028.566666667,1,1.1111111111111112
46,1,9,277711.833333333,11,12.222222222222221
46,2,8,278461.833333333,10,11.11111111111111
47,1,8,283111.766666667,6,6.666666666666666
47,2,6,283861.733333333,11,12.222222222222221
48,2,6,289961.633333333,5,5.555555555555555
49,1,6,295461.566666667,11,12.222222222222221
49,2,3,296211.533333333,8,8.88888888888889
50,2,1,300561.5,5,5.555555555555555
51,1,9,305744.733333333,8,8.88888888888889
51,2,5,306494.733333333,3,3.333333333333333
52,1,4,310711.3,6,6.666666666666666
52,2,3,311461.3,9,10.0
53,1,2,316427.9,15,16.666666666666668
53,2,3,317177.9,6,6.666666666666666
54,1,2,326877.733333333,9,10.0
55,1,1,331594.333333333,7,7.777777777777778
55,2,4,332344.3,7,7.777777777777778
57,2,9,342410.8,3,3.333333333333333
58,1,1,348060.733333333,5,5.555555555555555
58,2,1,348810.7,4,4.444444444444445
59,1,8,352060.666666667,14,15.555555555555555
60,1,1,358410.566666667,3,3.333333333333333
60,2,9,359160.566666667,7,7.777777777777778
61,1,6,364193.8,3,3.333333333333333
61,2,3,364943.8,4,4.444444444444445
62,1,3,368910.4,8,8.88888888888889
62,2,4,369660.4,5,5.555555555555555
63,1,5,375593.633333333,3,3.333333333333333
63,2,8,376343.6,4,4.444444444444445
64,1,1,384093.5,6,6.666666666666666
65,1,7,389710.066666667,9,10.0
66,1,1,394826.666666667,13,14.444444444444445
67,2,8,404893.166666667,5,5.555555555555555
68,1,3,412009.7,6,6.666666666666666
69,1,1,416709.633333333,6,6.666666666666666
69,2,6,417459.633333333,9,10.0
70,2,3,426892.8,4,4.444444444444445
71,2,2,432076.066666667,6,6.666666666666666
72,1,8,437125.966666667,4,4.444444444444445
73,1,9,444559.2,8,8.88888888888889
73,2,5,445309.166666667,4,4.444444444444445
74,1,8,450959.1,10,11.11111111111111
74,2,2,451709.066666667,7,7.777777777777778
75,1,5,455492.366666667,5,5.555555555555555
75,2,4,456242.333333333,7,7.777777777777778
76,1,2,462358.9,9,10.0
76,2,4,463108.9,10,11.11111111111111
77,2,9,469292.133333333,8,8.88888888888889
78,1,6,473258.733333333,9,10.0
79,1,4,479341.966666667,6,6.666666666666666
79,2,5,480091.966666667,7,7.777777777777778
80,1,5,487141.833333333,12,13.333333333333332
80,2,4,487891.833333333,9,10.0
81,1,9,492241.766666667,1,1.1111111111111112
81,2,8,493008.4,8,8.88888888888889
82,1,6,497708.333333333,8,8.88888888888889
82,2,4,498458.333333333,4,4.444444444444445
83,2,7,503958.233333333,5,5.555555555555555
84,2,4,509191.5,4,4.444444444444445
85,1,5,514508.066666667,10,11.11111111111111
85,2,9,515258.066666667,5,5.555555555555555
86,2,2,523874.6,5,5.555555555555555
87,2,4,528191.166666667,7,7.777777777777778
88,1,6,533207.766666667,14,15.555555555555555
88,2,1,533957.766666667,7,7.777777777777778
89,2,7,539574.333333333,1,1.1111111111111112
90,1,4,544224.266666667,7,7.777777777777778
91,1,8,548474.2,4,4.444444444444445
91,2,4,549224.166666667,4,4.444444444444445
92,1,9,554224.1,8,8.88888888888889
92,2,8,554974.066666667,7,7.777777777777778
93,1,6,558924.033333333,9,10.0
