trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
0,1,7,6660.83333333333,13,14.444444444444445
0,2,8,7410.8,10,11.11111111111111
1,1,7,81376.2333333333,14,15.555555555555555
1,2,4,82126.2333333333,7,7.777777777777778
2,1,7,89626.1,13,14.444444444444445
2,2,6,90376.1,8,8.88888888888889
3,2,5,97592.6333333333,13,14.444444444444445
4,1,8,118708.933333333,13,14.444444444444445
5,1,4,124642.166666667,14,15.555555555555555
5,2,4,125392.166666667,12,13.333333333333332
6,2,2,131025.4,9,10.0
7,1,7,135775.333333333,12,13.333333333333332
7,2,3,136525.3,16,17.77777777777778
8,1,3,143491.866666667,12,13.333333333333332
8,2,2,144241.833333333,13,14.444444444444445
9,1,4,148841.766666667,11,12.222222222222221
9,2,4,149575.1,19,21.11111111111111
10,1,6,159591.6,13,14.444444444444445
10,2,4,160341.566666667,5,5.555555555555555
11,1,7,165208.166666667,6,6.666666666666666
11,2,3,165958.133333333,7,7.777777777777778
12,2,7,171991.366666667,12,13.333333333333332
13,1,7,185857.833333333,5,5.555555555555555
14,2,8,191957.7,11,12.222222222222221
15,1,9,198240.933333333,7,7.777777777777778
15,2,7,198990.933333333,6,6.666666666666666
16,1,7,207190.8,16,17.77777777777778
17,2,7,213324.033333333,15,16.666666666666668
18,1,1,218040.6,14,15.555555555555555
18,2,8,218790.6,9,10.0
19,1,3,236223.633333333,12,13.333333333333332
19,2,7,236973.633333333,15,16.666666666666668
20,1,3,245990.133333333,9,10.0
20,2,5,246740.133333333,9,10.0
21,1,7,261273.2,13,14.444444444444445
22,1,4,267923.1,14,15.555555555555555
22,2,7,268673.1,9,10.0
23,1,5,274639.633333333,14,15.555555555555555
23,2,2,275389.633333333,9,10.0
25,1,6,292772.666666667,12,13.333333333333332
25,2,9,293522.666666667,7,7.777777777777778
26,1,7,304105.833333333,10,11.11111111111111
26,2,3,304855.8,10,11.11111111111111
27,1,2,311672.366666667,22,24.444444444444443
27,2,6,312422.333333333,11,12.222222222222221
28,2,9,319755.566666667,15,16.666666666666668
29,2,6,325155.466666667,10,11.11111111111111
30,1,6,332372.0,10,11.11111111111111
30,2,3,333122.0,6,6.666666666666666
31,1,9,339938.566666667,12,13.333333333333332
32,1,4,344688.466666667,15,16.666666666666668
32,2,5,345438.466666667,13,14.444444444444445
33,1,5,354821.633333333,11,12.222222222222221
33,2,1,355571.633333333,15,16.666666666666668
34,2,2,361104.866666667,11,12.222222222222221
35,1,7,368321.4,12,13.333333333333332
35,2,3,369071.4,5,5.555555555555555
36,1,6,375954.6,19,21.11111111111111
36,2,3,376704.6,12,13.333333333333332
37,2,3,382054.5,11,12.222222222222221
38,1,2,389554.4,15,16.666666666666668
38,2,4,390304.366666667,16,17.77777777777778
39,1,3,395470.933333333,12,13.333333333333332
40,1,5,404604.133333333,9,10.0
40,2,8,405354.1,9,10.0
41,2,9,412770.633333333,10,11.11111111111111
42,1,8,417587.233333333,6,6.666666666666666
42,2,9,418337.233333333,10,11.11111111111111
43,1,6,424153.8,13,14.444444444444445
43,2,5,424903.766666667,11,12.222222222222221
44,1,3,431803.666666667,16,17.77777777777778
44,2,2,432553.666666667,7,7.777777777777778
45,1,8,438336.9,11,12.222222222222221
46,1,2,444970.1,7,7.777777777777778
46,2,3,445720.1,12,13.333333333333332
47,1,2,450970.0,14,15.555555555555555
47,2,5,451720.0,9,10.0
48,1,2,462336.466666667,10,11.11111111111111
48,2,1,463086.466666667,8,8.88888888888889
49,1,5,468036.366666667,11,12.222222222222221
49,2,2,468786.366666667,13,14.444444444444445
50,1,2,475002.933333333,13,14.444444444444445
51,1,7,481586.133333333,12,13.333333333333332
51,2,7,482336.133333333,15,16.666666666666668
52,2,4,486852.733333333,10,11.11111111111111
53,1,8,492235.966666667,7,7.777777777777778
53,2,4,492985.966666667,13,14.444444444444445
54,1,7,499369.166666667,9,10.0
54,2,6,500119.166666667,13,14.444444444444445
55,1,8,507819.033333333,9,10.0
55,2,7,508569.033333333,8,8.88888888888889
56,1,9,513885.6,15,16.666666666666668
56,2,1,514635.6,15,16.666666666666668
57,1,8,519885.5,13,14.444444444444445
58,1,6,530285.333333333,14,15.555555555555555
58,2,6,531035.3,6,6.666666666666666
59,1,4,536818.533333333,18,20.0
60,1,1,543968.433333333,13,14.444444444444445
60,2,1,544718.4,10,11.11111111111111
61,1,2,554151.6,11,12.222222222222221
61,2,4,554901.566666667,11,12.222222222222221
62,1,1,560234.833333333,11,12.222222222222221
62,2,2,560984.8,12,13.333333333333332
63,1,7,567568.033333333,16,17.77777777777778
63,2,7,568318.0,16,17.77777777777778
64,1,8,582534.433333333,15,16.666666666666668
64,2,8,583284.433333333,13,14.444444444444445
65,2,4,589867.666666667,17,18.88888888888889
66,1,9,597917.5,16,17.77777777777778
66,2,9,598667.5,15,16.666666666666668
67,1,7,604134.066666667,14,15.555555555555555
67,2,1,604884.066666667,14,15.555555555555555
68,2,3,610283.966666667,9,10.0
69,1,5,615167.233333333,17,18.88888888888889
70,2,1,621950.433333333,10,11.11111111111111
71,2,6,627183.666666667,8,8.88888888888889
72,1,3,634633.566666667,9,10.0
72,2,1,635383.533333333,14,15.555555555555555
74,1,8,646583.333333333,12,13.333333333333332
75,1,4,651799.933333333,16,17.77777777777778
75,2,9,652549.9,11,12.222222222222221
76,1,6,659516.466666667,10,11.11111111111111
76,2,7,660266.466666667,15,16.666666666666668
77,2,5,667799.666666667,14,15.555555555555555
78,1,8,673332.9,9,10.0
78,2,5,674099.566666667,11,12.222222222222221
79,1,1,681266.1,15,16.666666666666668
79,2,6,682016.066666667,11,12.222222222222221
80,1,3,686499.333333333,15,16.666666666666668
80,2,8,687249.333333333,14,15.555555555555555
81,1,3,693599.233333333,11,12.222222222222221
81,2,4,694349.2,14,15.555555555555555
82,2,2,700699.1,17,18.88888888888889
83,1,4,718682.133333333,22,24.444444444444443
83,2,7,719432.1,20,22.22222222222222
84,1,4,729648.6,22,24.444444444444443
84,2,2,730398.6,11,12.222222222222221
85,1,3,735881.833333333,14,15.555555555555555
85,2,4,736631.833333333,10,11.11111111111111
86,1,4,741998.4,13,14.444444444444445
86,2,8,742748.366666667,9,10.0
87,1,9,749931.6,14,15.555555555555555
87,2,4,750681.566666667,12,13.333333333333332
88,1,7,759231.433333333,14,15.555555555555555
88,2,7,759981.433333333,20,22.22222222222222
89,1,6,764764.666666667,10,11.11111111111111
89,2,9,765514.666666667,9,10.0
90,1,5,773631.2,12,13.333333333333332
90,2,1,774381.166666667,11,12.222222222222221
91,1,1,779447.766666667,14,15.555555555555555
91,2,8,780197.766666667,15,16.666666666666668
92,1,2,786964.3,11,12.222222222222221
93,1,7,796097.466666667,16,17.77777777777778
94,1,6,801180.733333333,16,17.77777777777778
94,2,3,801930.7,18,20.0
95,1,1,807613.966666667,14,15.555555555555555
95,2,5,808363.933333333,13,14.444444444444445
96,1,9,813063.866666667,12,13.333333333333332
96,2,2,813797.166666667,10,11.11111111111111
97,1,3,821247.066666667,7,7.777777777777778
97,2,4,821997.033333333,11,12.222222222222221
98,1,9,828330.266666667,20,22.22222222222222
98,2,5,829080.266666667,12,13.333333333333332
99,1,6,836730.133333333,14,15.555555555555555
99,2,8,837480.1,14,15.555555555555555
100,2,8,847346.6,17,18.88888888888889
101,1,9,862379.7,17,18.88888888888889
