trial,tCue1,tCue2,tCue3,presentationEnd,tPress1,tPress2,tPress3,keyPress1,keyPress2,keyPress3,choiceEnd,timeFeedback,cue1,cue2,operation,operationFirst,correctAnsw,givenAnsw,correct,correctFb,toExclude,operand1_time,operation_time,operand2_time
1,5910.83333333333,6660.83333333333,7410.8,8177.46666666667,72843.0666666667,78309.6333333333,,Home,5.0,,80376.2666666667,80876.2333333333,7,8,-,1,-1,5,0,1,0,6660.83333333333,5910.83333333333,7410.8
2,81376.2333333333,82126.2333333333,82876.2333333333,83626.2,86309.5,86642.8,,1,1.0,,87876.1333333333,88376.1,7,4,+,0,11,11,1,1,0,81376.2333333333,82876.2333333333,82126.2333333333
3,88876.1333333333,89626.1,90376.1,91126.0666666667,94109.3666666667,,,1,,,95076.0,95592.6666666667,7,6,-,1,1,1,1,1,0,89626.1,88876.1333333333,90376.1
4,96092.6666666667,96842.6333333333,97592.6333333333,98342.6333333333,104792.5,105425.833333333,113942.366666667,1,5.0,DELETE,117708.966666667,118208.933333333,10,5,-,1,5,15,0,1,0,96842.6333333333,96092.6666666667,97592.6333333333
5,118708.933333333,119458.933333333,120208.933333333,120958.9,122258.9,,,0,,,122892.2,123392.2,8,0,-,0,8,0,0,1,0,118708.933333333,120208.933333333,119458.933333333
6,123892.2,124642.166666667,125392.166666667,126142.166666667,127858.8,,,8,,,128525.433333333,129025.433333333,4,4,+,1,8,8,1,1,0,124642.166666667,123892.2,125392.166666667
7,129525.433333333,130275.433333333,131025.4,131775.4,133008.7,133408.7,,1,2.0,,134008.7,134525.333333333,10,2,+,1,12,12,1,1,0,130275.433333333,129525.433333333,131025.4
8,135025.333333333,135775.333333333,136525.3,137275.3,141858.566666667,,,4,,,142491.866666667,142991.866666667,7,3,-,1,4,4,1,1,0,135775.333333333,135025.333333333,136525.3
9,143491.866666667,144241.833333333,144991.833333333,145741.833333333,147108.466666667,,,1,,,147825.133333333,148325.1,3,2,-,0,1,1,1,1,0,143491.866666667,144991.833333333,144241.833333333
10,148841.766666667,149575.1,150341.733333333,151091.733333333,157291.633333333,,,8,,,157858.3,158341.6,4,4,+,0,8,8,1,1,0,148841.766666667,150341.733333333,149575.1
11,158841.6,159591.6,160341.566666667,161091.566666667,163274.866666667,163608.2,,1,0.0,,164208.166666667,164708.166666667,6,4,+,1,10,10,1,1,0,159591.6,158841.6,160341.566666667
12,165208.166666667,165958.133333333,166708.133333333,167458.133333333,169508.1,169824.766666667,,1,0.0,,170224.733333333,170724.733333333,7,3,+,0,10,10,1,1,0,165208.166666667,166708.133333333,165958.133333333
13,171241.4,171991.366666667,172741.366666667,173491.366666667,183007.866666667,,,7,,,184091.166666667,184591.166666667,0,7,+,0,7,7,1,1,0,171241.4,172741.366666667,171991.366666667
14,185107.833333333,185857.833333333,186607.8,187357.8,188674.433333333,189291.1,,1,7.0,,190207.733333333,190707.733333333,7,10,+,1,17,17,1,1,0,185857.833333333,185107.833333333,186607.8
15,191207.733333333,191957.7,192707.7,193457.7,195824.333333333,196574.3,,1,8.0,,197240.966666667,197740.933333333,10,8,+,0,18,18,1,1,0,191207.733333333,192707.7,191957.7
16,198240.933333333,198990.933333333,199740.9,200490.9,203790.866666667,204557.5,,1,6.0,,205424.166666667,205924.133333333,9,7,+,0,16,16,1,1,0,198240.933333333,199740.9,198990.933333333
