number,time_s,mean_rate_hz,sem_rate_hz,n_presentations
5,0.0,6.284144458866394,0.5019244786300533,51
5,0.001,6.283478984587144,0.501461272523619,51
5,0.002,6.282841235259139,0.500997744757497,51
5,0.003,6.282248905455853,0.5005374790214728,51
5,0.004,6.2816676734765196,0.5000735705430308,51
5,0.005,6.281114767464322,0.49960951834617645,51
5,0.006,6.280590378095198,0.4991453829083513,51
5,0.007,6.280094693057663,0.4986812255813056,51
5,0.008,6.279627897045352,0.49821710859218216,51
5,0.009,6.279190171749415,0.4977530950441893,51
5,0.01,6.278781695850765,0.49728924891685344,51
5,0.011,6.278402645012184,0.49682563506583516,51
5,0.012,6.278053191870286,0.4963623192222995,51
5,0.013,6.277751001267151,0.49590083803737955,51
5,0.014,6.2774617216993915,0.4954383634858181,51
5,0.015,6.277202551435009,0.49497639056489856,51
5,0.016,6.276973651200874,0.49451498851752523,51
5,0.017,6.276775178661227,0.4940542274521561,51
5,0.018,6.276677269368148,0.49359515492355094,51
5,0.019,6.276576993061852,0.49313600277137754,51
5,0.02,6.276491096317521,0.4926764927818247,51
5,0.021,6.276419277028471,0.4922189764087521,51
5,0.022,6.276413704342926,0.49176344396038,51
5,0.023,6.2764054832403735,0.49130801301615856,51
5,0.024,6.276428821260529,0.4908537351552054,51
5,0.025,6.276483853886596,0.49040068714231483,51
5,0.026,6.276588208750534,0.48994539919348695,51
5,0.027,6.276724992321355,0.4894915624013089,51
5,0.028,6.276894342718632,0.4890418106894302,51
5,0.029,6.277078899982173,0.4885942591737502,51
5,0.03,6.277295819371457,0.4881483285120951,51
5,0.031,6.277545218539762,0.487704100099135,51
5,0.032,6.277827212012224,0.4872616560772235,51
5,0.033,6.278159406416505,0.4868233278614573,51
5,0.034,6.278507391930951,0.4863847718791553,51
5,0.035,6.278888308400603,0.48594825307449796,51
5,0.036,6.279302258023901,0.48551385649765183,51
5,0.037,6.279766835070283,0.48508113730109,51
5,0.038,6.280247617328179,0.48465124403411497,51
5,0.039,6.2807617322208555,0.48422373266120533,51
5,0.04,6.281309269492981,0.4837986908715954,51
5,0.041,6.281890315688281,0.4833762069645795,51
5,0.042,6.28250495414003,0.48295636983039114,51
5,0.043,6.283170760201305,0.48253473317149903,51
5,0.044,6.283853292692761,0.48212033197299414,51
5,0.045,6.284569660018336,0.48170884425194155,51
5,0.046,6.2853199328516505,0.4813003609771156,51
5,0.047,6.286104178613557,0.4808949735996486,51
5,0.048,6.286922461462538,0.4804927740293173,51
5,0.049,6.287774842285075,0.48009385461005555,51
5,0.05,6.288661378686018,0.47969830809469566,51
5,0.051,6.28959962021874,0.47930493400315644,51
5,0.052,6.290572595072706,0.47891489197514137,51
5,0.053,6.291562867646528,0.4785299369690439,51
5,0.054,6.292587517359725,0.4781487270139561,51
5,0.055,6.293681576306029,0.47776887197453494,51
5,0.056,6.294776046645914,0.4773953909262214,51
5,0.057,6.295922528087653,0.47702857693409007,51
5,0.058,6.2971215252071415,0.47666245412524516,51
5,0.059,6.298321065453164,0.47630139663217214,51
5,0.06,6.2995552440850435,0.475944654560352,51
5,0.061,6.300824084043008,0.47559232328472256,51
5,0.062,6.302145100153627,0.4752421041561305,51
5,0.063,6.303518781058231,0.4749040529936509,51
5,0.064,6.304893138244483,0.47456561315389895,51
5,0.065,6.306302250984634,0.47423196844295207,51
5,0.066,6.307746126206538,0.4739032141999926,51
5,0.067,6.309224767459944,0.47357944563252585,51
5,0.068,6.310738174908602,0.4732607577780695,51
5,0.069,6.312286345322463,0.47294724546521333,51
5,0.07,6.313886767309796,0.4726366002785112,51
5,0.071,6.315504912766995,0.4723336545154666,51
5,0.072,6.317157802996418,0.47203616542267085,51
5,0.073,6.318845421395107,0.471744226556723,51
5,0.074,6.320585243174612,0.4714608261127436,51
5,0.075,6.322342726811378,0.47118035358058474,51
5,0.076,6.324134880165201,0.47090571169347173,51
5,0.077,6.3259616731685835,0.4706369921594334,51
5,0.078,6.327823072307401,0.4703742861026198,51
5,0.079,6.329719040614582,0.47011768401917253,51
5,0.08,6.331667032903756,0.4698700324364982,51
5,0.081,6.333632487220657,0.4696259573041714,51
5,0.082,6.335632390962609,0.4693882538921048,51
5,0.083,6.337684188808768,0.46916144874667015,51
5,0.084,6.339753308659278,0.4689368564885147,51
5,0.085,6.341874222995224,0.4687179770440934,51
5,0.086,6.34402984826693,0.46850204265548023,51
5,0.087,6.346202636959114,0.4682974688619238,51
5,0.088,6.348409556407803,0.46809977767686595,51
5,0.089,6.350650535979386,0.46790905079883793,51
5,0.09,6.352925501553903,0.46772536879360194,51
5,0.091,6.355234375521422,0.46754881104746643,51
5,0.092,6.357577076778643,0.467379455720615,51
5,0.093,6.359953520725742,0.4672173797004902,51
5,0.094,6.3623636192634425,0.4670626585552719,51
5,0.095,6.364807280790345,0.4669153664874861,51
5,0.096,6.367284410200488,0.46677557628778876,51
5,0.097,6.369812404120995,0.4666426198558832,51
5,0.098,6.372356642367538,0.466518040905694,51
5,0.099,6.37493405406801,0.4664011737363715,51
5,0.1,6.377562025597028,0.4662905856076062,51
5,0.101,6.380205926519452,0.4661893000837679,51
5,0.102,6.382882675714982,0.4660959207014483,51
5,0.103,6.3855921540737866,0.46601050912311204,51
5,0.104,6.388334238983594,0.465933125242319,51
5,0.105,6.391108804329942,0.4658638271409904,51
5,0.106,6.393915720496714,0.46580267104726764,51
5,0.107,6.396754854366996,0.46574971129401016,51
5,0.108,6.399626069324235,0.4657050002779692,51
5,0.109,6.402546720493515,0.4656677177710649,51
5,0.11,6.40549964144055,0.4656416374804161,51
5,0.111,6.408467201756514,0.46562195831171277,51
5,0.112,6.411466285881854,0.4656107158572498,51
5,0.113,6.414496740292386,0.4656079521814239,51
5,0.114,6.41755840798974,0.46561370718218,51
5,0.115,6.420686118984622,0.4656338494942122,51
5,0.116,6.423845663695225,0.4656533408423607,51
5,0.117,6.4270019081169805,0.4656848916480716,51
5,0.118,6.43018875147005,0.4657250977711789,51
5,0.119,6.433406020571003,0.46577398773210904,51
5,0.12,6.436653538812926,0.4658315876894457,51
5,0.121,6.439931126171613,0.4658979214114804,51
5,0.122,6.443238599212136,0.4659730102489683,51
5,0.123,6.4465757710957785,0.46605687310912786,51
5,0.124,6.449942451587363,0.4661495264309064,51
5,0.125,6.453355942302755,0.4662507081653762,51
5,0.126,6.456799023414153,0.46635625793737223,51
5,0.127,6.460254011241266,0.4664752412962232,51
5,0.128,6.463772727561193,0.46660755021078626,51
5,0.129,6.4673034249555865,0.4667395427767924,51
5,0.13,6.470862940255488,0.4668891081468524,51
5,0.131,6.474433577526445,0.4670435333424061,51
5,0.132,6.478032155875053,0.4672067898122858,51
5,0.133,6.481675951883359,0.46737588782783196,51
5,0.134,6.485347720805094,0.46755691665415916,51
5,0.135,6.4890297541607005,0.4677465405502569,51
5,0.136,6.492738858571442,0.4679449515541024,51
5,0.137,6.496474802955876,0.46815213239770814,51
5,0.138,6.500237353030767,0.46836806314590707,51
5,0.139,6.504026271325275,0.46859272119326717,51
5,0.14,6.507841317195593,0.46882608126255093,51
5,0.141,6.511682246839996,0.46906811540471277,51
5,0.142,6.515566308554128,0.46931992007240314,51
5,0.143,6.519476229444125,0.4695761433796626,51
5,0.144,6.523394273025662,0.4698439743704541,51
5,0.145,6.527354713301938,0.47012429181031395,51
5,0.146,6.531322773421586,0.47040925011453066,51
5,0.147,6.535332721548798,0.47070128050367643,51
5,0.148,6.539349775035077,0.4710030582227391,51
5,0.149,6.543425691530135,0.47131261038778094,51
5,0.15,6.547508659851848,0.47163011079111883,51
5,0.151,6.551597958201214,0.4719567640776419,51
5,0.152,6.555727840939892,0.472295026008071,51
5,0.153,6.559863511738847,0.47263811578563664,51
5,0.154,6.564021724212251,0.4729892797927009,51
5,0.155,6.5682026553881165,0.47335192846552376,51
5,0.156,6.572388984492155,0.47371953348362134,51
5,0.157,6.576614480274783,0.4740944543196287,51
5,0.158,6.580861356148016,0.4744771810094704,51
5,0.159,6.58512931799947,0.4748676393326282,51
5,0.16,6.5894180689770625,0.47526575268622523,51
5,0.161,6.593727309513956,0.47567144211391094,51
5,0.162,6.598039702866809,0.4760831888437788,51
5,0.163,6.602389923198295,0.4765036290748933,51
5,0.164,6.606777663479371,0.4769330741784907,51
5,0.165,6.611167635516166,0.477368397651313,51
5,0.166,6.615594057341303,0.4778115762031482,51
5,0.167,6.6200050621554105,0.47826141787578336,51
5,0.168,6.624451886271973,0.4787179348460222,51
5,0.169,6.628916715716996,0.47918131728808017,51
5,0.17,6.63339922928819,0.47965146676092085,51
5,0.171,6.637899103344996,0.48012828282139164,51
5,0.172,6.642416011838857,0.48061166306484876,51
5,0.173,6.64693259185676,0.4811009664328106,51
5,0.174,6.651483030956352,0.4815971710299464,51
5,0.175,6.656049501072227,0.4820996211350875,51
5,0.176,6.660631667090531,0.48260820691807776,51
5,0.177,6.665246686881373,0.483120563479688,51
5,0.178,6.669859702789018,0.4836410297644681,51
5,0.179,6.674504903030207,0.4841646850647793,51
5,0.18,6.6791478866338885,0.4846984394092906,51
5,0.181,6.683805342849163,0.4852358988772134,51
5,0.182,6.688442855654321,0.4857771007473758,51
5,0.183,6.693164103366794,0.48632457939738827,51
5,0.184,6.6978642485904505,0.4868778861827793,51
5,0.185,6.702611999305955,0.48743463419901456,51
5,0.186,6.707337965982061,0.4879979220913243,51
5,0.187,6.712093358077561,0.4885624257031211,51
5,0.188,6.716860796168231,0.4891329297169874,51
5,0.189,6.72160540405483,0.48971225756366576,51
5,0.19,6.726395870166814,0.49029741889631206,51
5,0.191,6.731197776109174,0.4908790281562191,51
5,0.192,6.736010771315607,0.49147056332576905,51
5,0.193,6.740799513640286,0.4920587552924011,51
5,0.194,6.745615191249471,0.4926569667858989,51
5,0.195,6.750439942967737,0.4932589395339025,51
5,0.196,6.755290896588952,0.4938679504076815,51
5,0.197,6.760133165135606,0.4944771289777622,51
5,0.198,6.76496637853905,0.49508618951365574,51
5,0.199,6.76982468368195,0.49570201956381804,51
5,0.2,6.774707708042794,0.4963162951581768,51
5,0.201,6.779580559739041,0.4969380173152732,51
5,0.202,6.784459898456075,0.49756253369254505,51
5,0.203,6.789345348187004,0.498189704142898,51
5,0.204,6.794236531763895,0.4988193880932844,51
5,0.205,6.799133531654819,0.4994491089060244,51
5,0.206,6.804035968769898,0.5000834220337048,51
5,0.207,6.808925968019139,0.5007179872964211,51
5,0.208,6.813837666900384,0.5013563717080419,51
5,0.209,6.818753188666985,0.5019965586600756,51
5,0.21,6.823672150916309,0.5026384060812839,51
5,0.211,6.828594631148729,0.5032831656800291,51
5,0.212,6.83352024557538,0.5039279793649889,51
5,0.213,6.838414080190527,0.5045752521042804,51
5,0.214,6.843362281904963,0.505223831170399,51
5,0.215,6.848294957047436,0.5058719499628449,51
5,0.216,6.853228754622701,0.5065208805467398,51
5,0.217,6.858163288575675,0.5071704812707403,51
5,0.218,6.863098172326544,0.5078206107058832,51
5,0.219,6.868033018818882,0.5084711276882609,51
5,0.22,6.872950866833462,0.5091218637156191,51
5,0.221,6.87786881261498,0.5097706147219292,51
5,0.222,6.882803031099502,0.5104214570644277,51
5,0.223,6.887735639619419,0.5110721252557503,51
5,0.224,6.892632181528483,0.5117245853222083,51
5,0.225,6.897561305619328,0.5123744242663192,51
5,0.226,6.902471060187967,0.5130250006519647,51
5,0.227,6.907395576234115,0.5136736135422632,51
5,0.228,6.912316510906198,0.5143213636324186,51
5,0.229,6.917233938085325,0.5149693904932419,51
5,0.23,6.922147471204389,0.5156149839442661,51
5,0.231,6.9270737585381825,0.5162572845364173,51
5,0.232,6.931960861462691,0.5168981139797815,51
5,0.233,6.936877442422036,0.5175439767419706,51
5,0.234,6.941754529272763,0.5181847574650577,51
5,0.235,6.9466607857948555,0.518820214032394,51
5,0.236,6.951543354530977,0.5194562054563,51
5,0.237,6.95643638247102,0.520087642552977,51
5,0.238,6.961305430016841,0.5207163840144002,51
5,0.239,6.966202140886894,0.521342360940862,51
5,0.24,6.971074133018113,0.5219677673743889,51
5,0.241,6.975955568530644,0.5225939567135396,51
5,0.242,6.980794528211409,0.5232152850909967,51
5,0.243,6.985624704247959,0.523833846213054,51
