trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
0,1,7,6660.83333333333,15,16.666666666666668
0,2,8,7410.8,17,18.88888888888889
1,1,7,81376.2333333333,14,15.555555555555555
1,2,4,82126.2333333333,13,14.444444444444445
2,1,7,89626.1,14,15.555555555555555
2,2,6,90376.1,20,22.22222222222222
3,2,5,97592.6333333333,15,16.666666666666668
4,1,8,118708.933333333,24,26.666666666666664
5,1,4,124642.166666667,13,14.444444444444445
5,2,4,125392.166666667,17,18.88888888888889
6,2,2,131025.4,17,18.88888888888889
7,1,7,135775.333333333,14,15.555555555555555
7,2,3,136525.3,22,24.444444444444443
8,1,3,143491.866666667,29,32.22222222222222
8,2,2,144241.833333333,27,30.0
9,1,4,148841.766666667,18,20.0
9,2,4,149575.1,15,16.666666666666668
10,1,6,159591.6,15,16.666666666666668
10,2,4,160341.566666667,25,27.77777777777778
11,1,7,165208.166666667,25,27.77777777777778
11,2,3,165958.133333333,18,20.0
12,2,7,171991.366666667,26,28.88888888888889
13,1,7,185857.833333333,17,18.88888888888889
14,2,8,191957.7,10,11.11111111111111
15,1,9,198240.933333333,16,17.77777777777778
15,2,7,198990.933333333,18,20.0
16,1,7,207190.8,23,25.555555555555554
17,2,7,213324.033333333,22,24.444444444444443
18,1,1,218040.6,17,18.88888888888889
18,2,8,218790.6,25,27.77777777777778
19,1,3,236223.633333333,22,24.444444444444443
19,2,7,236973.633333333,18,20.0
20,1,3,245990.133333333,17,18.88888888888889
20,2,5,246740.133333333,22,24.444444444444443
21,1,7,261273.2,17,18.88888888888889
22,1,4,267923.1,13,14.444444444444445
22,2,7,268673.1,16,17.77777777777778
23,1,5,274639.633333333,19,21.11111111111111
23,2,2,275389.633333333,20,22.22222222222222
25,1,6,292772.666666667,32,35.55555555555556
25,2,9,293522.666666667,27,30.0
26,1,7,304105.833333333,24,26.666666666666664
26,2,3,304855.8,19,21.11111111111111
27,1,2,311672.366666667,35,38.888888888888886
27,2,6,312422.333333333,24,26.666666666666664
28,2,9,319755.566666667,18,20.0
29,2,6,325155.466666667,24,26.666666666666664
30,1,6,332372.0,20,22.22222222222222
30,2,3,333122.0,20,22.22222222222222
31,1,9,339938.566666667,29,32.22222222222222
32,1,4,344688.466666667,15,16.666666666666668
32,2,5,345438.466666667,16,17.77777777777778
33,1,5,354821.633333333,21,23.333333333333332
33,2,1,355571.633333333,28,31.11111111111111
34,2,2,361104.866666667,16,17.77777777777778
35,1,7,368321.4,20,22.22222222222222
35,2,3,369071.4,20,22.22222222222222
36,1,6,375954.6,25,27.77777777777778
36,2,3,376704.6,17,18.88888888888889
37,2,3,382054.5,22,24.444444444444443
38,1,2,389554.4,25,27.77777777777778
38,2,4,390304.366666667,21,23.333333333333332
39,1,3,395470.933333333,13,14.444444444444445
40,1,5,404604.133333333,25,27.77777777777778
40,2,8,405354.1,35,38.888888888888886
41,2,9,412770.633333333,19,21.11111111111111
42,1,8,417587.233333333,14,15.555555555555555
42,2,9,418337.233333333,18,20.0
43,1,6,424153.8,14,15.555555555555555
43,2,5,424903.766666667,11,12.222222222222221
44,1,3,431803.666666667,25,27.77777777777778
44,2,2,432553.666666667,32,35.55555555555556
45,1,8,438336.9,29,32.22222222222222
46,1,2,444970.1,23,25.555555555555554
46,2,3,445720.1,23,25.555555555555554
47,1,2,450970.0,12,13.333333333333332
47,2,5,451720.0,19,21.11111111111111
48,1,2,462336.466666667,26,28.88888888888889
48,2,1,463086.466666667,23,25.555555555555554
49,1,5,468036.366666667,20,22.22222222222222
49,2,2,468786.366666667,26,28.88888888888889
50,1,2,475002.933333333,18,20.0
51,1,7,481586.133333333,29,32.22222222222222
51,2,7,482336.133333333,32,35.55555555555556
52,2,4,486852.733333333,19,21.11111111111111
53,1,8,492235.966666667,11,12.222222222222221
53,2,4,492985.966666667,16,17.77777777777778
54,1,7,499369.166666667,21,23.333333333333332
54,2,6,500119.166666667,22,24.444444444444443
55,1,8,507819.033333333,16,17.77777777777778
55,2,7,508569.033333333,18,20.0
56,1,9,513885.6,17,18.88888888888889
56,2,1,514635.6,17,18.88888888888889
57,1,8,519885.5,14,15.555555555555555
58,1,6,530285.333333333,14,15.555555555555555
58,2,6,531035.3,16,17.77777777777778
59,1,4,536818.533333333,31,34.44444444444444
60,1,1,543968.433333333,20,22.22222222222222
60,2,1,544718.4,11,12.222222222222221
61,1,2,554151.6,36,40.0
61,2,4,554901.566666667,16,17.77777777777778
62,1,1,560234.833333333,15,16.666666666666668
62,2,2,560984.8,21,23.333333333333332
63,1,7,567568.033333333,15,16.666666666666668
63,2,7,568318.0,25,27.77777777777778
64,1,8,582534.433333333,39,43.333333333333336
64,2,8,583284.433333333,32,35.55555555555556
65,2,4,589867.666666667,15,16.666666666666668
66,1,9,597917.5,22,24.444444444444443
66,2,9,598667.5,22,24.444444444444443
67,1,7,604134.066666667,18,20.0
67,2,1,604884.066666667,22,24.444444444444443
68,2,3,610283.966666667,16,17.77777777777778
69,1,5,615167.233333333,20,22.22222222222222
70,2,1,621950.433333333,19,21.11111111111111
71,2,6,627183.666666667,17,18.88888888888889
72,1,3,634633.566666667,13,14.444444444444445
72,2,1,635383.533333333,16,17.77777777777778
74,1,8,646583.333333333,12,13.333333333333332
75,1,4,651799.933333333,13,14.444444444444445
75,2,9,652549.9,17,18.88888888888889
76,1,6,659516.466666667,19,21.11111111111111
76,2,7,660266.466666667,19,21.11111111111111
77,2,5,667799.666666667,28,31.11111111111111
78,1,8,673332.9,21,23.333333333333332
78,2,5,674099.566666667,16,17.77777777777778
79,1,1,681266.1,26,28.88888888888889
79,2,6,682016.066666667,15,16.666666666666668
80,1,3,686499.333333333,15,16.666666666666668
80,2,8,687249.333333333,17,18.88888888888889
81,1,3,693599.233333333,29,32.22222222222222
81,2,4,694349.2,34,37.77777777777778
82,2,2,700699.1,16,17.77777777777778
83,1,4,718682.133333333,16,17.77777777777778
83,2,7,719432.1,18,20.0
84,1,4,729648.6,19,21.11111111111111
84,2,2,730398.6,23,25.555555555555554
85,1,3,735881.833333333,24,26.666666666666664
85,2,4,736631.833333333,17,18.88888888888889
86,1,4,741998.4,19,21.11111111111111
86,2,8,742748.366666667,10,11.11111111111111
87,1,9,749931.6,23,25.555555555555554
87,2,4,750681.566666667,28,31.11111111111111
