subject,n_mtl_neurons,n_presentations,n_fr_features,n_temporal_features,n_cv_folds,fr_accuracy,temporal_accuracy,temporal_minus_fr,fr_correct,temporal_correct
YFF,37,109,37,555,7,0.10091743119266056,0.1559633027522936,0.05504587155963303,11,17
YFI,29,104,29,435,9,0.11538461538461539,0.20192307692307693,0.08653846153846154,12,21
YFJ,45,114,45,675,4,0.16666666666666666,0.16666666666666666,0.0,19,19
YFK,44,114,44,660,4,0.14912280701754385,0.18421052631578946,0.03508771929824561,17,21
YFL,57,114,57,855,4,0.10526315789473684,0.12280701754385964,0.017543859649122806,12,14
YFM,61,114,61,915,4,0.14912280701754385,0.20175438596491227,0.05263157894736842,17,23
YFP,43,158,43,645,9,0.13924050632911392,0.12658227848101267,-0.01265822784810125,22,20
YFR,65,266,65,975,10,0.12781954887218044,0.15037593984962405,0.022556390977443608,34,40
YFS,59,264,59,885,10,0.09848484848484848,0.07575757575757576,-0.02272727272727272,26,20
YFT,52,477,52,780,10,0.11949685534591195,0.14046121593291405,0.0209643605870021,57,67
YFU,62,494,62,930,10,0.11336032388663968,0.10931174089068826,-0.004048582995951414,56,54
