subject,n_mtl_neurons,n_presentations,fr_accuracy,fr_null_mean,fr_perm_p,temporal_accuracy,temporal_null_mean,temporal_perm_p,temporal_minus_fr,delta_null_mean,delta_perm_p
YFF,37,109,0.10091743119266056,0.12403669724770643,0.7920792079207921,0.1559633027522936,0.1318348623853211,0.25742574257425743,0.05504587155963303,0.00779816513761468,0.1485148514851485
YFI,29,104,0.11538461538461539,0.12413461538461538,0.6534653465346535,0.20192307692307693,0.15326923076923077,0.1188118811881188,0.08653846153846154,0.029134615384615384,0.1485148514851485
YFJ,45,114,0.16666666666666666,0.1352631578947368,0.2376237623762376,0.16666666666666666,0.13921052631578945,0.22772277227722773,0.0,0.003947368421052632,0.594059405940594
YFK,44,114,0.14912280701754385,0.12973684210526315,0.31683168316831684,0.18421052631578946,0.13964912280701755,0.18811881188118812,0.03508771929824561,0.009912280701754383,0.33663366336633666
YFL,57,114,0.10526315789473684,0.12938596491228072,0.8217821782178217,0.12280701754385964,0.13657894736842105,0.6831683168316832,0.017543859649122806,0.00719298245614035,0.504950495049505
YFM,61,114,0.14912280701754385,0.12526315789473685,0.27722772277227725,0.20175438596491227,0.14201754385964913,0.0594059405940594,0.05263157894736842,0.01675438596491228,0.21782178217821782
YFP,43,158,0.13924050632911392,0.12253164556962026,0.297029702970297,0.12658227848101267,0.13424050632911397,0.6138613861386139,-0.01265822784810125,0.01170886075949367,0.693069306930693
YFR,65,266,0.12781954887218044,0.11319548872180452,0.297029702970297,0.15037593984962405,0.11857142857142858,0.0891089108910891,0.022556390977443608,0.005375939849624058,0.32673267326732675
YFS,59,264,0.09848484848484848,0.11268939393939392,0.8217821782178217,0.07575757575757576,0.1153030303030303,0.9801980198019802,-0.02272727272727272,0.002613636363636364,0.8613861386138614
YFT,52,477,0.11949685534591195,0.11111111111111109,0.297029702970297,0.14046121593291405,0.11362683438155136,0.06930693069306931,0.0209643605870021,0.002515723270440251,0.2376237623762376
YFU,62,494,0.11336032388663968,0.11504048582995953,0.5148514851485149,0.10931174089068826,0.11299595141700407,0.594059405940594,-0.004048582995951414,-0.0020445344129554643,0.5742574257425742
