subject,n_mtl_neurons,n_presentations,lda_accuracy,lda_null_mean,lda_null_sd,lda_perm_p,mean_neurons_used,mean_neurons_skipped,mean_population_features
YFF,37,109,0.2018348623853211,0.1314678899082569,0.0353774101136749,0.0297029702970297,37.0,0.0,111.0
YFI,29,104,0.18269230769230768,0.14923076923076922,0.0365307929629078,0.26732673267326734,29.0,0.0,87.0
YFJ,45,114,0.10526315789473684,0.13929824561403512,0.03538066616152752,0.8613861386138614,45.0,0.0,135.0
YFK,44,114,0.21052631578947367,0.13096491228070173,0.03548978832445396,0.039603960396039604,44.0,0.0,132.0
YFL,57,114,0.06140350877192982,0.13333333333333333,0.03617833658872745,0.9801980198019802,56.0,1.0,168.0
YFM,61,114,0.13157894736842105,0.1375438596491228,0.03808074536553468,0.6138613861386139,60.5,0.5,181.5
YFP,43,158,0.11392405063291139,0.13316455696202534,0.029848203315771316,0.7425742574257426,42.77777777777778,0.2222222222222222,128.33333333333334
YFR,65,266,0.14661654135338345,0.11676691729323306,0.022631075569173886,0.13861386138613863,64.9,0.1,194.7
YFS,59,264,0.0946969696969697,0.11356060606060606,0.023156717116145455,0.8217821782178217,59.0,0.0,177.0
YFT,52,477,0.11740041928721175,0.11505241090146749,0.016684653335014912,0.46534653465346537,52.0,0.0,156.0
YFU,62,494,0.10728744939271255,0.11265182186234819,0.017450121402423708,0.6336633663366337,62.0,0.0,186.0
