subject,bin_ms,n_neurons,n_bins_per_neuron,n_features,n_presentations,n_correct,accuracy,accuracy_percent,chance_percent
YFF,60,37,15,555,109,17,0.1559633027522936,15.59633027522936,11.11111111111111
YFI,60,29,15,435,104,21,0.20192307692307693,20.192307692307693,11.11111111111111
YFJ,60,45,15,675,114,19,0.16666666666666666,16.666666666666664,11.11111111111111
YFK,60,44,15,660,114,21,0.18421052631578946,18.421052631578945,11.11111111111111
YFL,60,57,15,855,114,14,0.12280701754385964,12.280701754385964,11.11111111111111
YFM,60,61,15,915,114,23,0.20175438596491227,20.175438596491226,11.11111111111111
YFP,60,43,15,645,158,20,0.12658227848101267,12.658227848101266,11.11111111111111
YFR,60,65,15,975,266,40,0.15037593984962405,15.037593984962406,11.11111111111111
YFS,60,59,15,885,264,20,0.07575757575757576,7.575757575757576,11.11111111111111
YFT,60,52,15,780,477,67,0.14046121593291405,14.046121593291405,11.11111111111111
YFU,60,62,15,930,494,54,0.10931174089068826,10.931174089068826,11.11111111111111
