subject,n_total_mtl_neurons,n_valid_tests,n_coding_raw_p_lt_0_05,coding_proportion,coding_percent
YFF,37,37,11,0.2972972972972973,29.72972972972973
YFI,29,29,8,0.27586206896551724,27.586206896551722
YFJ,45,45,13,0.28888888888888886,28.888888888888886
YFK,44,42,11,0.25,25.0
YFL,57,56,13,0.22807017543859648,22.807017543859647
YFM,61,58,17,0.2786885245901639,27.86885245901639
YFP,43,41,10,0.23255813953488372,23.25581395348837
YFR,65,64,17,0.26153846153846155,26.153846153846157
YFS,59,58,21,0.3559322033898305,35.59322033898305
YFT,52,52,16,0.3076923076923077,30.76923076923077
YFU,62,62,23,0.3709677419354839,37.096774193548384
