subject,neuron,region,best_bin_ms,best_gamma,n_presentations,temporal_accuracy,old_200perm_p,n_permutations,n_perm_equal_or_better,highres_permutation_p
YFR,33,AMY,60,0.5,266,0.206766917293233,0.0049751243781094,5000,1,0.0003999200159968
YFP,79,HPC,75,0.2,158,0.1835443037974683,0.0049751243781094,5000,2,0.0005998800239952
YFP,73,HPC,300,0.2,158,0.2025316455696202,0.0049751243781094,5000,3,0.0007998400319936
YFK,26,HPC,100,0.8,114,0.2368421052631578,0.0049751243781094,5000,4,0.000999800039992
YFR,27,AMY,150,0.2,266,0.1804511278195488,0.0049751243781094,5000,8,0.0017996400719856
YFM,64,HPC,150,0.2,114,0.2280701754385964,0.0049751243781094,5000,8,0.0017996400719856
YFS,52,HPC,60,0.5,264,0.1818181818181818,0.0049751243781094,5000,8,0.0017996400719856
YFS,36,AMY,225,0.5,264,0.178030303030303,0.0049751243781094,5000,10,0.0021995600879824
YFF,32,HPC,300,0.2,109,0.2201834862385321,0.0049751243781094,5000,11,0.0023995200959808
YFI,20,HPC,180,0.5,104,0.2307692307692307,0.0049751243781094,5000,12,0.0025994801039792
YFM,85,ENT,75,0.8,114,0.219298245614035,0.0049751243781094,5000,15,0.0031993601279744
YFL,29,HPC,300,0.2,114,0.2105263157894736,0.0049751243781094,5000,15,0.0031993601279744
YFS,80,HPC,100,0.5,264,0.178030303030303,0.0049751243781094,5000,16,0.0033993201359728
YFU,39,HPC,90,0.2,494,0.1599190283400809,0.0049751243781094,5000,17,0.0035992801439712
YFT,12,ENT,450,0.2,477,0.1551362683438155,0.0049751243781094,5000,18,0.0037992401519696
YFM,38,ENT,225,0.5,114,0.2105263157894736,0.0049751243781094,5000,19,0.003999200159968
YFU,32,HPC,225,0.5,494,0.1558704453441295,0.0049751243781094,5000,22,0.0045990801839632
YFJ,11,HPC,450,0.8,114,0.2017543859649122,0.0049751243781094,5000,22,0.0045990801839632
YFR,22,HPC,300,0.2,266,0.1729323308270676,0.0049751243781094,5000,24,0.00499900019996
YFK,36,PARA-HPC,300,0.5,114,0.2017543859649122,0.0049751243781094,5000,31,0.0063987202559488
YFS,46,HPC,90,0.2,264,0.1666666666666666,0.0049751243781094,5000,46,0.0093981203759248
YFM,33,ENT,180,0.5,114,0.1929824561403508,0.0049751243781094,5000,59,0.011997600479904
YFF,33,HPC,60,0.2,109,0.2018348623853211,0.0049751243781094,5000,67,0.0135972805438912
YFF,30,HPC,100,0.8,109,0.1926605504587156,0.0049751243781094,5000,84,0.016996600679864
YFU,56,HPC,225,0.2,494,0.145748987854251,0.0049751243781094,5000,106,0.0213957208558288
