subject,neuron,region,best_bin_ms,best_gamma,n_presentations,temporal_accuracy,old_200perm_p,n_permutations,n_perm_equal_or_better,highres_permutation_p
YFF,30,HPC,100,0.8,109,0.1926605504587156,0.0049751243781094,5000,84,0.016996600679864027
YFF,32,HPC,300,0.2,109,0.22018348623853212,0.0049751243781094,5000,11,0.0023995200959808036
YFF,33,HPC,60,0.2,109,0.2018348623853211,0.0049751243781094,5000,67,0.013597280543891222
YFI,20,HPC,180,0.5,104,0.23076923076923078,0.0049751243781094,5000,12,0.002599480103979204
YFJ,11,HPC,450,0.8,114,0.20175438596491227,0.0049751243781094,5000,22,0.004599080183963208
YFK,26,HPC,100,0.8,114,0.23684210526315788,0.0049751243781094,5000,4,0.0009998000399920016
YFK,36,PARA-HPC,300,0.5,114,0.20175438596491227,0.0049751243781094,5000,31,0.00639872025594881
YFL,29,HPC,300,0.2,114,0.21052631578947367,0.0049751243781094,5000,15,0.003199360127974405
YFM,33,ENT,180,0.5,114,0.19298245614035087,0.0049751243781094,5000,59,0.01199760047990402
YFM,38,ENT,225,0.5,114,0.21052631578947367,0.0049751243781094,5000,19,0.003999200159968006
YFM,64,HPC,150,0.2,114,0.22807017543859648,0.0049751243781094,5000,8,0.001799640071985603
YFM,85,ENT,75,0.8,114,0.21929824561403508,0.0049751243781094,5000,15,0.003199360127974405
YFP,73,HPC,300,0.2,158,0.20253164556962025,0.0049751243781094,5000,3,0.0007998400319936012
YFP,79,HPC,75,0.2,158,0.18354430379746836,0.0049751243781094,5000,2,0.0005998800239952009
YFR,22,HPC,300,0.2,266,0.17293233082706766,0.0049751243781094,5000,24,0.004999000199960008
YFR,27,AMY,150,0.2,266,0.18045112781954886,0.0049751243781094,5000,8,0.001799640071985603
YFR,33,AMY,60,0.5,266,0.20676691729323307,0.0049751243781094,5000,1,0.0003999200159968006
YFS,36,AMY,225,0.5,264,0.17803030303030304,0.0049751243781094,5000,10,0.0021995600879824036
YFS,46,HPC,90,0.2,264,0.16666666666666666,0.0049751243781094,5000,46,0.009398120375924815
YFS,52,HPC,60,0.5,264,0.18181818181818182,0.0049751243781094,5000,8,0.001799640071985603
YFS,80,HPC,100,0.5,264,0.17803030303030304,0.0049751243781094,5000,16,0.0033993201359728054
YFT,12,ENT,450,0.2,477,0.15513626834381553,0.0049751243781094,5000,18,0.003799240151969606
YFU,32,HPC,225,0.5,494,0.15587044534412955,0.0049751243781094,5000,22,0.004599080183963208
YFU,39,HPC,90,0.2,494,0.15991902834008098,0.0049751243781094,5000,17,0.003599280143971206
YFU,56,HPC,225,0.2,494,0.145748987854251,0.0049751243781094,5000,106,0.021395720855828835
