subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFF,8,ent,ENT,100,109,60.0,0.5,0.14678899082568808,0.2885572139303483,57.0,False,True,
YFF,9,hpc,HPC,100,109,90.0,0.2,0.1834862385321101,0.04477611940298507,8.0,True,True,
YFF,10,hpc,HPC,100,109,75.0,0.5,0.12844036697247707,0.31840796019900497,63.0,False,True,
YFF,11,hpc,HPC,100,109,450.0,0.2,0.1559633027522936,0.12437810945273632,24.0,False,True,
YFF,12,hpc,HPC,100,109,900.0,0.2,0.1743119266055046,0.03482587064676617,6.0,True,True,
YFF,13,hpc,HPC,100,109,75.0,0.5,0.1834862385321101,0.04477611940298507,8.0,True,True,
YFF,14,hpc,HPC,100,109,225.0,0.5,0.13761467889908258,0.22885572139303484,45.0,False,True,
YFF,15,hpc,HPC,100,109,60.0,0.2,0.12844036697247707,0.3383084577114428,67.0,False,True,
YFF,16,hpc,HPC,100,109,900.0,0.2,0.1651376146788991,0.07462686567164178,14.0,False,True,
YFF,26,hpc,HPC,100,109,90.0,0.8,0.13761467889908258,0.21890547263681592,43.0,False,True,
YFF,27,hpc,HPC,100,109,75.0,0.2,0.11009174311926606,0.35323383084577115,70.0,False,True,
YFF,28,hpc,HPC,100,109,60.0,0.2,0.1926605504587156,0.01990049751243781,3.0,True,True,
YFF,29,hpc,HPC,100,109,75.0,0.2,0.10091743119266056,0.5074626865671642,101.0,False,True,
YFF,30,hpc,HPC,100,109,100.0,0.8,0.1926605504587156,0.004975124378109453,0.0,True,True,
YFF,31,hpc,HPC,100,109,150.0,0.2,0.09174311926605505,0.6417910447761194,128.0,False,True,
YFF,32,hpc,HPC,100,109,300.0,0.2,0.22018348623853212,0.004975124378109453,0.0,True,True,
YFF,33,hpc,HPC,100,109,60.0,0.2,0.2018348623853211,0.004975124378109453,0.0,True,True,
YFF,34,hpc,HPC,100,109,180.0,0.5,0.22018348623853212,0.024875621890547265,4.0,True,True,
YFF,35,hpc,HPC,100,109,150.0,0.2,0.1651376146788991,0.0845771144278607,16.0,False,True,
YFF,36,hpc,HPC,100,109,150.0,0.2,0.06422018348623854,0.9353233830845771,187.0,False,True,
YFF,37,hpc,HPC,100,109,60.0,0.2,0.14678899082568808,0.24378109452736318,48.0,False,True,
YFF,38,hpc,HPC,100,109,75.0,0.2,0.1651376146788991,0.05970149253731343,11.0,False,True,
YFF,39,hpc,HPC,100,109,150.0,0.5,0.22018348623853212,0.009950248756218905,1.0,True,True,
YFF,40,hpc,HPC,100,109,60.0,0.8,0.14678899082568808,0.23383084577114427,46.0,False,True,
YFF,41,hpc,HPC,100,109,150.0,0.5,0.10091743119266056,0.472636815920398,94.0,False,True,
YFF,42,hpc,HPC,100,109,180.0,0.5,0.14678899082568808,0.1890547263681592,37.0,False,True,
YFF,43,hpc,HPC,100,109,90.0,0.2,0.11926605504587157,0.417910447761194,83.0,False,True,
YFF,44,hpc,HPC,100,109,100.0,0.8,0.14678899082568808,0.19900497512437812,39.0,False,True,
YFF,45,hpc,HPC,100,109,900.0,0.2,0.14678899082568808,0.1044776119402985,20.0,False,True,
YFF,46,hpc,HPC,100,109,450.0,0.5,0.1559633027522936,0.12437810945273632,24.0,False,True,
YFF,47,hpc,HPC,100,109,225.0,0.2,0.13761467889908258,0.1890547263681592,37.0,False,True,
YFF,48,hpc,HPC,100,109,180.0,0.5,0.14678899082568808,0.21393034825870647,42.0,False,True,
YFF,49,hpc,HPC,100,109,900.0,0.2,0.10091743119266056,0.582089552238806,116.0,False,True,
YFF,50,hpc,HPC,100,109,90.0,0.2,0.1926605504587156,0.009950248756218905,1.0,True,True,
YFF,51,hpc,HPC,100,109,100.0,0.2,0.1743119266055046,0.024875621890547265,4.0,True,True,
YFF,52,hpc,HPC,100,109,180.0,0.2,0.1651376146788991,0.06965174129353234,13.0,False,True,
YFF,53,hpc,HPC,100,109,60.0,0.2,0.14678899082568808,0.09950248756218906,19.0,False,True,
YFI,0,hpc,HPC,100,104,90.0,0.5,0.125,0.3681592039800995,73.0,False,True,
YFI,1,hpc,HPC,100,104,60.0,0.5,0.18269230769230768,0.024875621890547265,4.0,True,True,
YFI,2,hpc,HPC,100,104,90.0,0.2,0.1346153846153846,0.27860696517412936,55.0,False,True,
YFI,3,hpc,HPC,100,104,900.0,0.2,0.19230769230769232,0.01990049751243781,3.0,True,True,
YFI,4,hpc,HPC,100,104,90.0,0.5,0.15384615384615385,0.14427860696517414,28.0,False,True,
YFI,5,hpc,HPC,100,104,75.0,0.2,0.14423076923076922,0.208955223880597,41.0,False,True,
YFI,6,hpc,HPC,100,104,300.0,0.8,0.125,0.3482587064676617,69.0,False,True,
YFI,7,hpc,HPC,100,104,60.0,0.2,0.19230769230769232,0.01990049751243781,3.0,True,True,
YFI,8,hpc,HPC,100,104,75.0,0.2,0.14423076923076922,0.24378109452736318,48.0,False,True,
YFI,18,hpc,HPC,100,104,450.0,0.2,0.18269230769230768,0.03980099502487562,7.0,True,True,
YFI,19,hpc,HPC,100,104,180.0,0.5,0.18269230769230768,0.03482587064676617,6.0,True,True,
YFI,20,hpc,HPC,100,104,180.0,0.5,0.23076923076923078,0.004975124378109453,0.0,True,True,
YFI,21,hpc,HPC,100,104,75.0,0.5,0.125,0.31840796019900497,63.0,False,True,
YFI,22,hpc,HPC,100,104,180.0,0.2,0.09615384615384616,0.6666666666666666,133.0,False,True,
YFI,23,hpc,HPC,100,104,300.0,0.5,0.17307692307692307,0.07462686567164178,14.0,False,True,
YFI,24,hpc,HPC,100,104,75.0,0.5,0.14423076923076922,0.21890547263681592,43.0,False,True,
YFI,25,hpc,HPC,100,104,100.0,0.2,0.15384615384615385,0.13930348258706468,27.0,False,True,
YFI,26,hpc,HPC,100,104,60.0,0.2,0.15384615384615385,0.23383084577114427,46.0,False,True,
YFI,27,hpc,HPC,100,104,180.0,0.2,0.14423076923076922,0.19402985074626866,38.0,False,True,
YFI,28,hpc,HPC,100,104,90.0,0.2,0.16346153846153846,0.0945273631840796,18.0,False,True,
YFI,29,hpc,HPC,100,104,900.0,0.2,0.17307692307692307,0.05970149253731343,11.0,False,True,
YFI,30,ent,ENT,100,104,900.0,0.2,0.20192307692307693,0.009950248756218905,1.0,True,True,
YFI,31,ent,ENT,100,104,100.0,0.8,0.16346153846153846,0.09950248756218906,19.0,False,True,
YFI,32,ent,ENT,100,104,450.0,0.5,0.15384615384615385,0.10945273631840796,21.0,False,True,
YFI,33,ent,ENT,100,104,450.0,0.8,0.15384615384615385,0.13930348258706468,27.0,False,True,
YFI,34,ent,ENT,100,104,90.0,0.5,0.17307692307692307,0.04975124378109453,9.0,True,True,
YFI,35,ent,ENT,100,104,900.0,0.2,0.14423076923076922,0.21890547263681592,43.0,False,True,
YFI,36,ent,ENT,100,104,75.0,0.2,0.16346153846153846,0.07462686567164178,14.0,False,True,
YFI,37,ent,ENT,100,104,60.0,0.5,0.1346153846153846,0.32338308457711445,64.0,False,True,
YFJ,9,hpc,HPC,100,114,100.0,0.2,0.19298245614035087,0.01990049751243781,3.0,True,True,
YFJ,10,hpc,HPC,100,114,150.0,0.8,0.11403508771929824,0.42786069651741293,85.0,False,True,
YFJ,11,hpc,HPC,100,114,450.0,0.8,0.20175438596491227,0.004975124378109453,0.0,True,True,
YFJ,12,hpc,HPC,100,114,300.0,0.2,0.15789473684210525,0.05472636815920398,10.0,False,True,
YFJ,13,hpc,HPC,100,114,100.0,0.5,0.12280701754385964,0.39800995024875624,79.0,False,True,
YFJ,14,hpc,HPC,100,114,60.0,0.2,0.16666666666666666,0.31343283582089554,62.0,False,True,
YFJ,15,hpc,HPC,100,114,90.0,0.5,0.14035087719298245,0.21890547263681592,43.0,False,True,
YFJ,16,hpc,HPC,100,114,100.0,0.8,0.09649122807017543,0.5223880597014925,104.0,False,True,
YFJ,17,hpc,HPC,100,114,450.0,0.2,0.13157894736842105,0.0945273631840796,18.0,False,True,
YFJ,18,hpc,HPC,100,114,300.0,0.2,0.13157894736842105,0.24378109452736318,48.0,False,True,
YFJ,19,hpc,HPC,100,114,100.0,0.8,0.19298245614035087,0.009950248756218905,1.0,True,True,
YFJ,20,hpc,HPC,100,114,75.0,0.8,0.05263157894736842,0.8706467661691543,174.0,False,True,
