subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason,raw_significant,fdr_q,fdr_significant
YFF,8,ent,ENT,100,109,60.0,0.5,0.146788990825688,0.2885572139303483,57.0,False,True,,False,0.3885522880646274,False
YFF,9,hpc,HPC,100,109,90.0,0.2,0.1834862385321101,0.044776119402985,8.0,True,True,,True,0.15817018802093405,False
YFF,10,hpc,HPC,100,109,75.0,0.5,0.128440366972477,0.3184079601990049,63.0,False,True,,False,0.4094891970408006,False
YFF,11,hpc,HPC,100,109,450.0,0.2,0.1559633027522936,0.1243781094527363,24.0,False,True,,False,0.254367261437175,False
YFF,12,hpc,HPC,100,109,900.0,0.2,0.1743119266055046,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFF,13,hpc,HPC,100,109,75.0,0.5,0.1834862385321101,0.044776119402985,8.0,True,True,,True,0.15817018802093405,False
YFF,14,hpc,HPC,100,109,225.0,0.5,0.1376146788990825,0.2288557213930348,45.0,False,True,,False,0.3477584146307568,False
YFF,15,hpc,HPC,100,109,60.0,0.2,0.128440366972477,0.3383084577114428,67.0,False,True,,False,0.4250341824365471,False
YFF,16,hpc,HPC,100,109,900.0,0.2,0.1651376146788991,0.0746268656716417,14.0,False,True,,False,0.20400510012750295,False
YFF,26,hpc,HPC,100,109,90.0,0.8,0.1376146788990825,0.2189054726368159,43.0,False,True,,False,0.3402416488983653,False
YFF,27,hpc,HPC,100,109,75.0,0.2,0.110091743119266,0.3532338308457711,70.0,False,True,,False,0.4298863623715872,False
YFF,28,hpc,HPC,100,109,60.0,0.2,0.1926605504587156,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFF,29,hpc,HPC,100,109,75.0,0.2,0.1009174311926605,0.5074626865671642,101.0,False,True,,False,0.5610969542531247,False
YFF,30,hpc,HPC,100,109,100.0,0.8,0.1926605504587156,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFF,31,hpc,HPC,100,109,150.0,0.2,0.091743119266055,0.6417910447761194,128.0,False,True,,False,0.6701234709370613,False
YFF,32,hpc,HPC,100,109,300.0,0.2,0.2201834862385321,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFF,33,hpc,HPC,100,109,60.0,0.2,0.2018348623853211,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFF,34,hpc,HPC,100,109,180.0,0.5,0.2201834862385321,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
YFF,35,hpc,HPC,100,109,150.0,0.2,0.1651376146788991,0.0845771144278607,16.0,False,True,,False,0.21399976859886616,False
YFF,36,hpc,HPC,100,109,150.0,0.2,0.0642201834862385,0.9353233830845772,187.0,False,True,,False,0.9353233830845772,False
YFF,37,hpc,HPC,100,109,60.0,0.2,0.146788990825688,0.2437810945273631,48.0,False,True,,False,0.3517690064267521,False
YFF,38,hpc,HPC,100,109,75.0,0.2,0.1651376146788991,0.0597014925373134,11.0,False,True,,False,0.18558635394456277,False
YFF,39,hpc,HPC,100,109,150.0,0.5,0.2201834862385321,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFF,40,hpc,HPC,100,109,60.0,0.8,0.146788990825688,0.2338308457711442,46.0,False,True,,False,0.34850405506713006,False
YFF,41,hpc,HPC,100,109,150.0,0.5,0.1009174311926605,0.472636815920398,94.0,False,True,,False,0.529042032635178,False
YFF,42,hpc,HPC,100,109,180.0,0.5,0.146788990825688,0.1890547263681592,37.0,False,True,,False,0.31644852659778033,False
YFF,43,hpc,HPC,100,109,90.0,0.2,0.1192660550458715,0.417910447761194,83.0,False,True,,False,0.4847404767208732,False
YFF,44,hpc,HPC,100,109,100.0,0.8,0.146788990825688,0.1990049751243781,39.0,False,True,,False,0.32316031781391547,False
YFF,45,hpc,HPC,100,109,900.0,0.2,0.146788990825688,0.1044776119402985,20.0,False,True,,False,0.23485876403108424,False
YFF,46,hpc,HPC,100,109,450.0,0.5,0.1559633027522936,0.1243781094527363,24.0,False,True,,False,0.254367261437175,False
YFF,47,hpc,HPC,100,109,225.0,0.2,0.1376146788990825,0.1890547263681592,37.0,False,True,,False,0.31644852659778033,False
YFF,48,hpc,HPC,100,109,180.0,0.5,0.146788990825688,0.2139303482587064,42.0,False,True,,False,0.33635291749345747,False
YFF,49,hpc,HPC,100,109,900.0,0.2,0.1009174311926605,0.582089552238806,116.0,False,True,,False,0.6184701492537313,False
YFF,50,hpc,HPC,100,109,90.0,0.2,0.1926605504587156,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFF,51,hpc,HPC,100,109,100.0,0.2,0.1743119266055046,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
YFF,52,hpc,HPC,100,109,180.0,0.2,0.1651376146788991,0.0696517412935323,13.0,False,True,,False,0.19942393296674513,False
YFF,53,hpc,HPC,100,109,60.0,0.2,0.146788990825688,0.099502487562189,19.0,False,True,,False,0.22936166624504584,False
YFI,0,hpc,HPC,100,104,90.0,0.5,0.125,0.3681592039800995,73.0,False,True,,False,0.4460548039313455,False
YFI,1,hpc,HPC,100,104,60.0,0.5,0.1826923076923076,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
YFI,2,hpc,HPC,100,104,90.0,0.2,0.1346153846153846,0.2786069651741293,55.0,False,True,,False,0.3808095202380059,False
YFI,3,hpc,HPC,100,104,900.0,0.2,0.1923076923076923,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFI,4,hpc,HPC,100,104,90.0,0.5,0.1538461538461538,0.1442786069651741,28.0,False,True,,False,0.2706467661691542,False
YFI,5,hpc,HPC,100,104,75.0,0.2,0.1442307692307692,0.208955223880597,41.0,False,True,,False,0.33140420347243377,False
YFI,6,hpc,HPC,100,104,300.0,0.8,0.125,0.3482587064676617,69.0,False,True,,False,0.4298863623715872,False
YFI,7,hpc,HPC,100,104,60.0,0.2,0.1923076923076923,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFI,8,hpc,HPC,100,104,75.0,0.2,0.1442307692307692,0.2437810945273631,48.0,False,True,,False,0.3517690064267521,False
YFI,18,hpc,HPC,100,104,450.0,0.2,0.1826923076923076,0.0398009950248756,7.0,True,True,,True,0.15141077827644983,False
YFI,19,hpc,HPC,100,104,180.0,0.5,0.1826923076923076,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFI,20,hpc,HPC,100,104,180.0,0.5,0.2307692307692307,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFI,21,hpc,HPC,100,104,75.0,0.5,0.125,0.3184079601990049,63.0,False,True,,False,0.4094891970408006,False
YFI,22,hpc,HPC,100,104,180.0,0.2,0.0961538461538461,0.6666666666666666,133.0,False,True,,False,0.6907936507936507,False
YFI,23,hpc,HPC,100,104,300.0,0.5,0.173076923076923,0.0746268656716417,14.0,False,True,,False,0.20400510012750295,False
YFI,24,hpc,HPC,100,104,75.0,0.5,0.1442307692307692,0.2189054726368159,43.0,False,True,,False,0.3402416488983653,False
YFI,25,hpc,HPC,100,104,100.0,0.2,0.1538461538461538,0.1393034825870646,27.0,False,True,,False,0.2687272855580253,False
YFI,26,hpc,HPC,100,104,60.0,0.2,0.1538461538461538,0.2338308457711442,46.0,False,True,,False,0.34850405506713006,False
YFI,27,hpc,HPC,100,104,180.0,0.2,0.1442307692307692,0.1940298507462686,38.0,False,True,,False,0.3188889389908463,False
YFI,28,hpc,HPC,100,104,90.0,0.2,0.1634615384615384,0.0945273631840796,18.0,False,True,,False,0.2245540854678572,False
YFI,29,hpc,HPC,100,104,900.0,0.2,0.173076923076923,0.0597014925373134,11.0,False,True,,False,0.18558635394456277,False
YFI,30,ent,ENT,100,104,900.0,0.2,0.2019230769230769,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFI,31,ent,ENT,100,104,100.0,0.8,0.1634615384615384,0.099502487562189,19.0,False,True,,False,0.22936166624504584,False
YFI,32,ent,ENT,100,104,450.0,0.5,0.1538461538461538,0.1094527363184079,21.0,False,True,,False,0.24204182340330854,False
YFI,33,ent,ENT,100,104,450.0,0.8,0.1538461538461538,0.1393034825870646,27.0,False,True,,False,0.2687272855580253,False
YFI,34,ent,ENT,100,104,90.0,0.5,0.173076923076923,0.0497512437810945,9.0,True,True,,True,0.1691542288557213,False
YFI,35,ent,ENT,100,104,900.0,0.2,0.1442307692307692,0.2189054726368159,43.0,False,True,,False,0.3402416488983653,False
YFI,36,ent,ENT,100,104,75.0,0.2,0.1634615384615384,0.0746268656716417,14.0,False,True,,False,0.20400510012750295,False
YFI,37,ent,ENT,100,104,60.0,0.5,0.1346153846153846,0.3233830845771144,64.0,False,True,,False,0.4129586807745311,False
YFJ,9,hpc,HPC,100,114,100.0,0.2,0.1929824561403508,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFJ,10,hpc,HPC,100,114,150.0,0.8,0.1140350877192982,0.4278606965174129,85.0,False,True,,False,0.49208502939846216,False
YFJ,11,hpc,HPC,100,114,450.0,0.8,0.2017543859649122,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFJ,12,hpc,HPC,100,114,300.0,0.2,0.1578947368421052,0.0547263681592039,10.0,False,True,,False,0.18043117744610257,False
YFJ,13,hpc,HPC,100,114,100.0,0.5,0.1228070175438596,0.3980099502487562,79.0,False,True,,False,0.4727454430902257,False
YFJ,14,hpc,HPC,100,114,60.0,0.2,0.1666666666666666,0.3134328358208955,62.0,False,True,,False,0.4079125901592515,False
YFJ,15,hpc,HPC,100,114,90.0,0.5,0.1403508771929824,0.2189054726368159,43.0,False,True,,False,0.3402416488983653,False
YFJ,16,hpc,HPC,100,114,100.0,0.8,0.0964912280701754,0.5223880597014925,104.0,False,True,,False,0.5740992009648725,False
YFJ,17,hpc,HPC,100,114,450.0,0.2,0.131578947368421,0.0945273631840796,18.0,False,True,,False,0.2245540854678572,False
YFJ,18,hpc,HPC,100,114,300.0,0.2,0.131578947368421,0.2437810945273631,48.0,False,True,,False,0.3517690064267521,False
YFJ,19,hpc,HPC,100,114,100.0,0.8,0.1929824561403508,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFJ,20,hpc,HPC,100,114,75.0,0.8,0.0526315789473684,0.8706467661691543,174.0,False,True,,False,0.8787232667829683,False
YFJ,21,hpc,HPC,100,114,60.0,0.5,0.1842105263157894,0.044776119402985,8.0,True,True,,True,0.15817018802093405,False
YFJ,22,hpc,HPC,100,114,60.0,0.5,0.2017543859649122,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
YFJ,23,hpc,HPC,100,114,60.0,0.2,0.175438596491228,0.0398009950248756,7.0,True,True,,True,0.15141077827644983,False
YFJ,24,hpc,HPC,100,114,60.0,0.2,0.1403508771929824,0.2288557213930348,45.0,False,True,,False,0.3477584146307568,False
YFJ,25,hpc,HPC,100,114,60.0,0.2,0.131578947368421,0.3482587064676617,69.0,False,True,,False,0.4298863623715872,False
YFJ,26,hpc,HPC,100,114,100.0,0.8,0.131578947368421,0.3681592039800995,73.0,False,True,,False,0.4460548039313455,False
YFJ,27,hpc,HPC,100,114,100.0,0.8,0.1403508771929824,0.208955223880597,41.0,False,True,,False,0.33140420347243377,False
YFJ,28,hpc,HPC,100,114,180.0,0.8,0.2456140350877192,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFJ,37,hpc,HPC,100,114,100.0,0.2,0.1578947368421052,0.0796019900497512,15.0,False,True,,False,0.21021108051973134,False
YFJ,38,hpc,HPC,100,114,180.0,0.2,0.1228070175438596,0.2885572139303483,57.0,False,True,,False,0.3885522880646274,False
YFJ,39,hpc,HPC,100,114,900.0,0.2,0.1403508771929824,0.1691542288557214,33.0,False,True,,False,0.2939932923243209,False
YFJ,40,hpc,HPC,100,114,150.0,0.2,0.131578947368421,0.3184079601990049,63.0,False,True,,False,0.4094891970408006,False
YFJ,41,hpc,HPC,100,114,225.0,0.2,0.175438596491228,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFJ,42,hpc,HPC,100,114,300.0,0.8,0.1842105263157894,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFJ,43,hpc,HPC,100,114,450.0,0.2,0.1491228070175438,0.1194029850746268,23.0,False,True,,False,0.25373134328358193,False
YFJ,44,hpc,HPC,100,114,100.0,0.2,0.1578947368421052,0.1243781094527363,24.0,False,True,,False,0.254367261437175,False
YFJ,45,hpc,HPC,100,114,450.0,0.2,0.1052631578947368,0.2935323383084577,58.0,False,True,,False,0.392338063979855,False
YFJ,46,hpc,HPC,100,114,90.0,0.2,0.175438596491228,0.0746268656716417,14.0,False,True,,False,0.20400510012750295,False
YFJ,47,hpc,HPC,100,114,225.0,0.5,0.1578947368421052,0.0895522388059701,17.0,False,True,,False,0.21845927314102123,False
YFJ,48,hpc,HPC,100,114,225.0,0.8,0.1842105263157894,0.0298507462686567,5.0,True,True,,True,0.13646055437100205,False
YFJ,49,hpc,HPC,100,114,900.0,0.2,0.1842105263157894,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
