subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFF,30,hpc,HPC,100,109,100.0,0.8,0.1926605504587156,0.0049751243781094,0.0,True,True,
YFF,32,hpc,HPC,100,109,300.0,0.2,0.2201834862385321,0.0049751243781094,0.0,True,True,
YFF,33,hpc,HPC,100,109,60.0,0.2,0.2018348623853211,0.0049751243781094,0.0,True,True,
YFI,20,hpc,HPC,100,104,180.0,0.5,0.2307692307692307,0.0049751243781094,0.0,True,True,
YFJ,11,hpc,HPC,100,114,450.0,0.8,0.2017543859649122,0.0049751243781094,0.0,True,True,
YFK,26,hpc,HPC,100,114,100.0,0.8,0.2368421052631578,0.0049751243781094,0.0,True,True,
YFK,36,para-hpc,PARA-HPC,100,114,300.0,0.5,0.2017543859649122,0.0049751243781094,0.0,True,True,
YFL,29,hpc,HPC,100,114,300.0,0.2,0.2105263157894736,0.0049751243781094,0.0,True,True,
YFM,33,ent,ENT,100,114,180.0,0.5,0.1929824561403508,0.0049751243781094,0.0,True,True,
YFM,38,ent,ENT,100,114,225.0,0.5,0.2105263157894736,0.0049751243781094,0.0,True,True,
YFM,64,hpc,HPC,100,114,150.0,0.2,0.2280701754385964,0.0049751243781094,0.0,True,True,
YFM,85,ent,ENT,100,114,75.0,0.8,0.219298245614035,0.0049751243781094,0.0,True,True,
YFP,73,hpc,HPC,141,158,300.0,0.2,0.2025316455696202,0.0049751243781094,0.0,True,True,
YFP,79,hpc,HPC,141,158,75.0,0.2,0.1835443037974683,0.0049751243781094,0.0,True,True,
YFR,22,hpc,HPC,160,266,300.0,0.2,0.1729323308270676,0.0049751243781094,0.0,True,True,
YFR,27,amy,AMY,160,266,150.0,0.2,0.1804511278195488,0.0049751243781094,0.0,True,True,
YFR,33,amy,AMY,160,266,60.0,0.5,0.206766917293233,0.0049751243781094,0.0,True,True,
YFS,36,amy,AMY,160,264,225.0,0.5,0.178030303030303,0.0049751243781094,0.0,True,True,
YFS,46,hpc,HPC,160,264,90.0,0.2,0.1666666666666666,0.0049751243781094,0.0,True,True,
YFS,52,hpc,HPC,160,264,60.0,0.5,0.1818181818181818,0.0049751243781094,0.0,True,True,
YFS,80,hpc,HPC,160,264,100.0,0.5,0.178030303030303,0.0049751243781094,0.0,True,True,
YFT,12,ent,ENT,300,477,450.0,0.2,0.1551362683438155,0.0049751243781094,0.0,True,True,
YFU,32,hpc,HPC,300,494,225.0,0.5,0.1558704453441295,0.0049751243781094,0.0,True,True,
YFU,39,hpc,HPC,300,494,90.0,0.2,0.1599190283400809,0.0049751243781094,0.0,True,True,
YFU,56,hpc,HPC,300,494,225.0,0.2,0.145748987854251,0.0049751243781094,0.0,True,True,
