subject,neuron,best_bin_ms,best_gamma,overall_accuracy,max_class_accuracy,n_tied_preferred,preferred_numbers,has_tie,valid,preferred_number
YFF,9,90,0.2,0.1834862385321101,0.42857142857142855,1,4,False,True,4.0
YFF,12,900,0.2,0.1743119266055046,0.6666666666666666,1,2,False,True,2.0
YFF,13,75,0.5,0.1834862385321101,0.42857142857142855,1,5,False,True,5.0
YFF,28,60,0.2,0.1926605504587156,0.3333333333333333,1,8,False,True,8.0
YFF,30,100,0.8,0.1926605504587156,0.42857142857142855,1,9,False,True,9.0
YFF,32,300,0.2,0.22018348623853212,0.4375,1,6,False,True,6.0
YFF,33,60,0.2,0.2018348623853211,0.36363636363636365,1,3,False,True,3.0
YFF,34,180,0.5,0.22018348623853212,0.42857142857142855,1,5,False,True,5.0
YFF,39,150,0.5,0.22018348623853212,0.5,1,9,False,True,9.0
YFF,50,90,0.2,0.1926605504587156,0.4117647058823529,1,7,False,True,7.0
YFF,51,100,0.2,0.1743119266055046,0.7333333333333333,1,2,False,True,2.0
YFI,1,60,0.5,0.18269230769230768,0.30434782608695654,1,8,False,True,8.0
YFI,3,900,0.2,0.19230769230769232,0.5555555555555556,1,5,False,True,5.0
YFI,7,60,0.2,0.19230769230769232,0.4444444444444444,1,9,False,True,9.0
YFI,18,450,0.2,0.18269230769230768,0.5,1,7,False,True,7.0
YFI,19,180,0.5,0.18269230769230768,0.3333333333333333,1,9,False,True,9.0
YFI,20,180,0.5,0.23076923076923078,0.5454545454545454,3,"2,3,4",True,True,
YFI,30,900,0.2,0.20192307692307693,0.6363636363636364,1,4,False,True,4.0
YFI,34,90,0.5,0.17307692307692307,0.36363636363636365,1,2,False,True,2.0
YFJ,9,100,0.2,0.19298245614035087,0.4166666666666667,1,8,False,True,8.0
YFJ,11,450,0.8,0.20175438596491227,0.375,1,6,False,True,6.0
YFJ,19,100,0.8,0.19298245614035087,0.42857142857142855,1,5,False,True,5.0
YFJ,21,60,0.5,0.18421052631578946,0.5,1,4,False,True,4.0
YFJ,22,60,0.5,0.20175438596491227,0.5,1,4,False,True,4.0
YFJ,23,60,0.2,0.17543859649122806,0.2631578947368421,1,1,False,True,1.0
YFJ,28,180,0.8,0.24561403508771928,0.5,1,4,False,True,4.0
YFJ,41,225,0.2,0.17543859649122806,0.5,1,8,False,True,8.0
YFJ,42,300,0.8,0.18421052631578946,0.4166666666666667,1,8,False,True,8.0
YFJ,48,225,0.8,0.18421052631578946,0.5,1,8,False,True,8.0
YFJ,49,900,0.2,0.18421052631578946,0.4166666666666667,1,8,False,True,8.0
YFJ,57,100,0.8,0.19298245614035087,0.3,1,7,False,True,7.0
YFJ,60,75,0.5,0.18421052631578946,0.2631578947368421,1,1,False,True,1.0
YFK,26,100,0.8,0.23684210526315788,0.5,2,"7,9",True,True,
YFK,28,225,0.2,0.18421052631578946,0.3157894736842105,1,1,False,True,1.0
YFK,36,300,0.5,0.20175438596491227,0.5,1,8,False,True,8.0
YFK,37,100,0.2,0.17543859649122806,0.47058823529411764,1,2,False,True,2.0
YFK,39,60,0.5,0.21929824561403508,0.5,1,9,False,True,9.0
YFK,42,225,0.2,0.19298245614035087,0.75,1,4,False,True,4.0
YFK,45,180,0.2,0.18421052631578946,0.42105263157894735,1,1,False,True,1.0
YFK,48,60,0.5,0.19298245614035087,0.5,2,"3,4",True,True,
YFK,51,90,0.2,0.21052631578947367,0.5,1,4,False,True,4.0
YFK,57,225,0.8,0.18421052631578946,0.6875,1,6,False,True,6.0
YFK,59,100,0.2,0.17543859649122806,0.35714285714285715,1,3,False,True,3.0
YFL,24,75,0.5,0.19298245614035087,0.5263157894736842,1,1,False,True,1.0
YFL,26,100,0.2,0.18421052631578946,0.3125,1,6,False,True,6.0
YFL,29,300,0.2,0.21052631578947367,0.47058823529411764,1,2,False,True,2.0
YFL,30,100,0.8,0.18421052631578946,0.35714285714285715,1,3,False,True,3.0
YFL,32,900,0.2,0.16666666666666666,0.7857142857142857,1,5,False,True,5.0
YFL,35,450,0.2,0.17543859649122806,0.75,1,4,False,True,4.0
YFL,38,450,0.2,0.18421052631578946,0.5,2,"4,5",True,True,
YFL,65,225,0.2,0.17543859649122806,0.6842105263157895,1,1,False,True,1.0
YFL,71,60,0.5,0.19298245614035087,0.5,1,4,False,True,4.0
YFL,72,60,0.8,0.18421052631578946,0.42105263157894735,1,1,False,True,1.0
YFL,73,150,0.2,0.17543859649122806,1.0,1,4,False,True,4.0
YFL,77,100,0.2,0.18421052631578946,0.6875,1,6,False,True,6.0
YFL,92,100,0.5,0.21052631578947367,0.625,1,9,False,True,9.0
