assignment_id,assignment,friedman_statistic,p_value
1,"(2, 7, 3, 4)",11.235646958012001,0.18870127239488171
2,"(2, 7, 3, 5)",10.650725875320228,0.22228548418198982
3,"(2, 7, 4, 4)",12.726643598615896,0.12160746498811907
4,"(2, 7, 4, 5)",12.144827586206912,0.14485807014098032
5,"(2, 9, 3, 4)",11.741496598639433,0.16311567921509548
6,"(2, 9, 3, 5)",11.14576271186438,0.19357608979031357
7,"(2, 9, 4, 4)",13.272264631043278,0.10281887283496832
8,"(2, 9, 4, 5)",12.67962806424346,0.12335833584038262
9,"(3, 7, 3, 4)",10.198952879581173,0.2513388428244881
10,"(3, 7, 3, 5)",9.593043478260888,0.29475788042515433
11,"(3, 7, 4, 4)",11.319823788546273,0.18422762334725173
12,"(3, 7, 4, 5)",10.71817383669886,0.21818479289480514
13,"(3, 9, 3, 4)",10.729004329004315,0.21753196346859535
14,"(3, 9, 3, 5)",10.112165660051765,0.2572414807225482
15,"(3, 9, 4, 4)",11.95164075993093,0.15337463098249496
16,"(3, 9, 4, 5)",11.339070567986248,0.1832170798514611
17,"(4, 7, 3, 4)",12.181662382176501,0.14328074441498975
18,"(4, 7, 3, 5)",11.593509820666126,0.17028262270806122
19,"(4, 7, 4, 4)",13.723183391003442,0.0892720230267197
20,"(4, 7, 4, 5)",13.137931034482776,0.10719113709824184
21,"(4, 9, 3, 4)",12.639455782312915,0.1248716396178708
22,"(4, 9, 3, 5)",12.040677966101681,0.149398139720563
23,"(4, 9, 4, 4)",14.249363867684501,0.07549294385774519
24,"(4, 9, 4, 5)",13.65342349957736,0.09125817119564869
