Subject,Region,Neuron,IsTuned
YFF,ent,8,0
YFF,hpc,9,1
YFF,hpc,10,0
YFF,hpc,11,0
YFF,hpc,12,1
YFF,hpc,13,1
YFF,hpc,14,0
YFF,hpc,15,0
YFF,hpc,16,0
YFF,hpc,26,0
YFF,hpc,27,0
YFF,hpc,28,1
YFF,hpc,29,0
YFF,hpc,30,1
YFF,hpc,31,0
YFF,hpc,32,1
YFF,hpc,33,1
YFF,hpc,34,1
YFF,hpc,35,0
YFF,hpc,36,0
YFF,hpc,37,0
YFF,hpc,38,0
YFF,hpc,39,1
YFF,hpc,40,0
YFF,hpc,41,0
YFF,hpc,42,0
YFF,hpc,43,0
YFF,hpc,44,0
YFF,hpc,45,0
YFF,hpc,46,0
YFF,hpc,47,0
YFF,hpc,48,0
YFF,hpc,49,0
YFF,hpc,50,1
YFF,hpc,51,1
YFF,hpc,52,0
YFF,hpc,53,0
YFI,hpc,0,0
YFI,hpc,1,1
YFI,hpc,2,0
YFI,hpc,3,1
YFI,hpc,4,0
YFI,hpc,5,0
YFI,hpc,6,0
YFI,hpc,7,1
YFI,hpc,8,0
YFI,hpc,18,1
YFI,hpc,19,1
YFI,hpc,20,1
YFI,hpc,21,0
YFI,hpc,22,0
YFI,hpc,23,0
YFI,hpc,24,0
YFI,hpc,25,0
YFI,hpc,26,0
YFI,hpc,27,0
YFI,hpc,28,0
YFI,hpc,29,0
YFI,ent,30,1
YFI,ent,31,0
YFI,ent,32,0
YFI,ent,33,0
YFI,ent,34,1
YFI,ent,35,0
YFI,ent,36,0
YFI,ent,37,0
YFJ,hpc,9,1
YFJ,hpc,10,0
YFJ,hpc,11,1
YFJ,hpc,12,0
YFJ,hpc,13,0
YFJ,hpc,14,0
YFJ,hpc,15,0
YFJ,hpc,16,0
YFJ,hpc,17,0
YFJ,hpc,18,0
YFJ,hpc,19,1
YFJ,hpc,20,0
YFJ,hpc,21,1
YFJ,hpc,22,1
YFJ,hpc,23,1
YFJ,hpc,24,0
YFJ,hpc,25,0
YFJ,hpc,26,0
YFJ,hpc,27,0
YFJ,hpc,28,1
YFJ,hpc,37,0
YFJ,hpc,38,0
YFJ,hpc,39,0
YFJ,hpc,40,0
YFJ,hpc,41,1
YFJ,hpc,42,1
YFJ,hpc,43,0
YFJ,hpc,44,0
YFJ,hpc,45,0
YFJ,hpc,46,0
YFJ,hpc,47,0
YFJ,hpc,48,1
YFJ,hpc,49,1
YFJ,hpc,50,0
YFJ,hpc,51,0
YFJ,hpc,52,0
YFJ,hpc,53,0
YFJ,hpc,54,0
YFJ,hpc,55,0
YFJ,hpc,56,0
YFJ,hpc,57,1
YFJ,hpc,58,0
YFJ,hpc,59,0
YFJ,hpc,60,1
YFJ,hpc,61,0
YFK,hpc,24,0
YFK,hpc,25,0
YFK,hpc,26,1
YFK,hpc,27,0
YFK,hpc,28,1
YFK,hpc,29,0
YFK,hpc,30,0
YFK,hpc,31,0
YFK,hpc,32,0
YFK,hpc,33,0
YFK,para-hpc,34,0
YFK,para-hpc,35,0
YFK,para-hpc,36,1
YFK,para-hpc,37,1
YFK,para-hpc,38,0
YFK,para-hpc,39,1
YFK,para-hpc,40,0
YFK,para-hpc,41,0
YFK,para-hpc,42,1
YFK,para-hpc,43,0
YFK,para-hpc,44,0
YFK,para-hpc,45,1
YFK,para-hpc,46,0
YFK,hpc,47,0
YFK,hpc,48,1
YFK,hpc,49,0
YFK,hpc,50,0
YFK,hpc,51,1
YFK,hpc,52,0
YFK,hpc,53,0
YFK,hpc,54,0
YFK,hpc,55,0
YFK,hpc,56,0
YFK,hpc,57,1
YFK,hpc,58,0
YFK,hpc,59,1
YFK,hpc,60,0
YFK,hpc,61,0
YFK,hpc,62,0
YFK,para-hpc,63,0
YFK,para-hpc,64,0
YFK,para-hpc,65,0
YFK,para-hpc,66,0
YFK,para-hpc,67,0
YFL,hpc,19,0
YFL,hpc,20,0
YFL,hpc,21,0
YFL,hpc,22,0
YFL,hpc,23,0
YFL,hpc,24,1
YFL,hpc,25,0
YFL,hpc,26,1
YFL,hpc,27,0
YFL,hpc,28,0
YFL,hpc,29,1
YFL,hpc,30,1
YFL,hpc,31,0
YFL,hpc,32,1
YFL,hpc,33,0
YFL,hpc,34,0
YFL,hpc,35,1
YFL,hpc,36,0
YFL,hpc,37,0
YFL,hpc,38,1
YFL,hpc,39,0
YFL,hpc,58,0
YFL,hpc,59,0
YFL,hpc,60,0
YFL,hpc,61,0
YFL,hpc,62,0
YFL,hpc,63,0
YFL,hpc,64,0
YFL,hpc,65,1
YFL,hpc,66,0
YFL,hpc,67,0
YFL,hpc,68,0
YFL,hpc,69,0
YFL,hpc,70,0
YFL,hpc,71,1
YFL,hpc,72,1
YFL,hpc,73,1
YFL,hpc,74,0
YFL,hpc,75,0
YFL,hpc,76,0
YFL,hpc,77,1
YFL,hpc,78,0
YFL,ent,79,0
YFL,ent,80,0
YFL,ent,81,0
YFL,ent,82,0
YFL,ent,83,0
YFL,ent,84,0
YFL,ent,85,0
YFL,ent,86,0
YFL,ent,87,0
YFL,ent,88,0
YFL,ent,89,0
YFL,ent,90,0
YFL,ent,91,0
YFL,ent,92,1
YFL,ent,93,0
YFM,hpc,15,0
YFM,hpc,16,1
YFM,hpc,17,1
YFM,hpc,18,0
YFM,hpc,19,0
YFM,hpc,20,0
YFM,hpc,21,0
YFM,hpc,22,0
YFM,hpc,23,0
YFM,hpc,24,0
YFM,hpc,25,0
YFM,ent,33,1
YFM,ent,34,0
YFM,ent,35,1
YFM,ent,36,1
YFM,ent,37,0
YFM,ent,38,1
YFM,ent,39,0
YFM,ent,40,1
YFM,ent,41,0
YFM,ent,42,1
