subject,n_neurons,n_valid,n_coding,coding_proportion,coding_percentage
YFF,37,37,11,0.2972972972972973,29.72972972972973
YFI,29,29,8,0.27586206896551724,27.586206896551722
YFJ,45,45,13,0.28888888888888886,28.888888888888886
YFK,44,42,11,0.2619047619047619,26.190476190476193
YFL,57,56,13,0.23214285714285715,23.214285714285715
YFM,61,58,17,0.29310344827586204,29.310344827586203
YFP,43,41,10,0.24390243902439024,24.390243902439025
YFR,65,64,17,0.265625,26.5625
YFS,59,58,21,0.3620689655172414,36.206896551724135
YFT,52,52,16,0.3076923076923077,30.76923076923077
YFU,62,62,23,0.3709677419354839,37.096774193548384
