subject,total_mtl_neurons,temporal_coding_neurons,temporal_percentage,fr_coding_neurons,fr_percentage,difference_percentage_points
YFF,37,11,29.72972972972973,1,2.7027027027027026,27.027027027027028
YFI,29,8,27.586206896551722,2,6.896551724137931,20.689655172413794
YFJ,45,13,28.88888888888889,2,4.444444444444445,24.444444444444443
YFK,44,11,25.0,1,2.272727272727273,22.727272727272727
YFL,57,13,22.80701754385965,1,1.7543859649122806,21.05263157894737
YFM,61,17,27.868852459016395,1,1.639344262295082,26.229508196721312
YFP,43,10,23.25581395348837,3,6.976744186046512,16.27906976744186
YFR,65,17,26.153846153846153,2,3.076923076923077,23.076923076923077
YFS,59,21,35.59322033898305,2,3.389830508474576,32.20338983050848
YFT,52,16,30.76923076923077,5,9.615384615384615,21.153846153846153
YFU,62,23,37.096774193548384,5,8.064516129032258,29.032258064516128
