subject,n_paired_neurons,mean_temporal_accuracy,mean_fr_accuracy,mean_difference,difference_percentage_points
YFF,37,0.1529878502355566,0.10438879246218691,0.04859905777336972,4.859905777336972
YFI,29,0.1588196286472148,0.11306366047745355,0.04575596816976126,4.575596816976126
YFJ,45,0.15126705653021436,0.10136452241715396,0.04990253411306041,4.990253411306041
YFK,44,0.15709728867623599,0.11483253588516741,0.04226475279106857,4.2264752791068565
YFL,56,0.150375939849624,0.09790100250626563,0.052474937343358376,5.247493734335838
YFM,59,0.15462384775498061,0.09842402616711265,0.05619982158786795,5.6199821587867955
YFP,41,0.14665020067922194,0.10497066995986411,0.041679530719357816,4.167953071935782
YFR,64,0.13627819548872175,0.10637922932330823,0.029898966165413522,2.989896616541352
YFS,59,0.13604262968669745,0.10837185413456596,0.02767077555213149,2.7670775552131492
YFT,52,0.13102725366876306,0.1144170295113691,0.01661022415739397,1.661022415739397
YFU,62,0.1333420399634321,0.10993208828522914,0.02340995167820295,2.340995167820295
