number,trial_index,operand,spike_time_s
7,0,1,0.02
7,0,1,0.133
7,0,1,0.266
7,0,1,0.839
7,0,1,0.849
7,0,1,0.936
7,0,1,0.938
8,0,2,0.089
8,0,2,0.099
8,0,2,0.186
8,0,2,0.188
8,0,2,0.447
8,0,2,0.745
8,0,2,0.768
7,1,1,0.087
7,1,1,0.273
7,1,1,0.424
7,1,1,0.463
7,1,1,0.647
7,1,1,0.797
4,1,2,0.047
4,1,2,0.272
4,1,2,0.279
4,1,2,0.324
4,1,2,0.42
4,1,2,0.627
4,1,2,0.694
4,1,2,0.712
7,2,1,0.05
7,2,1,0.056
7,2,1,0.059
7,2,1,0.074
7,2,1,0.634
7,2,1,0.655
7,2,1,0.728
6,2,2,0.266
6,2,2,0.282
6,2,2,0.355
6,2,2,0.489
6,2,2,0.498
6,2,2,0.841
5,3,2,0.173
5,3,2,0.302
5,3,2,0.715
5,3,2,0.783
5,3,2,0.993
8,4,1,0.039
8,4,1,0.263
8,4,1,0.614
8,4,1,0.668
8,4,1,0.912
4,5,1,0.199
4,5,1,0.513
4,5,1,0.802
4,5,2,0.052
4,5,2,0.318
4,5,2,0.344
4,5,2,0.387
4,5,2,0.414
4,5,2,0.481
4,5,2,0.494
4,5,2,0.537
4,5,2,0.61
2,6,2,0.083
2,6,2,0.162
2,6,2,0.261
2,6,2,0.402
2,6,2,0.553
2,6,2,0.619
2,6,2,0.693
2,6,2,0.906
2,6,2,0.938
7,7,1,0.005
7,7,1,0.141
7,7,1,0.166
7,7,1,0.299
7,7,1,0.371
7,7,1,0.988
3,7,2,0.238
3,7,2,0.482
3,7,2,0.596
3,7,2,0.827
3,7,2,0.849
3,7,2,0.872
3,7,2,0.995
3,8,1,0.11
3,8,1,0.22
3,8,1,0.31
3,8,1,0.396
3,8,1,0.451
3,8,1,0.604
3,8,1,0.731
3,8,1,0.776
3,8,1,0.779
3,8,1,0.885
2,8,2,0.026
2,8,2,0.029
2,8,2,0.135
2,8,2,0.358
2,8,2,0.546
2,8,2,0.667
2,8,2,0.846
2,8,2,0.848
2,8,2,0.851
2,8,2,0.86
4,9,1,0.163
4,9,1,0.387
4,9,1,0.43
4,9,1,0.518
4,9,1,0.623
4,9,1,0.683
4,9,1,0.795
4,9,1,0.858
4,9,2,0.062
4,9,2,0.125
4,9,2,0.309
4,9,2,0.553
6,10,1,0.034
6,10,1,0.039
6,10,1,0.042
6,10,1,0.289
6,10,1,0.389
6,10,1,0.396
6,10,1,0.494
6,10,1,0.94
6,10,1,0.949
4,10,2,0.19
4,10,2,0.199
4,10,2,0.569
4,10,2,0.574
4,10,2,0.682
7,11,1,0.081
7,11,1,0.368
7,11,1,0.827
7,11,1,0.835
7,11,1,0.856
7,11,1,0.991
3,11,2,0.077
3,11,2,0.085
3,11,2,0.106
3,11,2,0.241
3,11,2,0.611
7,12,2,0.024
7,12,2,0.308
7,12,2,0.717
7,12,2,0.787
7,12,2,0.892
7,12,2,0.893
7,13,1,0.118
7,13,1,0.386
7,13,1,0.488
7,13,1,0.553
7,13,1,0.614
7,13,1,0.868
7,13,1,0.87
7,13,1,0.899
8,14,2,0.061
8,14,2,0.088
8,14,2,0.108
8,14,2,0.492
8,14,2,0.614
