trial_index,operand,number,bin1,bin2,bin3,bin4,bin5,bin6
0.0,1.0,7,1,1,0,0,0,4
0.0,2.0,8,4,0,1,0,2,0
1.0,1.0,7,1,1,2,1,1,0
1.0,2.0,4,0,3,1,1,2,0
2.0,1.0,7,4,0,0,1,2,0
2.0,2.0,6,0,2,3,0,0,1
3.0,2.0,5,1,1,0,0,2,0
4.0,1.0,8,0,1,0,1,1,1
5.0,1.0,4,1,0,0,1,0,1
5.0,2.0,4,1,2,4,2,0,0
6.0,2.0,2,2,1,1,2,1,2
7.0,1.0,7,2,1,1,0,0,0
7.0,2.0,3,0,1,1,1,0,3
8.0,1.0,3,1,2,2,1,3,1
8.0,2.0,2,1,0,1,1,1,4
9.0,1.0,4,1,0,2,2,2,1
9.0,2.0,4,2,1,0,1,0,0
10.0,1.0,6,0,1,3,0,0,2
10.0,2.0,4,2,0,0,2,1,0
11.0,1.0,7,1,0,1,0,0,3
11.0,2.0,3,3,1,0,1,0,0
12.0,2.0,7,0,1,0,0,2,2
13.0,1.0,7,1,0,2,2,0,3
14.0,2.0,8,3,0,1,1,1,2
15.0,1.0,9,1,0,0,0,3,1
15.0,2.0,7,1,1,2,2,1,0
16.0,1.0,7,1,3,2,1,1,1
17.0,2.0,7,1,1,0,0,4,3
18.0,1.0,1,1,0,1,0,0,1
18.0,2.0,8,1,2,1,1,0,0
19.0,1.0,3,2,1,2,1,2,0
19.0,2.0,7,0,0,2,0,0,0
20.0,1.0,3,2,1,2,3,1,2
20.0,2.0,5,2,4,0,1,1,0
21.0,1.0,7,1,1,1,2,1,0
22.0,1.0,4,1,1,2,0,1,1
22.0,2.0,7,1,2,0,2,2,3
23.0,1.0,5,1,1,1,1,1,0
23.0,2.0,2,0,3,1,1,1,1
25.0,1.0,6,1,1,1,1,0,1
25.0,2.0,9,1,0,1,0,0,1
26.0,1.0,7,0,2,1,0,2,3
26.0,2.0,3,3,1,0,1,0,1
27.0,1.0,2,1,1,1,0,0,1
27.0,2.0,6,1,1,1,2,1,0
28.0,2.0,9,0,3,2,3,0,2
29.0,2.0,6,0,1,1,2,1,2
30.0,1.0,6,0,1,3,1,0,1
30.0,2.0,3,1,1,0,2,0,0
31.0,1.0,9,2,0,0,2,2,0
32.0,1.0,4,0,1,2,1,0,0
32.0,2.0,5,0,0,0,1,0,1
33.0,1.0,5,0,0,0,0,2,2
33.0,2.0,1,2,3,1,1,0,1
34.0,2.0,2,1,1,2,2,1,1
35.0,1.0,7,0,0,0,2,1,0
35.0,2.0,3,0,0,0,0,1,0
36.0,1.0,6,0,1,1,2,0,1
36.0,2.0,3,1,1,0,0,2,0
37.0,2.0,3,0,0,0,1,0,1
38.0,1.0,2,2,3,1,3,1,1
38.0,2.0,4,1,1,0,3,1,1
39.0,1.0,3,1,1,0,1,1,2
40.0,1.0,5,0,2,0,0,1,3
40.0,2.0,8,3,2,2,1,1,1
41.0,2.0,9,2,4,1,2,1,0
42.0,1.0,8,0,1,1,0,0,1
42.0,2.0,9,1,0,2,0,0,2
43.0,1.0,6,0,1,4,2,2,2
43.0,2.0,5,2,0,1,1,0,0
44.0,1.0,3,0,1,0,0,0,2
44.0,2.0,2,2,0,0,2,4,1
45.0,1.0,8,1,2,2,0,0,2
46.0,1.0,2,3,0,3,2,1,2
46.0,2.0,3,2,1,1,0,1,2
47.0,1.0,2,0,2,3,1,0,0
47.0,2.0,5,0,3,2,1,2,2
48.0,1.0,2,2,0,1,1,0,0
48.0,2.0,1,0,0,0,2,1,2
49.0,1.0,5,1,2,2,2,0,1
49.0,2.0,2,1,2,3,2,2,0
50.0,1.0,2,1,2,0,4,2,2
51.0,1.0,7,0,0,1,2,2,5
51.0,2.0,7,5,0,0,1,5,0
52.0,2.0,4,0,0,0,2,1,0
53.0,1.0,8,0,1,4,1,0,1
53.0,2.0,4,1,2,1,0,3,3
54.0,1.0,7,1,2,1,0,0,0
54.0,2.0,6,0,2,2,0,2,1
55.0,1.0,8,2,0,1,0,0,0
55.0,2.0,7,0,0,2,1,1,0
56.0,1.0,9,2,2,2,0,1,0
56.0,2.0,1,0,3,0,1,1,0
57.0,1.0,8,1,1,0,0,3,0
58.0,1.0,6,1,0,1,4,2,1
58.0,2.0,6,1,2,0,4,0,1
59.0,1.0,4,2,1,2,1,1,1
60.0,1.0,1,1,0,1,2,1,0
60.0,2.0,1,0,1,1,0,1,2
61.0,1.0,2,1,0,2,0,2,1
61.0,2.0,4,1,0,0,1,0,0
62.0,1.0,1,6,1,0,0,1,1
62.0,2.0,2,1,1,1,0,0,0
63.0,1.0,7,2,1,1,1,0,0
63.0,2.0,7,0,1,1,1,0,1
64.0,1.0,8,2,0,0,2,1,0
64.0,2.0,8,0,0,1,1,1,0
65.0,2.0,4,2,0,0,2,1,3
66.0,1.0,9,1,4,0,1,4,0
66.0,2.0,9,0,1,1,1,2,0
67.0,1.0,7,1,2,1,1,2,0
67.0,2.0,1,0,1,2,1,1,0
68.0,2.0,3,0,0,1,1,3,1
69.0,1.0,5,0,1,1,1,1,0
70.0,2.0,1,0,1,3,0,1,2
71.0,2.0,6,1,1,0,3,1,0
72.0,1.0,3,1,0,1,1,3,2
72.0,2.0,1,2,2,1,2,0,0
74.0,1.0,8,0,1,0,1,1,2
75.0,1.0,4,0,2,0,3,0,1
75.0,2.0,9,1,0,0,0,0,2
76.0,1.0,6,1,0,1,2,1,2
76.0,2.0,7,2,0,3,0,1,0
77.0,2.0,5,3,0,3,0,0,3
78.0,1.0,8,2,1,0,0,0,2
78.0,2.0,5,1,0,1,2,2,1
79.0,1.0,1,1,1,0,0,1,0
79.0,2.0,6,0,0,1,3,1,1
80.0,1.0,3,1,0,1,0,2,2
80.0,2.0,8,2,2,2,0,1,0
81.0,1.0,3,2,2,1,0,0,1
81.0,2.0,4,1,1,0,1,0,1
82.0,2.0,2,2,0,1,1,3,1
83.0,1.0,4,0,1,0,1,2,0
83.0,2.0,7,0,0,1,1,2,0
84.0,1.0,4,4,1,1,2,3,1
84.0,2.0,2,1,1,2,0,0,0
85.0,1.0,3,1,0,1,2,1,5
85.0,2.0,4,5,1,3,2,0,2
86.0,1.0,4,1,1,1,0,1,1
86.0,2.0,8,1,2,2,0,0,3
87.0,1.0,9,2,0,0,1,2,0
87.0,2.0,4,0,1,1,2,1,1
88.0,1.0,7,0,0,0,3,2,0
88.0,2.0,7,0,0,4,2,0,1
89.0,1.0,6,1,2,0,3,0,1
89.0,2.0,9,1,1,0,1,0,0
90.0,1.0,5,1,2,0,1,0,1
90.0,2.0,1,1,2,1,0,1,1
91.0,1.0,1,1,1,1,2,1,0
91.0,2.0,8,0,1,2,1,0,1
92.0,1.0,2,1,0,1,0,1,0
93.0,1.0,7,0,1,1,1,2,0
94.0,1.0,6,2,2,1,0,1,3
94.0,2.0,3,3,3,0,3,2,1
95.0,1.0,1,0,1,1,0,2,0
95.0,2.0,5,0,0,0,2,0,1
96.0,1.0,9,0,1,0,0,4,1
96.0,2.0,2,2,0,1,2,0,0
97.0,1.0,3,1,0,3,3,0,3
97.0,2.0,4,3,1,0,1,0,2
98.0,1.0,9,0,1,0,2,2,2
98.0,2.0,5,2,2,1,2,3,2
99.0,1.0,6,0,1,1,2,0,0
99.0,2.0,8,0,1,1,2,2,1
100.0,2.0,8,0,1,0,1,1,0
101.0,1.0,9,2,0,0,0,4,0
101.0,2.0,6,0,2,0,0,0,2
102.0,1.0,6,2,0,1,0,1,2
102.0,2.0,6,2,2,0,3,2,0
103.0,1.0,9,3,0,1,2,0,2
103.0,2.0,5,2,2,3,1,1,3
104.0,1.0,4,1,1,2,1,0,1
104.0,2.0,8,1,0,0,1,1,0
105.0,1.0,9,2,1,1,3,3,1
105.0,2.0,7,1,0,1,1,2,1
106.0,1.0,3,1,1,1,1,0,0
106.0,2.0,1,0,1,0,0,0,3
107.0,1.0,6,4,0,1,0,0,1
107.0,2.0,6,1,1,1,0,0,1
108.0,1.0,3,0,0,1,1,3,1
108.0,2.0,5,1,0,1,2,0,0
109.0,1.0,2,1,1,0,0,0,0
109.0,2.0,8,0,1,1,0,0,1
110.0,1.0,7,2,1,1,0,1,1
110.0,2.0,1,1,1,1,1,1,1
111.0,1.0,5,1,1,1,0,2,1
111.0,2.0,6,1,1,2,0,0,0
112.0,1.0,1,2,0,0,2,1,0
112.0,2.0,2,0,1,1,1,1,1
113.0,1.0,2,1,0,2,2,2,1
113.0,2.0,3,1,1,0,0,1,0
114.0,1.0,4,3,0,0,1,2,0
114.0,2.0,4,0,0,0,2,1,0
115.0,1.0,7,2,0,1,1,3,0
116.0,1.0,3,1,1,0,1,1,2
116.0,2.0,5,2,1,3,1,0,1
117.0,1.0,5,0,2,1,2,1,2
117.0,2.0,8,2,2,1,2,2,0
118.0,1.0,3,3,0,1,2,0,1
119.0,1.0,7,1,0,0,0,0,2
119.0,2.0,9,2,1,1,0,2,1
120.0,1.0,3,1,0,1,2,1,3
120.0,2.0,3,3,1,3,0,0,2
121.0,1.0,3,0,2,1,2,1,3
121.0,2.0,9,3,2,2,1,2,0
122.0,1.0,7,0,0,0,3,0,0
122.0,2.0,7,0,0,2,0,1,0
123.0,1.0,7,0,0,2,1,0,0
124.0,1.0,1,2,0,0,1,0,1
124.0,2.0,9,1,2,1,0,2,1
125.0,1.0,1,1,1,0,0,1,1
126.0,1.0,1,1,1,1,2,1,1
126.0,2.0,7,1,0,1,0,0,1
127.0,1.0,5,0,2,0,1,1,0
127.0,2.0,1,0,3,0,1,1,3
129.0,1.0,7,0,1,0,1,1,1
129.0,2.0,7,1,0,1,0,3,0
130.0,2.0,6,1,1,2,1,1,1
131.0,1.0,1,1,1,2,0,0,0
131.0,2.0,7,0,1,0,2,2,1
132.0,1.0,2,0,1,2,4,2,0
132.0,2.0,2,0,1,1,1,3,2
133.0,1.0,2,2,1,0,0,0,2
133.0,2.0,2,2,1,0,1,1,0
134.0,1.0,3,0,0,2,0,1,1
135.0,1.0,1,0,0,0,0,1,2
135.0,2.0,1,2,1,0,0,1,0
136.0,1.0,3,0,1,1,1,1,1
137.0,2.0,4,1,1,2,4,1,2
138.0,1.0,6,1,0,3,3,0,0
138.0,2.0,5,0,1,2,0,2,3
139.0,2.0,7,1,0,0,1,1,2
140.0,1.0,4,2,3,0,1,1,0
140.0,2.0,4,0,0,1,0,0,0
141.0,2.0,8,0,1,0,2,1,1
142.0,1.0,4,2,1,1,3,0,1
142.0,2.0,9,1,1,1,3,2,1
143.0,1.0,4,2,2,0,1,1,0
144.0,1.0,1,0,0,0,0,1,4
144.0,2.0,2,4,1,1,1,0,0
145.0,1.0,5,0,4,1,2,2,1
145.0,2.0,3,1,1,1,0,1,1
146.0,1.0,6,4,1,3,0,1,1
146.0,2.0,6,1,0,0,1,1,1
147.0,1.0,8,1,2,1,0,2,1
147.0,2.0,8,1,0,1,1,2,1
148.0,1.0,9,1,2,0,1,3,1
148.0,2.0,6,1,1,1,1,2,1
149.0,1.0,9,1,0,2,1,2,1
151.0,1.0,8,1,0,2,1,1,1
152.0,1.0,9,0,0,0,1,0,0
152.0,2.0,7,0,0,0,2,0,0
153.0,1.0,4,1,2,0,2,1,2
153.0,2.0,4,2,0,0,1,0,1
154.0,1.0,8,2,2,3,0,1,1
154.0,2.0,8,1,2,0,0,0,0
155.0,1.0,5,1,0,1,0,1,2
155.0,2.0,6,2,2,1,2,2,2
156.0,2.0,4,1,2,2,3,0,1
157.0,1.0,5,1,5,0,3,0,1
157.0,2.0,7,1,0,3,0,0,1
158.0,1.0,2,1,3,3,2,0,0
159.0,1.0,7,0,1,1,0,2,2
159.0,2.0,3,2,0,1,2,0,0
160.0,1.0,9,1,0,1,0,1,0
161.0,1.0,8,3,0,0,1,0,0
161.0,2.0,9,0,2,0,1,2,1
162.0,1.0,4,0,1,1,1,0,0
162.0,2.0,2,0,0,1,2,0,1
163.0,1.0,5,1,0,2,0,0,0
163.0,2.0,4,0,0,0,0,4,0
164.0,1.0,7,0,1,2,1,2,2
164.0,2.0,1,2,1,3,2,1,2
165.0,1.0,3,3,1,2,0,0,0
166.0,2.0,3,2,2,1,0,0,2
167.0,1.0,7,1,0,1,2,2,1
168.0,1.0,4,0,0,2,0,2,1
168.0,2.0,2,1,0,1,2,0,0
169.0,1.0,6,1,1,2,0,1,0
170.0,2.0,2,1,0,1,0,1,0
171.0,1.0,8,1,1,2,0,1,1
171.0,2.0,5,1,0,0,1,2,2
172.0,1.0,3,1,2,2,1,1,3
172.0,2.0,3,3,0,0,3,1,2
173.0,2.0,9,1,2,2,0,0,1
175.0,2.0,5,1,2,2,1,6,1
176.0,1.0,1,2,0,2,1,2,3
176.0,2.0,6,3,0,1,2,1,0
177.0,1.0,8,4,2,2,0,1,0
177.0,2.0,4,0,0,1,0,2,2
178.0,1.0,8,1,2,1,1,3,0
178.0,2.0,4,0,1,1,2,0,2
179.0,2.0,6,1,1,1,3,0,3
180.0,1.0,9,1,3,0,0,1,0
180.0,2.0,4,0,0,1,0,0,1
181.0,1.0,2,0,1,1,1,1,0
181.0,2.0,2,0,3,0,0,0,0
182.0,1.0,2,2,1,0,1,0,1
182.0,2.0,9,1,1,0,0,1,1
183.0,1.0,8,1,0,0,0,1,1
183.0,2.0,3,1,0,3,2,2,1
184.0,2.0,7,0,0,1,2,0,1
185.0,1.0,7,1,0,0,1,1,1
185.0,2.0,5,1,2,1,0,0,1
186.0,1.0,7,2,0,0,0,0,3
186.0,2.0,9,3,1,0,1,1,1
187.0,2.0,3,1,3,2,3,6,1
189.0,1.0,3,3,0,0,1,1,1
189.0,2.0,8,1,0,0,0,1,0
190.0,1.0,2,0,3,0,1,1,2
190.0,2.0,8,2,2,2,1,1,0
191.0,1.0,4,1,1,0,1,1,0
191.0,2.0,3,0,1,1,2,1,2
192.0,1.0,2,2,0,1,0,0,1
192.0,2.0,2,1,0,2,0,2,2
193.0,1.0,1,0,1,2,0,1,2
193.0,2.0,1,2,2,2,1,3,0
194.0,1.0,7,2,1,1,1,0,0
194.0,2.0,2,0,0,2,2,1,0
195.0,1.0,3,0,1,2,2,0,1
195.0,2.0,2,1,0,1,1,1,2
196.0,1.0,1,0,1,0,1,1,0
196.0,2.0,5,0,1,1,2,1,0
197.0,2.0,9,0,2,1,1,0,1
198.0,1.0,5,3,0,1,1,0,0
198.0,2.0,8,0,1,0,2,0,0
199.0,1.0,9,1,1,0,3,1,1
199.0,2.0,2,1,1,0,1,1,0
200.0,2.0,4,1,0,2,0,0,1
201.0,1.0,7,0,1,0,0,0,0
201.0,2.0,9,0,1,0,0,1,1
202.0,1.0,9,0,0,3,1,4,1
202.0,2.0,2,1,1,3,1,1,1
203.0,1.0,4,1,0,0,1,0,1
203.0,2.0,7,1,1,1,0,1,2
204.0,1.0,8,2,0,2,1,0,0
204.0,2.0,5,0,1,1,1,2,2
205.0,1.0,2,1,1,1,0,1,0
205.0,2.0,1,0,1,1,0,3,2
206.0,1.0,5,1,0,2,1,0,0
206.0,2.0,1,0,0,0,0,0,1
207.0,1.0,8,0,1,0,0,2,0
208.0,1.0,2,1,0,1,0,1,1
208.0,2.0,7,1,3,1,0,1,1
209.0,2.0,1,1,0,0,0,3,1
210.0,1.0,7,3,0,0,1,2,0
210.0,2.0,4,0,1,1,1,2,1
211.0,1.0,5,2,2,2,0,2,1
211.0,2.0,2,1,2,2,0,5,1
212.0,1.0,2,1,1,0,0,1,0
213.0,2.0,2,4,0,0,1,1,1
214.0,1.0,4,1,0,1,1,2,0
214.0,2.0,1,0,4,0,2,1,0
215.0,2.0,3,2,1,0,0,0,0
216.0,1.0,9,2,2,1,0,2,0
216.0,2.0,7,0,0,1,0,3,4
217.0,1.0,6,1,1,0,0,1,2
217.0,2.0,6,2,1,0,1,1,2
218.0,1.0,1,1,1,2,1,1,0
218.0,2.0,7,0,1,0,0,2,0
219.0,1.0,2,2,0,1,0,1,2
220.0,1.0,8,3,0,2,1,2,1
220.0,2.0,5,1,2,0,2,0,2
221.0,1.0,5,0,2,4,1,2,1
222.0,1.0,1,3,4,3,1,1,3
222.0,2.0,3,3,3,0,1,0,1
223.0,1.0,9,0,0,3,0,3,2
223.0,2.0,6,2,3,2,1,1,2
224.0,1.0,1,1,0,1,0,0,0
224.0,2.0,5,0,2,1,1,1,0
225.0,2.0,5,0,0,0,3,2,2
226.0,1.0,6,0,2,0,0,1,0
226.0,2.0,8,0,0,0,0,0,2
228.0,1.0,4,1,1,2,2,1,0
228.0,2.0,7,0,0,0,2,2,1
229.0,1.0,2,0,0,2,1,2,0
229.0,2.0,9,0,2,2,1,1,0
230.0,1.0,7,3,0,1,0,0,1
230.0,2.0,2,1,3,1,3,0,2
231.0,2.0,8,0,1,0,0,1,1
232.0,1.0,9,1,0,1,1,1,1
233.0,1.0,8,0,1,1,2,3,0
233.0,2.0,5,0,2,2,0,2,0
234.0,1.0,1,1,2,1,1,0,2
234.0,2.0,9,2,0,3,0,1,1
235.0,2.0,9,0,1,2,2,2,1
236.0,1.0,2,1,1,1,0,0,2
236.0,2.0,2,2,2,2,0,0,1
237.0,1.0,7,0,0,2,0,0,0
237.0,2.0,5,0,0,3,1,0,1
238.0,1.0,5,0,1,1,0,3,1
238.0,2.0,5,1,2,1,0,1,2
239.0,1.0,1,0,2,2,0,0,0
239.0,2.0,1,0,2,0,0,0,0
240.0,2.0,2,0,2,0,1,0,2
241.0,2.0,2,2,1,0,1,1,1
242.0,1.0,7,3,1,1,2,3,2
242.0,2.0,2,2,2,2,2,2,1
244.0,1.0,2,2,2,2,0,0,2
244.0,2.0,1,2,2,0,0,2,0
245.0,1.0,6,1,2,0,3,1,2
245.0,2.0,3,2,0,1,1,0,3
246.0,1.0,2,1,3,1,0,0,0
246.0,2.0,5,0,0,0,1,1,3
247.0,1.0,1,0,2,0,1,4,0
247.0,2.0,7,0,1,1,1,1,0
248.0,1.0,6,1,0,0,0,6,1
248.0,2.0,3,1,1,0,1,1,2
249.0,1.0,9,1,1,1,1,1,0
249.0,2.0,1,0,1,1,1,1,1
250.0,1.0,3,0,0,0,1,0,2
250.0,2.0,8,2,1,1,0,0,1
251.0,1.0,1,2,1,0,0,0,2
251.0,2.0,3,2,3,0,1,0,1
252.0,1.0,2,0,2,1,2,2,0
253.0,1.0,1,0,2,0,2,1,2
253.0,2.0,3,2,2,2,1,0,1
254.0,1.0,7,1,2,0,0,1,0
254.0,2.0,2,0,3,1,0,1,2
255.0,1.0,8,0,4,4,1,1,0
255.0,2.0,9,0,1,1,1,3,0
256.0,2.0,8,2,1,0,2,3,2
257.0,1.0,2,0,2,1,2,1,1
257.0,2.0,4,1,1,1,0,0,0
258.0,1.0,2,0,0,1,0,0,0
259.0,1.0,6,2,0,2,0,0,0
259.0,2.0,6,0,0,0,2,0,0
260.0,1.0,2,0,0,0,1,2,0
260.0,2.0,4,0,0,0,0,1,1
261.0,1.0,5,1,0,0,1,0,0
261.0,2.0,6,0,1,4,1,1,3
262.0,2.0,2,1,0,2,2,1,1
263.0,1.0,1,1,1,2,0,1,1
264.0,1.0,5,1,0,0,2,1,1
264.0,2.0,9,1,0,0,2,2,2
265.0,1.0,6,0,1,2,1,1,1
265.0,2.0,1,1,2,2,0,0,2
266.0,2.0,4,1,0,1,1,1,1
267.0,1.0,9,2,2,0,1,0,0
268.0,1.0,7,0,1,2,0,0,0
268.0,2.0,4,0,2,3,2,2,0
