trial_index,operand,number,TC1,TC2
0.0,1.0,7,-1.9020202205998409,0.717862847736712
0.0,2.0,8,2.018690959566545,-0.5183416334269277
1.0,1.0,7,0.4362121794635369,-0.2287809170012028
1.0,2.0,4,0.8005732521092787,1.9281603239326308
2.0,1.0,7,1.76778704295827,-0.7809533970613701
2.0,2.0,6,-0.714083276721358,0.8921409375513906
3.0,2.0,5,1.86850841413771,0.36664241421236654
4.0,1.0,8,0.11775541755630983,0.010274504203239738
5.0,1.0,4,-0.1479559479094774,-1.1946004994377584
5.0,2.0,4,-1.1302809919249652,0.11345147124145073
6.0,2.0,2,-1.1341595839275376,-0.0038417199196696555
7.0,1.0,7,0.7529010816802633,-0.20456740187831046
7.0,2.0,3,-2.0003555437067493,0.1714742031287998
8.0,1.0,3,0.5665140500224359,1.5206299460093293
8.0,2.0,2,-2.0015681018993083,-0.2216456569578893
9.0,1.0,4,-0.1316950234345112,-0.9212837884434606
9.0,2.0,4,0.5019971650719879,-0.46717916551275285
10.0,1.0,6,-1.281092305499893,0.18708033351089864
10.0,2.0,4,0.6352959276668043,-1.3922771523707416
11.0,1.0,7,-1.299463962286931,-0.4667985049718542
11.0,2.0,3,0.5849412492749179,-0.44481843562823914
12.0,2.0,7,0.3831523989490508,0.8094719151593147
13.0,1.0,7,-2.499811727186333,-1.0352535857505771
14.0,2.0,8,-0.43326800250771913,-0.6421144280203237
15.0,1.0,9,1.784351771742221,-0.04883817575883621
15.0,2.0,7,-0.04753838103902238,-0.5058031984722577
16.0,1.0,7,-0.5333876594579862,1.8791256373269738
17.0,2.0,7,0.7305952904252093,1.6435877885981374
18.0,1.0,1,0.10294796869879799,-0.931988735803316
18.0,2.0,8,0.052009500260444964,0.4337053062223438
19.0,1.0,3,1.0020086500495133,0.0831598269526
19.0,2.0,7,0.48836320609444883,-1.2013550989401733
20.0,1.0,3,-1.8507567883243803,-0.2952745192273374
20.0,2.0,5,0.5822587413120467,2.635368006925205
21.0,1.0,7,0.1853082628552614,-0.4913926806356452
22.0,1.0,4,0.21875677447323155,0.28083647988558313
22.0,2.0,7,-1.3368075400603312,1.4480389169736723
23.0,1.0,5,0.6690588233578206,-0.21437039916459014
23.0,2.0,2,-0.3834850997666323,1.8711754252790729
25.0,1.0,6,-0.5149995285180904,-0.2713552978181483
