subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFF,8,ent,60.0,0.5,0.10091743119266056,0.14678899082568808,0.045871559633027525
YFF,9,hpc,90.0,0.2,0.12844036697247707,0.1834862385321101,0.05504587155963303
YFF,10,hpc,75.0,0.5,0.11926605504587157,0.12844036697247707,0.009174311926605505
YFF,11,hpc,450.0,0.2,0.12844036697247707,0.1559633027522936,0.027522935779816515
YFF,12,hpc,900.0,0.2,0.1743119266055046,0.1743119266055046,0.0
YFF,13,hpc,75.0,0.5,0.12844036697247707,0.1834862385321101,0.05504587155963303
YFF,14,hpc,225.0,0.5,0.06422018348623854,0.13761467889908258,0.07339449541284404
YFF,15,hpc,60.0,0.2,0.09174311926605505,0.12844036697247707,0.03669724770642202
YFF,16,hpc,900.0,0.2,0.1651376146788991,0.1651376146788991,0.0
YFF,26,hpc,90.0,0.8,0.05504587155963303,0.13761467889908258,0.08256880733944955
YFF,27,hpc,75.0,0.2,0.06422018348623854,0.11009174311926606,0.045871559633027525
YFF,28,hpc,60.0,0.2,0.06422018348623854,0.1926605504587156,0.12844036697247707
YFF,29,hpc,75.0,0.2,0.06422018348623854,0.10091743119266056,0.03669724770642202
YFF,30,hpc,100.0,0.8,0.07339449541284404,0.1926605504587156,0.11926605504587157
YFF,31,hpc,150.0,0.2,0.06422018348623854,0.09174311926605505,0.027522935779816515
YFF,32,hpc,300.0,0.2,0.12844036697247707,0.22018348623853212,0.09174311926605505
YFF,33,hpc,60.0,0.2,0.11009174311926606,0.2018348623853211,0.09174311926605505
YFF,34,hpc,180.0,0.5,0.10091743119266056,0.22018348623853212,0.11926605504587157
YFF,35,hpc,150.0,0.2,0.10091743119266056,0.1651376146788991,0.06422018348623854
YFF,36,hpc,150.0,0.2,0.045871559633027525,0.06422018348623854,0.01834862385321101
YFF,37,hpc,60.0,0.2,0.06422018348623854,0.14678899082568808,0.08256880733944955
YFF,38,hpc,75.0,0.2,0.11926605504587157,0.1651376146788991,0.045871559633027525
YFF,39,hpc,150.0,0.5,0.14678899082568808,0.22018348623853212,0.07339449541284404
YFF,40,hpc,60.0,0.8,0.07339449541284404,0.14678899082568808,0.07339449541284404
YFF,41,hpc,150.0,0.5,0.07339449541284404,0.10091743119266056,0.027522935779816515
YFF,42,hpc,180.0,0.5,0.11009174311926606,0.14678899082568808,0.03669724770642202
YFF,43,hpc,90.0,0.2,0.10091743119266056,0.11926605504587157,0.01834862385321101
YFF,44,hpc,100.0,0.8,0.11009174311926606,0.14678899082568808,0.03669724770642202
YFF,45,hpc,900.0,0.2,0.14678899082568808,0.14678899082568808,0.0
YFF,46,hpc,450.0,0.5,0.1559633027522936,0.1559633027522936,0.0
YFF,47,hpc,225.0,0.2,0.09174311926605505,0.13761467889908258,0.045871559633027525
YFF,48,hpc,180.0,0.5,0.11926605504587157,0.14678899082568808,0.027522935779816515
YFF,49,hpc,900.0,0.2,0.10091743119266056,0.10091743119266056,0.0
YFF,50,hpc,90.0,0.2,0.13761467889908258,0.1926605504587156,0.05504587155963303
YFF,51,hpc,100.0,0.2,0.11926605504587157,0.1743119266055046,0.05504587155963303
YFF,52,hpc,180.0,0.2,0.10091743119266056,0.1651376146788991,0.06422018348623854
YFF,53,hpc,60.0,0.2,0.11926605504587157,0.14678899082568808,0.027522935779816515
YFI,0,hpc,90.0,0.5,0.08653846153846154,0.125,0.038461538461538464
YFI,1,hpc,60.0,0.5,0.10576923076923077,0.18269230769230768,0.07692307692307691
YFI,2,hpc,90.0,0.2,0.11538461538461539,0.1346153846153846,0.019230769230769218
YFI,3,hpc,900.0,0.2,0.19230769230769232,0.19230769230769232,0.0
YFI,4,hpc,90.0,0.5,0.09615384615384616,0.15384615384615385,0.057692307692307696
YFI,5,hpc,75.0,0.2,0.0673076923076923,0.14423076923076922,0.07692307692307691
YFI,6,hpc,300.0,0.8,0.0673076923076923,0.125,0.057692307692307696
YFI,7,hpc,60.0,0.2,0.125,0.19230769230769232,0.06730769230769232
YFI,8,hpc,75.0,0.2,0.09615384615384616,0.14423076923076922,0.04807692307692306
YFI,18,hpc,450.0,0.2,0.10576923076923077,0.18269230769230768,0.07692307692307691
YFI,19,hpc,180.0,0.5,0.11538461538461539,0.18269230769230768,0.06730769230769229
YFI,20,hpc,180.0,0.5,0.14423076923076922,0.23076923076923078,0.08653846153846156
YFI,21,hpc,75.0,0.5,0.11538461538461539,0.125,0.009615384615384609
YFI,22,hpc,180.0,0.2,0.07692307692307693,0.09615384615384616,0.019230769230769232
YFI,23,hpc,300.0,0.5,0.11538461538461539,0.17307692307692307,0.05769230769230768
YFI,24,hpc,75.0,0.5,0.08653846153846154,0.14423076923076922,0.05769230769230768
YFI,25,hpc,100.0,0.2,0.0673076923076923,0.15384615384615385,0.08653846153846155
YFI,26,hpc,60.0,0.2,0.125,0.15384615384615385,0.028846153846153855
YFI,27,hpc,180.0,0.2,0.08653846153846154,0.14423076923076922,0.05769230769230768
YFI,28,hpc,90.0,0.2,0.1346153846153846,0.16346153846153846,0.028846153846153855
YFI,29,hpc,900.0,0.2,0.17307692307692307,0.17307692307692307,0.0
YFI,30,ent,900.0,0.2,0.20192307692307693,0.20192307692307693,0.0
YFI,31,ent,100.0,0.8,0.07692307692307693,0.16346153846153846,0.08653846153846154
YFI,32,ent,450.0,0.5,0.125,0.15384615384615385,0.028846153846153855
YFI,33,ent,450.0,0.8,0.1346153846153846,0.15384615384615385,0.019230769230769246
YFI,34,ent,90.0,0.5,0.14423076923076922,0.17307692307692307,0.028846153846153855
YFI,35,ent,900.0,0.2,0.14423076923076922,0.14423076923076922,0.0
YFI,36,ent,75.0,0.2,0.08653846153846154,0.16346153846153846,0.07692307692307693
YFI,37,ent,60.0,0.5,0.0673076923076923,0.1346153846153846,0.0673076923076923
YFJ,9,hpc,100.0,0.2,0.15789473684210525,0.19298245614035087,0.03508771929824561
YFJ,10,hpc,150.0,0.8,0.10526315789473684,0.11403508771929824,0.008771929824561403
YFJ,11,hpc,450.0,0.8,0.13157894736842105,0.20175438596491227,0.07017543859649122
YFJ,12,hpc,300.0,0.2,0.08771929824561403,0.15789473684210525,0.07017543859649122
YFJ,13,hpc,100.0,0.5,0.10526315789473684,0.12280701754385964,0.017543859649122806
YFJ,14,hpc,60.0,0.2,0.16666666666666666,0.16666666666666666,0.0
YFJ,15,hpc,90.0,0.5,0.08771929824561403,0.14035087719298245,0.05263157894736842
YFJ,16,hpc,100.0,0.8,0.07894736842105263,0.09649122807017543,0.017543859649122806
YFJ,17,hpc,450.0,0.2,0.09649122807017543,0.13157894736842105,0.03508771929824561
YFJ,18,hpc,300.0,0.2,0.07017543859649122,0.13157894736842105,0.06140350877192982
YFJ,19,hpc,100.0,0.8,0.14912280701754385,0.19298245614035087,0.043859649122807015
YFJ,20,hpc,75.0,0.8,0.05263157894736842,0.05263157894736842,0.0
YFJ,21,hpc,60.0,0.5,0.11403508771929824,0.18421052631578946,0.07017543859649122
YFJ,22,hpc,60.0,0.5,0.14912280701754385,0.20175438596491227,0.05263157894736842
YFJ,23,hpc,60.0,0.2,0.15789473684210525,0.17543859649122806,0.017543859649122806
YFJ,24,hpc,60.0,0.2,0.043859649122807015,0.14035087719298245,0.09649122807017543
YFJ,25,hpc,60.0,0.2,0.043859649122807015,0.13157894736842105,0.08771929824561403
YFJ,26,hpc,100.0,0.8,0.07894736842105263,0.13157894736842105,0.05263157894736842
YFJ,27,hpc,100.0,0.8,0.07894736842105263,0.14035087719298245,0.06140350877192982
YFJ,28,hpc,180.0,0.8,0.14912280701754385,0.24561403508771928,0.09649122807017543
YFJ,37,hpc,100.0,0.2,0.10526315789473684,0.15789473684210525,0.05263157894736842
YFJ,38,hpc,180.0,0.2,0.09649122807017543,0.12280701754385964,0.02631578947368421
YFJ,39,hpc,900.0,0.2,0.14035087719298245,0.14035087719298245,0.0
YFJ,40,hpc,150.0,0.2,0.08771929824561403,0.13157894736842105,0.043859649122807015
YFJ,41,hpc,225.0,0.2,0.12280701754385964,0.17543859649122806,0.05263157894736842
YFJ,42,hpc,300.0,0.8,0.13157894736842105,0.18421052631578946,0.05263157894736842
YFJ,43,hpc,450.0,0.2,0.08771929824561403,0.14912280701754385,0.06140350877192982
YFJ,44,hpc,100.0,0.2,0.13157894736842105,0.15789473684210525,0.02631578947368421
