neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region,paper_unit,n_valid_shuffles
8,109,7,0.10091743119266056,0.10339449541284404,116.0,0.582089552238806,False,YFF,ent,9,
9,109,7,0.1651376146788991,0.10605504587155964,9.0,0.04975124378109453,True,YFF,hpc,10,
10,109,7,0.13761467889908258,0.1058256880733945,41.0,0.208955223880597,False,YFF,hpc,11,
11,109,7,0.09174311926605505,0.10788990825688075,144.0,0.7213930348258707,False,YFF,hpc,12,
12,109,7,0.11926605504587157,0.10321100917431193,73.0,0.3681592039800995,False,YFF,hpc,13,
13,109,7,0.11009174311926606,0.10733944954128441,106.0,0.5323383084577115,False,YFF,hpc,14,
14,109,7,0.11009174311926606,0.10027522935779817,82.0,0.4129353233830846,False,YFF,hpc,15,
15,109,7,0.08256880733944955,0.10889908256880736,159.0,0.7960199004975125,False,YFF,hpc,16,
16,109,7,0.1651376146788991,0.11188073394495414,12.0,0.06467661691542288,False,YFF,hpc,17,
26,109,7,0.07339449541284404,0.10894495412844037,185.0,0.9253731343283582,False,YFF,hpc,27,
27,109,7,0.06422018348623854,0.10013761467889909,193.0,0.9651741293532339,False,YFF,hpc,28,
28,109,7,0.13761467889908258,0.10908256880733944,48.0,0.24378109452736318,False,YFF,hpc,29,
29,109,7,0.06422018348623854,0.09807339449541284,192.0,0.9601990049751243,False,YFF,hpc,30,
30,109,7,0.06422018348623854,0.10724770642201836,190.0,0.9502487562189055,False,YFF,hpc,31,
31,109,7,0.07339449541284404,0.09839449541284406,178.0,0.8905472636815921,False,YFF,hpc,32,
32,109,7,0.06422018348623854,0.10761467889908256,187.0,0.9353233830845771,False,YFF,hpc,33,
33,109,7,0.07339449541284404,0.10674311926605505,175.0,0.8756218905472637,False,YFF,hpc,34,
34,109,7,0.08256880733944955,0.10362385321100918,161.0,0.8059701492537313,False,YFF,hpc,35,
35,109,7,0.13761467889908258,0.11357798165137617,49.0,0.24875621890547264,False,YFF,hpc,36,
36,109,7,0.045871559633027525,0.09678899082568808,198.0,0.9900497512437811,False,YFF,hpc,37,
37,109,7,0.10091743119266056,0.10931192660550462,124.0,0.6218905472636815,False,YFF,hpc,38,
38,109,7,0.14678899082568808,0.11009174311926605,35.0,0.1791044776119403,False,YFF,hpc,39,
39,109,7,0.14678899082568808,0.10761467889908256,28.0,0.14427860696517414,False,YFF,hpc,40,
40,109,7,0.09174311926605505,0.10738532110091743,148.0,0.7412935323383084,False,YFF,hpc,41,
41,109,7,0.06422018348623854,0.1,191.0,0.9552238805970149,False,YFF,hpc,42,
42,109,7,0.05504587155963303,0.10756880733944955,194.0,0.9701492537313433,False,YFF,hpc,43,
43,109,7,0.09174311926605505,0.10559633027522936,144.0,0.7213930348258707,False,YFF,hpc,44,
44,109,7,0.11926605504587157,0.10472477064220183,70.0,0.35323383084577115,False,YFF,hpc,45,
45,109,7,0.13761467889908258,0.10201834862385323,31.0,0.15920398009950248,False,YFF,hpc,46,
46,109,7,0.11926605504587157,0.10940366972477066,81.0,0.4079601990049751,False,YFF,hpc,47,
47,109,7,0.09174311926605505,0.10133027522935781,135.0,0.6766169154228856,False,YFF,hpc,48,
48,109,7,0.1651376146788991,0.10885321100917432,12.0,0.06467661691542288,False,YFF,hpc,49,
49,109,7,0.08256880733944955,0.10110091743119266,146.0,0.7313432835820896,False,YFF,hpc,50,
50,109,7,0.11009174311926606,0.10532110091743122,96.0,0.48258706467661694,False,YFF,hpc,51,
51,109,7,0.11009174311926606,0.10123853211009173,86.0,0.43283582089552236,False,YFF,hpc,52,
52,109,7,0.08256880733944955,0.1074770642201835,165.0,0.8258706467661692,False,YFF,hpc,53,
53,109,7,0.11009174311926606,0.10201834862385323,91.0,0.4577114427860697,False,YFF,hpc,54,
0,104,9,0.028846153846153848,0.1095673076923077,199.0,0.9950248756218906,False,YFI,hpc,1,
1,104,9,0.11538461538461539,0.10615384615384613,80.0,0.40298507462686567,False,YFI,hpc,2,
2,104,9,0.11538461538461539,0.10677884615384615,91.0,0.4577114427860697,False,YFI,hpc,3,
3,104,9,0.17307692307692307,0.10913461538461539,8.0,0.04477611940298507,True,YFI,hpc,4,
4,104,9,0.10576923076923077,0.10947115384615386,114.0,0.572139303482587,False,YFI,hpc,5,
5,104,9,0.09615384615384616,0.10307692307692307,118.0,0.5920398009950248,False,YFI,hpc,6,
6,104,9,0.0673076923076923,0.10774038461538461,181.0,0.9054726368159204,False,YFI,hpc,7,
7,104,9,0.11538461538461539,0.1076923076923077,83.0,0.417910447761194,False,YFI,hpc,8,
8,104,9,0.11538461538461539,0.10557692307692307,85.0,0.42786069651741293,False,YFI,hpc,9,
18,104,9,0.1346153846153846,0.10884615384615386,55.0,0.27860696517412936,False,YFI,hpc,19,
19,104,9,0.0673076923076923,0.10235576923076924,174.0,0.8706467661691543,False,YFI,hpc,20,
20,104,9,0.10576923076923077,0.10528846153846154,101.0,0.5074626865671642,False,YFI,hpc,21,
21,104,9,0.11538461538461539,0.10471153846153847,73.0,0.3681592039800995,False,YFI,hpc,22,
22,104,9,0.08653846153846154,0.1085576923076923,164.0,0.8208955223880597,False,YFI,hpc,23,
23,104,9,0.125,0.10735576923076923,72.0,0.36318407960199006,False,YFI,hpc,24,
24,104,9,0.07692307692307693,0.1098076923076923,169.0,0.845771144278607,False,YFI,hpc,25,
25,104,9,0.07692307692307693,0.10485576923076924,171.0,0.8557213930348259,False,YFI,hpc,26,
26,104,9,0.1346153846153846,0.10206730769230771,37.0,0.1890547263681592,False,YFI,hpc,27,
27,104,9,0.07692307692307693,0.1071153846153846,169.0,0.845771144278607,False,YFI,hpc,28,
28,104,9,0.08653846153846154,0.10850961538461538,154.0,0.7711442786069652,False,YFI,hpc,29,
29,104,9,0.21153846153846154,0.10759615384615383,0.0,0.004975124378109453,True,YFI,hpc,30,
30,104,9,0.18269230769230768,0.1098076923076923,9.0,0.04975124378109453,True,YFI,ent,31,
31,104,9,0.09615384615384616,0.10745192307692307,142.0,0.7114427860696517,False,YFI,ent,32,
32,104,9,0.125,0.10634615384615385,68.0,0.34328358208955223,False,YFI,ent,33,
33,104,9,0.11538461538461539,0.1075,97.0,0.48756218905472637,False,YFI,ent,34,
34,104,9,0.11538461538461539,0.11014423076923077,105.0,0.527363184079602,False,YFI,ent,35,
35,104,9,0.1346153846153846,0.10629807692307691,52.0,0.263681592039801,False,YFI,ent,36,
36,104,9,0.0673076923076923,0.1089423076923077,182.0,0.9104477611940298,False,YFI,ent,37,
37,104,9,0.07692307692307693,0.10288461538461538,164.0,0.8208955223880597,False,YFI,ent,38,
9,114,4,0.14912280701754385,0.1037719298245614,15.0,0.07960199004975124,False,YFJ,hpc,10,
10,114,4,0.08771929824561403,0.09789473684210526,129.0,0.6467661691542289,False,YFJ,hpc,11,
11,114,4,0.12280701754385964,0.10728070175438596,68.0,0.34328358208955223,False,YFJ,hpc,12,
12,114,4,0.09649122807017543,0.10337719298245612,127.0,0.6368159203980099,False,YFJ,hpc,13,
13,114,4,0.09649122807017543,0.10026315789473683,115.0,0.5771144278606966,False,YFJ,hpc,14,
14,114,4,0.16666666666666666,0.13162280701754386,64.0,0.32338308457711445,False,YFJ,hpc,15,
15,114,4,0.09649122807017543,0.10451754385964912,126.0,0.6318407960199005,False,YFJ,hpc,16,
16,114,4,0.07894736842105263,0.0917543859649123,132.0,0.6616915422885572,False,YFJ,hpc,17,
17,114,4,0.09649122807017543,0.08048245614035088,55.0,0.27860696517412936,False,YFJ,hpc,18,
18,114,4,0.09649122807017543,0.10499999999999998,130.0,0.6517412935323383,False,YFJ,hpc,19,
19,114,4,0.10526315789473684,0.10635964912280702,111.0,0.5572139303482587,False,YFJ,hpc,20,
20,114,4,0.07894736842105263,0.09381578947368421,127.0,0.6368159203980099,False,YFJ,hpc,21,
21,114,4,0.13157894736842105,0.10684210526315789,44.0,0.22388059701492538,False,YFJ,hpc,22,
22,114,4,0.17543859649122806,0.10574561403508773,5.0,0.029850746268656716,True,YFJ,hpc,23,
23,114,4,0.14912280701754385,0.10223684210526315,16.0,0.0845771144278607,False,YFJ,hpc,24,
24,114,4,0.05263157894736842,0.10491228070175439,196.0,0.9800995024875622,False,YFJ,hpc,25,
25,114,4,0.05263157894736842,0.10504385964912281,193.0,0.9651741293532339,False,YFJ,hpc,26,
26,114,4,0.07017543859649122,0.10710526315789473,185.0,0.9253731343283582,False,YFJ,hpc,27,
27,114,4,0.07894736842105263,0.10381578947368421,165.0,0.8258706467661692,False,YFJ,hpc,28,
28,114,4,0.14035087719298245,0.10596491228070175,40.0,0.20398009950248755,False,YFJ,hpc,29,
37,114,4,0.07017543859649122,0.10342105263157894,179.0,0.8955223880597015,False,YFJ,hpc,38,
38,114,4,0.10526315789473684,0.0924561403508772,67.0,0.3383084577114428,False,YFJ,hpc,39,
39,114,4,0.15789473684210525,0.10390350877192983,13.0,0.06965174129353234,False,YFJ,hpc,40,
40,114,4,0.07894736842105263,0.10153508771929826,162.0,0.8109452736318408,False,YFJ,hpc,41,
41,114,4,0.12280701754385964,0.10513157894736842,61.0,0.30845771144278605,False,YFJ,hpc,42,
42,114,4,0.07017543859649122,0.10530701754385965,177.0,0.8855721393034826,False,YFJ,hpc,43,
43,114,4,0.09649122807017543,0.1057017543859649,127.0,0.6368159203980099,False,YFJ,hpc,44,
44,114,4,0.14035087719298245,0.10570175438596491,33.0,0.1691542288557214,False,YFJ,hpc,45,
