subject,region,neuron_id,paper_unit,n_presentations,temporal_accuracy,best_bin_ms,best_gamma,shuffle_mean_accuracy,shuffle_95,p_value,temporal_coding,n_valid_shuffles,q_value,temporal_coding_FDR
YFF,ent,8,9,109,0.1559633027522936,60.0,0.8,0.10935779816513762,0.1651376146788991,0.12935323383084577,False,200,0.2536247334754797,False
YFF,hpc,9,10,109,0.1651376146788991,900.0,0.2,0.10545871559633029,0.1559633027522936,0.04975124378109453,True,200,0.16964865115416705,False
YFF,hpc,10,11,109,0.1834862385321101,75.0,0.8,0.11055045871559635,0.15688073394495383,0.03980099502487562,True,200,0.16679958983707416,False
YFF,hpc,11,12,109,0.12844036697247707,300.0,0.2,0.10302752293577981,0.1651376146788991,0.263681592039801,False,200,0.3574350469872858,False
YFF,hpc,12,13,109,0.12844036697247707,90.0,0.8,0.10967889908256881,0.1651376146788991,0.3034825870646766,False,200,0.3856757877280266,False
YFF,hpc,13,14,109,0.2018348623853211,75.0,0.8,0.11302752293577983,0.16559633027522921,0.01990049751243781,True,200,0.15387849484969518,False
YFF,hpc,14,15,109,0.12844036697247707,60.0,0.8,0.10788990825688075,0.16559633027522921,0.29850746268656714,False,200,0.38379530916844345,False
YFF,hpc,15,16,109,0.10091743119266056,100.0,0.8,0.11270642201834864,0.1743119266055046,0.6716417910447762,False,200,0.6944093093852771,False
YFF,hpc,16,17,109,0.1743119266055046,150.0,0.2,0.11068807339449542,0.1651376146788991,0.03482587064676617,True,200,0.16679958983707416,False
YFF,hpc,26,27,109,0.1559633027522936,90.0,0.2,0.11564220183486239,0.17477064220183472,0.14427860696517414,False,200,0.2694182150472129,False
YFF,hpc,27,28,109,0.11009174311926606,75.0,0.2,0.09784403669724771,0.14678899082568808,0.38308457711442784,False,200,0.45228695233509864,False
YFF,hpc,28,29,109,0.1834862385321101,180.0,0.2,0.11050458715596331,0.1651376146788991,0.024875621890547265,True,200,0.160667251975417,False
YFF,hpc,29,30,109,0.10091743119266056,75.0,0.2,0.09738532110091745,0.14678899082568808,0.4975124378109453,False,200,0.5451783001161855,False
