subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFF,9,ent,0.1009174311926605,0.1651376146788991,180,0.2,109,7,0.10637614678899084,0.6467661691542289,False,0.10509174311926607,0.05970149253731343,False,12.667939901351929
YFF,10,hpc,0.091743119266055,0.1559633027522936,90,0.2,109,7,0.10688073394495413,0.7313432835820896,False,0.10926605504587156,0.0945273631840796,False,11.077304363250732
YFF,11,hpc,0.110091743119266,0.2018348623853211,100,0.5,109,7,0.10940366972477066,0.5323383084577115,False,0.10724770642201836,0.01990049751243781,True,10.417088270187378
YFF,12,hpc,0.1009174311926605,0.1743119266055046,300,0.5,109,7,0.11045871559633028,0.6417910447761194,False,0.10816513761467891,0.04975124378109453,True,11.636312007904053
YFF,13,hpc,0.146788990825688,0.1559633027522936,100,0.8,109,7,0.10477064220183487,0.15920398009950248,False,0.11325688073394495,0.13930348258706468,False,11.46834683418274
YFF,14,hpc,0.1192660550458715,0.1926605504587156,100,0.2,109,7,0.10844036697247708,0.4228855721393035,False,0.10853211009174313,0.029850746268656716,True,11.40156626701355
YFF,15,hpc,0.055045871559633,0.1651376146788991,75,0.5,109,7,0.10908256880733944,0.9502487562189055,False,0.10986238532110093,0.08955223880597014,False,13.04225754737854
YFF,16,hpc,0.091743119266055,0.146788990825688,60,0.2,109,7,0.10651376146788992,0.7611940298507462,False,0.11050458715596331,0.18407960199004975,False,13.66644549369812
YFF,17,hpc,0.1559633027522936,0.1651376146788991,150,0.2,109,7,0.1046788990825688,0.1044776119402985,False,0.108348623853211,0.07960199004975124,False,10.992708444595337
YFF,27,hpc,0.073394495412844,0.146788990825688,60,0.2,109,7,0.10697247706422018,0.8706467661691543,False,0.11454128440366972,0.1890547263681592,False,13.411121129989624
YFF,28,hpc,0.0642201834862385,0.1009174311926605,75,0.2,109,7,0.09738532110091742,0.9154228855721394,False,0.09853211009174313,0.4975124378109453,False,12.12604022026062
YFF,29,hpc,0.091743119266055,0.1834862385321101,180,0.2,109,7,0.10504587155963303,0.6915422885572139,False,0.10903669724770644,0.03482587064676617,True,10.891408205032349
YFF,30,hpc,0.0642201834862385,0.110091743119266,75,0.2,109,7,0.09990825688073394,0.9502487562189055,False,0.10082568807339448,0.39800995024875624,False,11.93794870376587
YFF,31,hpc,0.091743119266055,0.1926605504587156,100,0.5,109,7,0.10811926605504589,0.7263681592039801,False,0.10972477064220186,0.024875621890547265,True,11.551045417785645
YFF,32,hpc,0.0825688073394495,0.1009174311926605,75,0.5,109,7,0.0979816513761468,0.7761194029850746,False,0.09885321100917432,0.5373134328358209,False,12.30574631690979
YFF,33,hpc,0.128440366972477,0.1743119266055046,90,0.8,109,7,0.11009174311926608,0.31343283582089554,False,0.1134862385321101,0.05472636815920398,False,12.33935260772705
YFF,34,hpc,0.1009174311926605,0.1834862385321101,180,0.2,109,7,0.10701834862385322,0.6169154228855721,False,0.10853211009174313,0.03482587064676617,True,11.535128831863403
YFF,35,hpc,0.0825688073394495,0.1834862385321101,180,0.8,109,7,0.10623853211009175,0.8258706467661692,False,0.10798165137614678,0.03482587064676617,True,11.607729434967041
YFF,36,hpc,0.1192660550458715,0.1651376146788991,150,0.2,109,7,0.11224770642201837,0.48258706467661694,False,0.10903669724770643,0.06467661691542288,False,11.899239778518677
YFF,37,hpc,0.055045871559633,0.0642201834862385,150,0.2,109,7,0.09926605504587156,0.9950248756218906,False,0.09752293577981654,0.9303482587064676,False,11.910103559494019
YFF,38,hpc,0.055045871559633,0.146788990825688,60,0.8,109,7,0.10857798165137615,0.9751243781094527,False,0.1134862385321101,0.208955223880597,False,13.442435264587402
YFF,39,hpc,0.128440366972477,0.2018348623853211,300,0.8,109,7,0.10793577981651378,0.2736318407960199,False,0.10940366972477066,0.014925373134328358,True,10.584759950637817
YFF,40,hpc,0.1743119266055046,0.2018348623853211,300,0.8,109,7,0.10967889908256882,0.04975124378109453,True,0.10619266055045873,0.004975124378109453,True,11.337587356567383
YFF,41,hpc,0.036697247706422,0.1743119266055046,60,0.2,109,7,0.10972477064220185,0.9950248756218906,False,0.11545871559633028,0.04477611940298507,True,13.374523878097534
YFF,42,hpc,0.0458715596330275,0.1009174311926605,180,0.2,109,7,0.09752293577981654,0.9950248756218906,False,0.10068807339449543,0.5174129353233831,False,11.53610110282898
YFF,43,hpc,0.073394495412844,0.110091743119266,60,0.8,109,7,0.10541284403669726,0.8557213930348259,False,0.1111467889908257,0.5671641791044776,False,11.543897151947021
YFF,44,hpc,0.128440366972477,0.128440366972477,900,0.2,109,7,0.1076605504587156,0.26865671641791045,False,0.1076605504587156,0.26865671641791045,False,9.085848569869995
YFF,45,hpc,0.1376146788990825,0.1376146788990825,900,0.2,109,7,0.10798165137614679,0.22388059701492538,False,0.10798165137614679,0.22388059701492538,False,9.558257341384888
YFF,46,hpc,0.1376146788990825,0.1376146788990825,900,0.2,109,7,0.09977064220183486,0.14925373134328357,False,0.09977064220183486,0.14925373134328357,False,9.47502326965332
YFF,47,hpc,0.1376146788990825,0.1651376146788991,450,0.8,109,7,0.10591743119266056,0.1791044776119403,False,0.10555045871559635,0.05970149253731343,False,10.322194576263428
YFF,48,hpc,0.1009174311926605,0.1376146788990825,100,0.2,109,7,0.09844036697247707,0.4975124378109453,False,0.10339449541284404,0.14427860696517414,False,10.583733320236206
YFF,49,hpc,0.1009174311926605,0.1559633027522936,60,0.8,109,7,0.1111467889908257,0.6517412935323383,False,0.11486238532110091,0.14925373134328357,False,11.778721809387207
YFF,50,hpc,0.110091743119266,0.110091743119266,900,0.2,109,7,0.10270642201834863,0.44776119402985076,False,0.10270642201834863,0.44776119402985076,False,9.242941856384277
YFF,51,hpc,0.1743119266055046,0.2293577981651376,90,0.2,109,7,0.1098165137614679,0.06467661691542288,False,0.11174311926605504,0.004975124378109453,True,10.734065055847168
YFF,52,hpc,0.1009174311926605,0.1559633027522936,100,0.5,109,7,0.10045871559633028,0.5174129353233831,False,0.10458715596330276,0.05472636815920398,False,10.890464067459106
YFF,53,hpc,0.0825688073394495,0.1834862385321101,60,0.2,109,7,0.1044954128440367,0.8159203980099502,False,0.11486238532110093,0.05472636815920398,False,11.607396125793457
YFF,54,hpc,0.1192660550458715,0.146788990825688,225,0.5,109,7,0.09885321100917432,0.23880597014925373,False,0.10642201834862387,0.12935323383084577,False,11.09464979171753
