subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFL,20,hpc,0.0789473684210526,0.1228070175438596,150,0.5,114,4,0.09859649122807017,0.7960199004975125,False,0.10434210526315787,0.30845771144278605,False,6.055107116699219
YFL,21,hpc,0.1403508771929824,0.1578947368421052,60,0.2,114,4,0.13653508771929826,0.5920398009950248,False,0.13763157894736844,0.373134328358209,False,6.935957193374634
YFL,22,hpc,0.1578947368421052,0.1929824561403508,225,0.2,114,4,0.10162280701754385,0.16417910447761194,False,0.10083333333333332,0.024875621890547265,True,5.310781717300415
YFL,23,hpc,0.1140350877192982,0.131578947368421,180,0.2,114,4,0.10214912280701753,0.3880597014925373,False,0.10789473684210525,0.2835820895522388,False,5.350462913513184
YFL,24,hpc,0.1491228070175438,0.1578947368421052,450,0.8,114,4,0.10517543859649121,0.11442786069651742,False,0.10271929824561404,0.06467661691542288,False,5.211133718490601
YFL,25,hpc,0.087719298245614,0.1842105263157894,60,0.8,114,4,0.10057017543859649,0.681592039800995,False,0.10986842105263157,0.024875621890547265,True,6.531354665756226
YFL,26,hpc,0.1052631578947368,0.1666666666666666,180,0.2,114,4,0.10916666666666666,0.572139303482587,False,0.10868421052631579,0.0945273631840796,False,5.502114772796631
YFL,27,hpc,0.0964912280701754,0.1228070175438596,150,0.2,114,4,0.10508771929824562,0.6517412935323383,False,0.1075,0.3781094527363184,False,5.525769948959351
YFL,29,hpc,0.087719298245614,0.1052631578947368,300,0.2,114,4,0.09513157894736843,0.6169154228855721,False,0.096359649122807,0.39303482587064675,False,5.260244369506836
YFL,30,hpc,0.0964912280701754,0.1578947368421052,300,0.2,114,4,0.10991228070175438,0.7114427860696517,False,0.10828947368421052,0.10945273631840796,False,5.263669729232788
YFL,31,hpc,0.1140350877192982,0.1842105263157894,100,0.2,114,4,0.10368421052631578,0.4079601990049751,False,0.11087719298245613,0.024875621890547265,True,5.779752492904663
YFL,32,hpc,0.0526315789473684,0.131578947368421,180,0.2,114,4,0.09710526315789472,0.9651741293532339,False,0.10197368421052631,0.24378109452736318,False,5.357256889343262
