subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFR,1,hpc,0.1052631578947368,0.1428571428571428,450,0.2,266,10,0.10870300751879698,0.5771144278606966,False,0.10842105263157893,0.0945273631840796,False,33.348344564437866
YFR,2,hpc,0.1052631578947368,0.1466165413533834,60,0.5,266,10,0.10883458646616541,0.5771144278606966,False,0.11172932330827066,0.1044776119402985,False,39.89771795272827
YFR,3,hpc,0.1090225563909774,0.112781954887218,60,0.2,266,10,0.12725563909774437,0.8905472636815921,False,0.12734962406015038,0.845771144278607,False,38.447535037994385
YFR,4,hpc,0.0977443609022556,0.1052631578947368,75,0.8,266,10,0.10796992481203006,0.7064676616915423,False,0.112593984962406,0.6218905472636815,False,37.191312313079834
YFR,5,hpc,0.112781954887218,0.1278195488721804,100,0.8,266,10,0.10862781954887218,0.417910447761194,False,0.11069548872180451,0.25870646766169153,False,36.275614976882935
YFR,6,hpc,0.1203007518796992,0.1842105263157894,225,0.5,266,10,0.10761278195488722,0.31343283582089554,False,0.10787593984962406,0.004975124378109453,True,31.386680841445923
YFR,7,hpc,0.0827067669172932,0.1278195488721804,100,0.2,266,10,0.10539473684210524,0.8308457711442786,False,0.10992481203007518,0.263681592039801,False,35.729674339294434
YFR,8,hpc,0.093984962406015,0.093984962406015,900,0.2,266,10,0.10828947368421052,0.7910447761194029,False,0.10828947368421052,0.7910447761194029,False,31.32781171798706
YFR,9,hpc,0.1052631578947368,0.131578947368421,100,0.2,266,10,0.1119360902255639,0.6268656716417911,False,0.1119736842105263,0.21393034825870647,False,35.29916071891785
YFR,10,hpc,0.0977443609022556,0.0977443609022556,900,0.2,266,10,0.10795112781954888,0.6965174129353234,False,0.10795112781954888,0.6965174129353234,False,31.767984867095947
YFR,11,hpc,0.112781954887218,0.1165413533834586,225,0.8,266,10,0.10943609022556391,0.47761194029850745,False,0.11086466165413533,0.4228855721393035,False,33.932363748550415
YFR,12,hpc,0.0827067669172932,0.1278195488721804,225,0.5,266,10,0.10986842105263157,0.9203980099502488,False,0.10875939849624061,0.21393034825870647,False,34.25244212150574
YFR,13,hpc,0.0902255639097744,0.1015037593984962,90,0.2,266,10,0.10703007518796992,0.835820895522388,False,0.10921052631578945,0.6915422885572139,False,37.11579132080078
YFR,14,hpc,0.1015037593984962,0.112781954887218,60,0.5,266,10,0.10708646616541351,0.6517412935323383,False,0.10866541353383459,0.40298507462686567,False,40.2627534866333
