subject,n_neurons,FR_coding_n,TC_coding_n,FR_coding_percent,TC_coding_percent
YFF,37,1,11,2.7027027027027026,29.72972972972973
YFI,29,2,10,6.896551724137931,34.48275862068966
YFJ,45,2,15,4.444444444444445,33.333333333333336
YFK,44,2,17,4.545454545454546,38.63636363636363
YFL,56,1,9,1.7857142857142858,16.071428571428573
YFM,61,2,16,3.278688524590164,26.229508196721312
YFP,43,3,9,6.976744186046512,20.930232558139537
YFR,64,3,15,4.6875,23.4375
YFS,59,4,20,6.779661016949152,33.898305084745765
YFT,52,4,13,7.6923076923076925,25.0
YFU,62,2,25,3.225806451612903,40.32258064516129
