subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFI,1,hpc,10.427350427350426,104,9,9,0.11538461538461539,0.14423076923076922,90,0.2,success
YFI,2,hpc,13.183760683760685,104,9,9,0.125,0.19230769230769232,60,0.2,success
YFI,3,hpc,16.217948717948715,104,9,9,0.11538461538461539,0.16346153846153846,90,0.2,success
YFI,4,hpc,11.68803418803419,104,9,9,0.18269230769230768,0.18269230769230768,900,0.2,success
YFI,5,hpc,3.27991452991453,104,9,9,0.10576923076923077,0.16346153846153846,180,0.2,success
YFI,6,hpc,8.88888888888889,104,9,9,0.057692307692307696,0.15384615384615385,75,0.2,success
YFI,7,hpc,9.626068376068377,104,9,9,0.0673076923076923,0.10576923076923077,100,0.2,success
YFI,8,hpc,6.079059829059829,104,9,9,0.125,0.20192307692307693,60,0.2,success
YFI,9,hpc,11.805555555555555,104,9,9,0.10576923076923077,0.15384615384615385,225,0.8,success
YFI,19,hpc,15.363247863247864,104,9,9,0.11538461538461539,0.17307692307692307,450,0.2,success
YFI,20,hpc,3.8247863247863254,104,9,9,0.14423076923076922,0.17307692307692307,150,0.2,success
YFI,21,hpc,23.35470085470085,104,9,9,0.10576923076923077,0.18269230769230768,180,0.5,success
YFI,22,hpc,0.8119658119658119,104,9,9,0.14423076923076922,0.14423076923076922,75,0.5,success
YFI,23,hpc,0.5021367521367521,104,9,9,0.10576923076923077,0.10576923076923077,900,0.2,success
YFI,24,hpc,15.81196581196581,104,9,9,0.14423076923076922,0.20192307692307693,300,0.8,success
YFI,25,hpc,31.228632478632473,104,9,9,0.07692307692307693,0.14423076923076922,90,0.2,success
YFI,26,hpc,12.873931623931623,104,9,9,0.057692307692307696,0.18269230769230768,60,0.8,success
YFI,27,hpc,1.784188034188034,104,9,9,0.10576923076923077,0.17307692307692307,90,0.2,success
YFI,28,hpc,17.446581196581196,104,9,9,0.07692307692307693,0.1346153846153846,300,0.2,success
YFI,29,hpc,14.433760683760685,104,9,9,0.09615384615384616,0.15384615384615385,75,0.8,success
YFI,30,hpc,2.0619658119658117,104,9,9,0.20192307692307693,0.20192307692307693,900,0.2,success
YFI,31,ent,29.444444444444443,104,9,9,0.16346153846153846,0.19230769230769232,150,0.5,success
YFI,32,ent,12.478632478632479,104,9,9,0.07692307692307693,0.15384615384615385,100,0.2,success
YFI,33,ent,29.316239316239315,104,9,9,0.14423076923076922,0.14423076923076922,90,0.2,success
YFI,34,ent,29.0491452991453,104,9,9,0.14423076923076922,0.16346153846153846,450,0.2,success
YFI,35,ent,12.916666666666668,104,9,9,0.1346153846153846,0.18269230769230768,100,0.5,success
YFI,36,ent,27.78846153846154,104,9,9,0.14423076923076922,0.14423076923076922,900,0.2,success
YFI,37,ent,16.22863247863248,104,9,9,0.057692307692307696,0.16346153846153846,60,0.8,success
YFI,38,ent,9.380341880341879,104,9,9,0.08653846153846154,0.15384615384615385,60,0.8,success
