subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFJ,10,hpc,12.992202729044834,114,4,4,0.13157894736842105,0.19298245614035087,100,0.2,success
YFJ,11,hpc,15.808966861598439,114,4,4,0.07894736842105263,0.12280701754385964,60,0.2,success
YFJ,12,hpc,15.9551656920078,114,4,4,0.08771929824561403,0.16666666666666666,450,0.2,success
YFJ,13,hpc,15.526315789473685,114,4,4,0.07894736842105263,0.13157894736842105,100,0.8,success
YFJ,14,hpc,18.47953216374269,114,4,4,0.13157894736842105,0.15789473684210525,180,0.8,success
YFJ,15,hpc,0.06822612085769982,114,4,4,0.16666666666666666,0.17543859649122806,100,0.2,success
YFJ,16,hpc,19.85380116959064,114,4,4,0.10526315789473684,0.15789473684210525,150,0.5,success
YFJ,17,hpc,0.6042884990253411,114,4,4,0.10526315789473684,0.14035087719298245,100,0.2,success
YFJ,18,hpc,0.3606237816764133,114,4,4,0.09649122807017543,0.11403508771929824,450,0.8,success
YFJ,19,hpc,17.43664717348928,114,4,4,0.06140350877192982,0.11403508771929824,60,0.8,success
YFJ,20,hpc,18.499025341130597,114,4,4,0.17543859649122806,0.17543859649122806,900,0.2,success
YFJ,21,hpc,0.3118908382066277,114,4,4,0.05263157894736842,0.08771929824561403,300,0.5,success
YFJ,22,hpc,28.567251461988302,114,4,4,0.09649122807017543,0.17543859649122806,60,0.8,success
YFJ,23,hpc,24.970760233918128,114,4,4,0.11403508771929824,0.17543859649122806,300,0.8,success
YFJ,24,hpc,25.194931773879144,114,4,4,0.12280701754385964,0.17543859649122806,90,0.2,success
YFJ,25,hpc,12.007797270955164,114,4,4,0.07017543859649122,0.14035087719298245,180,0.2,success
YFJ,26,hpc,17.768031189083818,114,4,4,0.07894736842105263,0.19298245614035087,90,0.8,success
YFJ,27,hpc,15.077972709551657,114,4,4,0.09649122807017543,0.14912280701754385,75,0.2,success
YFJ,28,hpc,22.339181286549703,114,4,4,0.017543859649122806,0.13157894736842105,75,0.2,success
YFJ,29,hpc,18.58674463937622,114,4,4,0.12280701754385964,0.19298245614035087,180,0.5,success
YFJ,38,hpc,20.604288499025344,114,4,4,0.07894736842105263,0.15789473684210525,100,0.8,success
YFJ,39,hpc,0.2923976608187135,114,4,4,0.09649122807017543,0.12280701754385964,450,0.2,success
YFJ,40,hpc,18.35282651072125,114,4,4,0.09649122807017543,0.12280701754385964,60,0.5,success
YFJ,41,hpc,20.419103313840154,114,4,4,0.10526315789473684,0.14912280701754385,300,0.2,success
YFJ,42,hpc,26.413255360623783,114,4,4,0.06140350877192982,0.16666666666666666,225,0.5,success
YFJ,43,hpc,12.105263157894736,114,4,4,0.11403508771929824,0.20175438596491227,75,0.2,success
YFJ,44,hpc,25.916179337231974,114,4,4,0.09649122807017543,0.18421052631578946,90,0.8,success
YFJ,45,hpc,26.89083820662768,114,4,4,0.13157894736842105,0.20175438596491227,180,0.8,success
YFJ,46,hpc,0.2729044834307992,114,4,4,0.07894736842105263,0.09649122807017543,450,0.2,success
YFJ,47,hpc,32.485380116959064,114,4,4,0.11403508771929824,0.15789473684210525,225,0.2,success
YFJ,48,hpc,15.847953216374268,114,4,4,0.07894736842105263,0.14912280701754385,225,0.2,success
YFJ,49,hpc,26.423001949317744,114,4,4,0.07017543859649122,0.15789473684210525,225,0.5,success
YFJ,50,hpc,16.24756335282651,114,4,4,0.14035087719298245,0.21052631578947367,225,0.8,success
YFJ,51,hpc,1.1793372319688107,114,4,4,0.08771929824561403,0.14912280701754385,75,0.2,success
YFJ,52,hpc,16.773879142300192,114,4,4,0.09649122807017543,0.14035087719298245,100,0.5,success
YFJ,53,hpc,12.992202729044832,114,4,4,0.06140350877192982,0.15789473684210525,180,0.2,success
YFJ,54,hpc,0.37037037037037035,114,4,4,0.03508771929824561,0.06140350877192982,450,0.2,success
YFJ,55,hpc,17.49512670565302,114,4,4,0.11403508771929824,0.18421052631578946,60,0.5,success
YFJ,56,hpc,19.10331384015594,114,4,4,0.14912280701754385,0.15789473684210525,75,0.5,success
YFJ,57,hpc,0.8869395711500974,114,4,4,0.043859649122807015,0.13157894736842105,75,0.8,success
YFJ,58,hpc,17.846003898635473,114,4,4,0.18421052631578946,0.24561403508771928,180,0.2,success
YFJ,59,hpc,2.017543859649123,114,4,4,0.09649122807017543,0.09649122807017543,900,0.2,success
YFJ,60,hpc,20.974658869395704,114,4,4,0.07017543859649122,0.11403508771929824,75,0.5,success
YFJ,61,hpc,13.918128654970761,114,4,4,0.07894736842105263,0.20175438596491227,100,0.8,success
YFJ,62,hpc,1.442495126705653,114,4,4,0.12280701754385964,0.17543859649122806,150,0.2,success
