subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFK,25,hpc,3.089668615984405,114,4,4,0.08771929824561403,0.20175438596491227,60,0.2,success
YFK,26,hpc,3.265107212475634,114,4,4,0.02631578947368421,0.10526315789473684,180,0.8,success
YFK,27,hpc,5.682261208576998,114,4,4,0.13157894736842105,0.2807017543859649,225,0.8,success
YFK,28,hpc,0.0682261208576998,114,4,4,0.16666666666666666,0.16666666666666666,60,0.2,success
YFK,29,hpc,3.2748538011695905,114,4,4,0.16666666666666666,0.16666666666666666,900,0.2,success
YFK,30,hpc,2.504873294346978,114,4,4,0.14035087719298245,0.19298245614035087,180,0.2,success
YFK,31,hpc,12.017543859649123,114,4,4,0.11403508771929824,0.21052631578947367,60,0.2,success
YFK,32,hpc,0.38011695906432746,114,4,4,0.14035087719298245,0.15789473684210525,300,0.8,success
YFK,33,hpc,1.0526315789473684,114,4,4,0.09649122807017543,0.13157894736842105,75,0.5,success
YFK,34,hpc,4.376218323586745,114,4,4,0.08771929824561403,0.12280701754385964,90,0.8,success
YFK,35,para-hpc,15.886939571150098,114,4,4,0.07894736842105263,0.12280701754385964,75,0.2,success
YFK,36,para-hpc,3.4210526315789473,114,4,4,0.09649122807017543,0.15789473684210525,225,0.2,success
YFK,37,para-hpc,19.678362573099417,114,4,4,0.15789473684210525,0.18421052631578946,150,0.2,success
YFK,38,para-hpc,16.062378167641324,114,4,4,0.07894736842105263,0.16666666666666666,60,0.5,success
YFK,39,para-hpc,3.2553606237816757,114,4,4,0.13157894736842105,0.13157894736842105,900,0.2,success
YFK,40,para-hpc,2.5828460038986356,114,4,4,0.13157894736842105,0.19298245614035087,60,0.2,success
YFK,41,para-hpc,16.871345029239766,114,4,4,0.15789473684210525,0.15789473684210525,450,0.2,success
YFK,42,para-hpc,1.471734892787524,114,4,4,0.12280701754385964,0.13157894736842105,60,0.2,success
YFK,43,para-hpc,29.64912280701754,114,4,4,0.07017543859649122,0.22807017543859648,75,0.8,success
YFK,44,para-hpc,2.1052631578947367,114,4,4,0.14035087719298245,0.20175438596491227,300,0.2,success
YFK,45,para-hpc,5.575048732943469,114,4,4,0.09649122807017543,0.11403508771929824,60,0.5,success
YFK,46,para-hpc,11.69590643274854,114,4,4,0.11403508771929824,0.17543859649122806,90,0.5,success
YFK,47,para-hpc,5.467836257309941,114,4,4,0.05263157894736842,0.12280701754385964,180,0.2,success
YFK,48,hpc,8.440545808966862,114,4,4,0.11403508771929824,0.14912280701754385,60,0.5,success
YFK,49,hpc,1.3547758284600389,114,4,4,0.06140350877192982,0.15789473684210525,60,0.8,success
YFK,50,hpc,8.499025341130604,114,4,4,0.09649122807017543,0.12280701754385964,225,0.5,success
YFK,51,hpc,0.7504873294346978,114,4,4,0.08771929824561403,0.08771929824561403,60,0.2,success
YFK,52,hpc,1.7641325536062376,114,4,4,0.12280701754385964,0.21052631578947367,90,0.5,success
YFK,53,hpc,3.2553606237816766,114,4,4,0.15789473684210525,0.15789473684210525,900,0.2,success
YFK,54,hpc,6.081871345029239,114,4,4,0.07017543859649122,0.10526315789473684,60,0.5,success
YFK,55,hpc,0.5653021442495126,114,4,4,0.11403508771929824,0.14912280701754385,90,0.2,success
YFK,56,hpc,5.730994152046784,114,4,4,0.10526315789473684,0.18421052631578946,180,0.8,success
YFK,57,hpc,0.038986354775828465,114,4,4,0.14912280701754385,0.15789473684210525,60,0.2,success
YFK,58,hpc,2.553606237816764,114,4,4,0.19298245614035087,0.19298245614035087,900,0.2,success
YFK,59,hpc,9.571150097465887,114,4,4,0.09649122807017543,0.15789473684210525,90,0.5,success
YFK,60,hpc,1.9883040935672514,114,4,4,0.12280701754385964,0.21052631578947367,75,0.2,success
YFK,61,hpc,0.49707602339181284,114,4,4,0.13157894736842105,0.17543859649122806,75,0.5,success
YFK,62,hpc,27.027290448343077,114,4,4,0.13157894736842105,0.16666666666666666,60,0.8,success
YFK,63,hpc,3.6744639376218324,114,4,4,0.12280701754385964,0.12280701754385964,75,0.2,success
YFK,64,para-hpc,0.1949317738791423,114,4,4,0.07017543859649122,0.07017543859649122,450,0.2,success
YFK,65,para-hpc,0.3703703703703704,114,4,4,0.08771929824561403,0.17543859649122806,180,0.5,success
YFK,66,para-hpc,0.50682261208577,114,4,4,0.12280701754385964,0.13157894736842105,90,0.2,success
YFK,67,para-hpc,0.42884990253411304,114,4,4,0.11403508771929824,0.16666666666666666,100,0.2,success
YFK,68,para-hpc,0.6335282651072125,114,4,4,0.10526315789473684,0.12280701754385964,60,0.5,success
