subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status,error
YFP,30,hpc,8.164556962025317,158.0,9.0,9.0,0.0886075949367088,0.170886075949367,225.0,0.5,success,
YFP,31,hpc,0.9142053445850916,158.0,9.0,9.0,0.1012658227848101,0.1455696202531645,300.0,0.2,success,
YFP,32,hpc,1.3291139240506329,158.0,9.0,9.0,0.1582278481012658,0.1582278481012658,900.0,0.2,success,
YFP,33,hpc,2.0112517580872016,158.0,9.0,9.0,0.0949367088607595,0.1265822784810126,75.0,0.2,success,
YFP,34,hpc,0.7454289732770747,158.0,9.0,9.0,0.0759493670886076,0.170886075949367,150.0,0.5,success,
YFP,35,hpc,1.090014064697609,158.0,9.0,9.0,0.0632911392405063,0.1455696202531645,75.0,0.2,success,
YFP,36,hpc,8.924050632911392,158.0,9.0,9.0,0.120253164556962,0.170886075949367,150.0,0.5,success,
YFP,37,hpc,0.9985935302391,158.0,9.0,9.0,0.1455696202531645,0.1518987341772152,75.0,0.2,success,
YFP,38,hpc,0.6469760900140648,158.0,9.0,9.0,0.050632911392405,0.1075949367088607,60.0,0.2,success,
YFP,39,hpc,0.0562587904360056,158.0,9.0,9.0,0.1645569620253164,0.1645569620253164,300.0,0.2,success,
YFP,40,hpc,0.8438818565400844,158.0,9.0,9.0,0.1329113924050632,0.1645569620253164,75.0,0.2,success,
YFP,41,hpc,0.6821378340365681,158.0,9.0,9.0,0.0759493670886076,0.1265822784810126,180.0,0.5,success,
YFP,42,hpc,0.0070323488045007,158.0,9.0,9.0,0.1392405063291139,0.1392405063291139,60.0,0.2,success,All features were removed because of zero within-class variance.
YFP,43,hpc,0.7102672292545711,158.0,9.0,9.0,0.0696202531645569,0.120253164556962,60.0,0.2,success,
YFP,44,hpc,0.450070323488045,158.0,9.0,9.0,0.0632911392405063,0.1392405063291139,150.0,0.8,success,
YFP,45,hpc,0.450070323488045,158.0,9.0,9.0,0.0886075949367088,0.1329113924050632,90.0,0.2,success,
YFP,46,hpc,0.8227848101265823,158.0,9.0,9.0,0.1265822784810126,0.1455696202531645,75.0,0.8,success,
YFP,47,hpc,0.6329113924050633,158.0,9.0,9.0,0.1012658227848101,0.1518987341772152,75.0,0.2,success,
YFP,74,hpc,5.1406469760900135,158.0,9.0,9.0,0.0632911392405063,0.1518987341772152,60.0,0.2,success,
YFP,75,hpc,3.241912798874824,158.0,9.0,9.0,0.1265822784810126,0.1329113924050632,150.0,0.2,success,
YFP,76,hpc,3.2278481012658222,158.0,9.0,9.0,0.0759493670886076,0.1139240506329113,75.0,0.8,success,
YFP,77,hpc,2.039381153305204,158.0,9.0,9.0,0.050632911392405,0.1139240506329113,60.0,0.5,success,
YFP,78,hpc,3.670886075949367,158.0,9.0,9.0,0.1012658227848101,0.1265822784810126,180.0,0.2,success,
YFP,79,hpc,1.3924050632911391,158.0,9.0,9.0,0.1012658227848101,0.1582278481012658,60.0,0.5,success,
YFP,80,hpc,0.0984528832630098,158.0,9.0,9.0,0.1582278481012658,0.1835443037974683,75.0,0.2,success,
YFP,81,hpc,1.49789029535865,158.0,9.0,9.0,0.0696202531645569,0.1075949367088607,90.0,0.8,success,
YFP,82,hpc,2.4542897327707456,158.0,9.0,9.0,0.0949367088607595,0.1518987341772152,90.0,0.8,success,
YFP,83,hpc,0.007032348804500704,158.0,9.0,9.0,0.13924050632911392,0.13924050632911392,60.0,0.2,success,All features were removed because of zero within-class variance.
YFP,84,hpc,10.372714486638536,158.0,9.0,9.0,0.1075949367088607,0.1455696202531645,150.0,0.5,success,
YFP,85,hpc,5.239099859353024,158.0,9.0,9.0,0.0822784810126582,0.1265822784810126,100.0,0.2,success,
YFP,86,hpc,10.267229254571026,158.0,9.0,9.0,0.120253164556962,0.170886075949367,180.0,0.5,success,
YFP,87,hpc,8.41068917018284,158.0,9.0,9.0,0.1075949367088607,0.1455696202531645,150.0,0.2,success,
YFP,88,hpc,20.55555555555556,158.0,9.0,9.0,0.1139240506329113,0.1265822784810126,90.0,0.8,success,
YFP,89,hpc,34.064697609001406,158.0,9.0,9.0,0.1012658227848101,0.1265822784810126,75.0,0.2,success,
YFP,90,hpc,17.40506329113924,158.0,9.0,9.0,0.0696202531645569,0.1329113924050632,75.0,0.8,success,
YFP,91,hpc,28.11533052039381,158.0,9.0,9.0,0.1329113924050632,0.1772151898734177,300.0,0.2,success,
YFP,92,hpc,0.2742616033755274,158.0,9.0,9.0,0.0696202531645569,0.1582278481012658,90.0,0.2,success,
YFP,93,hpc,19.915611814346,158.0,9.0,9.0,0.1265822784810126,0.1582278481012658,450.0,0.5,success,
YFP,94,hpc,18.9381153305204,158.0,9.0,9.0,0.1518987341772152,0.1518987341772152,900.0,0.2,success,
YFP,95,hpc,17.27848101265823,158.0,9.0,9.0,0.0949367088607595,0.1139240506329113,450.0,0.2,success,
YFP,96,hpc,12.50351617440225,158.0,9.0,9.0,0.1265822784810126,0.1392405063291139,450.0,0.2,success,
YFP,97,hpc,35.26019690576653,158.0,9.0,9.0,0.1392405063291139,0.1455696202531645,100.0,0.8,success,
YFP,98,hpc,18.24894514767933,158.0,9.0,9.0,0.1075949367088607,0.1518987341772152,225.0,0.5,success,
