subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFR,1,hpc,0.8479532163742689,266.0,20.0,10.0,0.10526315789473684,0.14285714285714285,450.0,0.2,success
YFR,2,hpc,1.1361737677527148,266.0,20.0,10.0,0.10526315789473684,0.14661654135338345,60.0,0.5,success
YFR,3,hpc,0.012531328320802006,266.0,20.0,10.0,0.10902255639097744,0.11278195488721804,60.0,0.2,success
YFR,4,hpc,1.9298245614035086,266.0,20.0,10.0,0.09774436090225563,0.10526315789473684,75.0,0.8,success
YFR,5,hpc,0.5221386800334169,266.0,20.0,10.0,0.11278195488721804,0.12781954887218044,100.0,0.8,success
YFR,6,hpc,3.79281537176274,266.0,20.0,10.0,0.12030075187969924,0.18421052631578946,225.0,0.5,success
YFR,7,hpc,0.6265664160401002,266.0,20.0,10.0,0.08270676691729323,0.12781954887218044,100.0,0.2,success
YFR,8,hpc,0.07936507936507936,266.0,20.0,10.0,0.09398496240601503,0.09398496240601503,900.0,0.2,success
YFR,9,hpc,1.4828738512949038,266.0,20.0,10.0,0.10526315789473684,0.13157894736842105,100.0,0.2,success
YFR,10,hpc,0.0960735171261487,266.0,20.0,10.0,0.09774436090225563,0.09774436090225563,900.0,0.2,success
YFR,11,hpc,0.5472013366750208,266.0,20.0,10.0,0.11278195488721804,0.11654135338345864,225.0,0.8,success
YFR,12,hpc,27.74436090225564,266.0,20.0,10.0,0.08270676691729323,0.12781954887218044,225.0,0.5,success
YFR,13,hpc,0.42188805346700087,266.0,20.0,10.0,0.09022556390977443,0.10150375939849623,90.0,0.2,success
YFR,14,hpc,1.2364243943191313,266.0,20.0,10.0,0.10150375939849623,0.11278195488721804,60.0,0.5,success
YFR,15,hpc,0.004177109440267335,,,,,,,,threshold_excluded
YFR,16,hpc,0.1336675020885547,266.0,20.0,10.0,0.07894736842105263,0.12406015037593984,150.0,0.2,success
YFR,17,hpc,0.7936507936507937,266.0,20.0,10.0,0.11278195488721804,0.15413533834586465,60.0,0.5,success
YFR,18,hpc,1.5873015873015872,266.0,20.0,10.0,0.13157894736842105,0.13157894736842105,150.0,0.5,success
YFR,19,hpc,1.5914786967418544,266.0,20.0,10.0,0.10150375939849623,0.15037593984962405,225.0,0.2,success
