subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFT,10,ent,0.5474027486606102,477,43,10,0.1111111111111111,0.14465408805031446,180,0.8,success
YFT,11,ent,0.48916841369671554,477,43,10,0.11740041928721175,0.12578616352201258,450,0.2,success
YFT,12,ent,0.33077102259492197,477,43,10,0.10062893081761007,0.13836477987421383,90,0.2,success
YFT,13,ent,0.4658746797111577,477,43,10,0.16561844863731656,0.16981132075471697,450,0.2,success
YFT,14,ent,0.35639412997903563,477,43,10,0.12578616352201258,0.14465408805031446,75,0.8,success
YFT,15,ent,0.49382716049382713,477,43,10,0.1278825995807128,0.1278825995807128,900,0.2,success
YFT,16,ent,0.507803400885162,477,43,10,0.11949685534591195,0.14046121593291405,150,0.8,success
YFT,17,ent,1.8355462380619612,477,43,10,0.11949685534591195,0.13417190775681342,60,0.5,success
YFT,18,hpc,1.9263918006056366,477,43,10,0.13626834381551362,0.13626834381551362,900,0.2,success
YFT,19,hpc,0.10715117633356627,477,43,10,0.11949685534591195,0.12578616352201258,60,0.2,success
YFT,20,hpc,0.7360819939436292,477,43,10,0.11949685534591195,0.13417190775681342,450,0.2,success
YFT,21,hpc,0.03726997437689262,477,43,10,0.09224318658280922,0.09433962264150944,60,0.2,success
YFT,22,hpc,0.025623107384113674,477,43,10,0.129979035639413,0.13626834381551362,90,0.2,success
YFT,23,hpc,0.7617051013277428,477,43,10,0.11740041928721175,0.129979035639413,90,0.2,success
YFT,24,hpc,0.04891684136967157,477,43,10,0.09853249475890985,0.09853249475890985,900,0.2,success
YFT,25,hpc,0.7290938737479618,477,43,10,0.13626834381551362,0.1530398322851153,75,0.5,success
YFT,26,hpc,5.513626834381552,477,43,10,0.09643605870020965,0.1278825995807128,60,0.2,success
YFT,27,hpc,0.048916841369671546,477,43,10,0.09853249475890985,0.10482180293501048,60,0.2,success
YFT,28,hpc,0.6242720708129513,477,43,10,0.12159329140461216,0.14465408805031446,100,0.2,success
YFT,29,hpc,0.1420917773119031,477,43,10,0.1111111111111111,0.11530398322851153,90,0.2,success
YFT,30,hpc,0.6964826461681808,477,43,10,0.1090146750524109,0.13836477987421383,90,0.2,success
YFT,31,hpc,0.027952480782669462,477,43,10,0.10062893081761007,0.1069182389937107,60,0.2,success
YFT,32,hpc,7.770789657582111,477,43,10,0.09224318658280922,0.12578616352201258,225,0.2,success
YFT,33,amy,0.5078034008851618,477,43,10,0.14046121593291405,0.16352201257861634,90,0.8,success
YFT,34,amy,0.7314232471465175,477,43,10,0.1278825995807128,0.13836477987421383,150,0.8,success
YFT,35,amy,1.7586769159096198,477,43,10,0.1069182389937107,0.13417190775681342,100,0.2,success
YFT,36,amy,1.4395527603074771,477,43,10,0.129979035639413,0.14675052410901468,75,0.2,success
YFT,37,amy,1.6724901001630557,477,43,10,0.10272536687631027,0.1278825995807128,75,0.5,success
YFT,38,amy,1.4162590263219192,477,43,10,0.10062893081761007,0.1320754716981132,225,0.2,success
YFT,39,amy,1.2462147682273466,477,43,10,0.1090146750524109,0.1320754716981132,450,0.2,success
YFT,40,amy,0.8292569298858606,477,43,10,0.12159329140461216,0.13417190775681342,150,0.8,success
YFT,41,hpc,23.438155136268342,477,43,10,0.1090146750524109,0.129979035639413,150,0.5,success
YFT,42,hpc,6.235732587933845,477,43,10,0.10062893081761007,0.1111111111111111,300,0.2,success
YFT,43,hpc,2.210575355229443,477,43,10,0.12578616352201258,0.13417190775681342,225,0.2,success
YFT,44,hpc,0.3913347309573724,477,43,10,0.1090146750524109,0.1320754716981132,75,0.2,success
YFT,45,hpc,0.375029117167482,477,43,10,0.0880503144654088,0.09853249475890985,60,0.8,success
YFT,46,hpc,18.753785231772653,477,43,10,0.12159329140461216,0.129979035639413,75,0.5,success
YFT,47,hpc,0.8036338225017471,477,43,10,0.129979035639413,0.1509433962264151,450,0.8,success
YFT,48,hpc,26.543209876543205,477,43,10,0.11530398322851153,0.14046121593291405,300,0.5,success
YFT,49,hpc,14.891684136967157,477,43,10,0.09853249475890985,0.1278825995807128,100,0.5,success
YFT,50,hpc,7.314232471465176,477,43,10,0.1278825995807128,0.16981132075471697,60,0.5,success
YFT,51,hpc,3.4987188446307944,477,43,10,0.13836477987421383,0.1530398322851153,150,0.2,success
YFT,52,hpc,1.2415560214302352,477,43,10,0.12159329140461216,0.14465408805031446,60,0.2,success
YFT,70,ent,0.42161658513859773,477,43,10,0.11320754716981132,0.12159329140461216,300,0.2,success
YFT,71,ent,4.514325646401118,477,43,10,0.09433962264150944,0.13417190775681342,150,0.5,success
YFT,72,ent,1.4395527603074771,477,43,10,0.12159329140461216,0.13417190775681342,100,0.8,success
YFT,73,ent,8.022361984626135,477,43,10,0.09224318658280922,0.11949685534591195,180,0.2,success
YFT,74,ent,1.5420451898439318,477,43,10,0.07547169811320754,0.10272536687631027,225,0.8,success
YFT,75,ent,9.301187980433262,477,43,10,0.1278825995807128,0.14465408805031446,180,0.2,success
YFT,76,ent,1.12275797810389,477,43,10,0.11320754716981132,0.1320754716981132,225,0.8,success
YFT,77,ent,0.6708595387840671,477,43,10,0.09014675052410902,0.14465408805031446,75,0.2,success
YFT,78,ent,1.3929652923363613,477,43,10,0.11949685534591195,0.14465408805031446,75,0.2,success
