subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status
YFU,1,amy,4.426450742240217,494,47,10,0.11538461538461539,0.1214574898785425,225,0.5,success
YFU,2,amy,14.709851551956813,494,47,10,0.10728744939271255,0.12955465587044535,90,0.8,success
YFU,3,amy,9.59289248762933,494,47,10,0.08299595141700405,0.13360323886639677,450,0.2,success
YFU,4,amy,16.246063877642822,494,47,10,0.0931174089068826,0.13157894736842105,450,0.2,success
YFU,5,amy,0.13495276653171387,494,47,10,0.11336032388663968,0.1214574898785425,180,0.2,success
YFU,6,amy,10.062977957714798,494,47,10,0.10526315789473684,0.13157894736842105,450,0.8,success
YFU,7,amy,24.844804318488528,494,47,10,0.11538461538461539,0.11538461538461539,900,0.2,success
YFU,8,amy,7.672064777327935,494,47,10,0.10323886639676114,0.13360323886639677,300,0.2,success
YFU,9,amy,4.424201529464687,494,47,10,0.10526315789473684,0.11133603238866396,90,0.8,success
YFU,10,amy,8.272604588394062,494,47,10,0.08906882591093117,0.10931174089068826,300,0.8,success
YFU,11,amy,1.9658119658119655,494,47,10,0.09716599190283401,0.11538461538461539,90,0.5,success
YFU,12,amy,36.47098515519568,494,47,10,0.0931174089068826,0.10526315789473684,90,0.2,success
YFU,21,hpc,25.492577597840757,494,47,10,0.12955465587044535,0.13157894736842105,100,0.5,success
YFU,22,hpc,4.51417004048583,494,47,10,0.15182186234817813,0.15182186234817813,900,0.2,success
YFU,23,hpc,10.48358074673864,494,47,10,0.13562753036437247,0.13765182186234817,450,0.5,success
YFU,24,hpc,21.33153396311291,494,47,10,0.08299595141700405,0.1396761133603239,90,0.2,success
YFU,25,hpc,0.5780476833108412,494,47,10,0.1214574898785425,0.14979757085020243,60,0.2,success
YFU,26,hpc,24.799820062977957,494,47,10,0.08097165991902834,0.13360323886639677,100,0.8,success
YFU,27,hpc,3.1848852901484483,494,47,10,0.0931174089068826,0.11336032388663968,450,0.2,success
YFU,28,hpc,11.691408007197479,494,47,10,0.11336032388663968,0.12348178137651822,90,0.8,success
YFU,29,hpc,10.841205578047683,494,47,10,0.11740890688259109,0.13562753036437247,180,0.8,success
YFU,30,hpc,20.209176788124154,494,47,10,0.10323886639676114,0.1417004048582996,75,0.8,success
YFU,31,hpc,1.7588843904633373,494,47,10,0.14777327935222673,0.14979757085020243,300,0.2,success
YFU,32,hpc,3.616734143049932,494,47,10,0.10323886639676114,0.1437246963562753,180,0.2,success
YFU,33,hpc,23.310841205578047,494,47,10,0.10323886639676114,0.15182186234817813,225,0.5,success
YFU,34,hpc,8.169140800719749,494,47,10,0.13360323886639677,0.16396761133603238,60,0.5,success
YFU,35,hpc,0.36662168241115617,494,47,10,0.12550607287449392,0.12753036437246965,90,0.8,success
YFU,36,hpc,24.610886189833558,494,47,10,0.11336032388663968,0.12348178137651822,75,0.8,success
YFU,37,hpc,10.53306342780027,494,47,10,0.10121457489878542,0.1214574898785425,450,0.5,success
YFU,38,hpc,7.764282501124606,494,47,10,0.12550607287449392,0.12753036437246965,60,0.2,success
YFU,39,hpc,12.58434547908232,494,47,10,0.13765182186234817,0.145748987854251,450,0.2,success
YFU,40,hpc,0.5263157894736842,494,47,10,0.12955465587044535,0.16396761133603238,90,0.2,success
YFU,41,hpc,7.462887989203779,494,47,10,0.11336032388663968,0.145748987854251,90,0.5,success
YFU,42,hpc,1.4799820062977957,494,47,10,0.09919028340080972,0.13360323886639677,90,0.2,success
YFU,43,hpc,6.6936572199730096,494,47,10,0.1214574898785425,0.16396761133603238,150,0.2,success
YFU,44,amy,5.096716149347728,494,47,10,0.11133603238866396,0.1417004048582996,450,0.2,success
YFU,45,amy,0.30364372469635625,494,47,10,0.07894736842105263,0.11336032388663968,60,0.2,success
YFU,46,amy,4.174538911381017,494,47,10,0.11538461538461539,0.13765182186234817,75,0.5,success
YFU,47,amy,22.847503373819162,494,47,10,0.0931174089068826,0.12955465587044535,60,0.5,success
YFU,48,amy,11.48897885739991,494,47,10,0.11740890688259109,0.12955465587044535,180,0.8,success
YFU,49,amy,4.743589743589743,494,47,10,0.1417004048582996,0.1417004048582996,900,0.2,success
YFU,50,amy,3.2771030139451196,494,47,10,0.12955465587044535,0.13157894736842105,180,0.8,success
YFU,51,amy,10.125955915429598,494,47,10,0.12955465587044535,0.12955465587044535,900,0.2,success
YFU,52,amy,0.8502024291497976,494,47,10,0.09716599190283401,0.1437246963562753,100,0.5,success
YFU,53,amy,10.071974808816913,494,47,10,0.10728744939271255,0.145748987854251,180,0.2,success
YFU,54,amy,6.954565901934323,494,47,10,0.12348178137651822,0.14777327935222673,450,0.2,success
YFU,55,hpc,4.313990103463788,494,47,10,0.11538461538461539,0.1396761133603239,225,0.8,success
YFU,56,hpc,1.3945119208277104,494,47,10,0.07894736842105263,0.1437246963562753,60,0.2,success
YFU,57,hpc,7.905982905982906,494,47,10,0.12348178137651822,0.14777327935222673,180,0.2,success
YFU,58,hpc,4.964012595591542,494,47,10,0.10931174089068826,0.145748987854251,75,0.5,success
YFU,59,hpc,3.54251012145749,494,47,10,0.08906882591093117,0.11133603238866396,180,0.2,success
YFU,60,hpc,3.3198380566801617,494,47,10,0.10728744939271255,0.12955465587044535,225,0.2,success
YFU,61,hpc,4.588394062078273,494,47,10,0.10121457489878542,0.12753036437246965,75,0.2,success
YFU,62,hpc,2.123256860098965,494,47,10,0.10728744939271255,0.14979757085020243,150,0.2,success
YFU,63,hpc,5.652271704903285,494,47,10,0.12550607287449392,0.1396761133603239,180,0.5,success
YFU,64,hpc,4.251012145748988,494,47,10,0.10121457489878542,0.12550607287449392,75,0.8,success
YFU,65,hpc,12.118758434547907,494,47,10,0.1194331983805668,0.13360323886639677,60,0.2,success
YFU,66,hpc,9.125056230319387,494,47,10,0.1194331983805668,0.13765182186234817,450,0.8,success
YFU,67,hpc,11.160593792172737,494,47,10,0.1396761133603239,0.1396761133603239,900,0.2,success
YFU,68,hpc,9.399460188933872,494,47,10,0.0951417004048583,0.13562753036437247,100,0.5,success
YFU,69,hpc,4.02834008097166,494,47,10,0.10931174089068826,0.1417004048582996,60,0.2,success
YFU,70,hpc,12.222222222222221,494,47,10,0.10526315789473684,0.14777327935222673,90,0.2,success
