subject,neuron,region_clean,TC_coding
YFF,9,ENT,0
YFF,10,HPC,0
YFF,11,HPC,1
YFF,12,HPC,1
YFF,13,HPC,0
YFF,14,HPC,1
YFF,15,HPC,0
YFF,16,HPC,0
YFF,17,HPC,0
YFF,27,HPC,0
YFF,28,HPC,0
YFF,29,HPC,1
YFF,30,HPC,0
YFF,31,HPC,1
YFF,32,HPC,0
YFF,33,HPC,0
YFF,34,HPC,1
YFF,35,HPC,1
YFF,36,HPC,0
YFF,37,HPC,0
YFF,38,HPC,0
YFF,39,HPC,1
YFF,40,HPC,1
YFF,41,HPC,1
YFF,42,HPC,0
YFF,43,HPC,0
YFF,44,HPC,0
YFF,45,HPC,0
YFF,46,HPC,0
YFF,47,HPC,0
YFF,48,HPC,0
YFF,49,HPC,0
YFF,50,HPC,0
YFF,51,HPC,1
YFF,52,HPC,0
YFF,53,HPC,0
YFF,54,HPC,0
YFI,1,HPC,0
YFI,2,HPC,1
YFI,3,HPC,1
YFI,4,HPC,1
YFI,5,HPC,0
YFI,6,HPC,0
YFI,7,HPC,0
YFI,8,HPC,1
YFI,9,HPC,0
YFI,19,HPC,0
YFI,20,HPC,0
YFI,21,HPC,1
YFI,22,HPC,0
YFI,23,HPC,0
YFI,24,HPC,1
YFI,25,HPC,0
YFI,26,HPC,1
YFI,27,HPC,0
YFI,28,HPC,0
YFI,29,HPC,0
YFI,30,HPC,1
YFI,31,ENT,1
YFI,32,ENT,0
YFI,33,ENT,0
YFI,34,ENT,0
YFI,35,ENT,1
YFI,36,ENT,0
YFI,37,ENT,0
YFI,38,ENT,0
YFJ,10,HPC,1
YFJ,11,HPC,0
YFJ,12,HPC,1
YFJ,13,HPC,0
YFJ,14,HPC,0
YFJ,15,HPC,0
YFJ,16,HPC,0
YFJ,17,HPC,0
YFJ,18,HPC,0
YFJ,19,HPC,0
YFJ,20,HPC,1
YFJ,21,HPC,0
YFJ,22,HPC,1
YFJ,23,HPC,1
YFJ,24,HPC,0
YFJ,25,HPC,0
YFJ,26,HPC,1
