subject,region_clean,n_neurons,n_TC_coding,TC_coding_proportion,TC_coding_percent
YFF,HPC,36,11,0.3055555555555556,30.555555555555557
YFF,ENT,1,0,0.0,0.0
YFI,HPC,21,8,0.38095238095238093,38.095238095238095
YFI,ENT,8,2,0.25,25.0
YFJ,HPC,45,15,0.3333333333333333,33.33333333333333
YFK,HPC,26,10,0.38461538461538464,38.46153846153847
YFK,PHC,18,7,0.3888888888888889,38.88888888888889
YFL,HPC,41,5,0.12195121951219512,12.195121951219512
YFL,ENT,15,4,0.26666666666666666,26.666666666666668
YFM,HPC,32,5,0.15625,15.625
YFM,ENT,29,11,0.3793103448275862,37.93103448275862
YFP,HPC,43,9,0.20930232558139536,20.930232558139537
YFR,HPC,40,10,0.25,25.0
YFR,AMY,24,5,0.20833333333333334,20.833333333333336
YFS,HPC,37,14,0.3783783783783784,37.83783783783784
YFS,AMY,22,6,0.2727272727272727,27.27272727272727
YFT,HPC,27,7,0.25925925925925924,25.925925925925924
YFT,ENT,17,5,0.29411764705882354,29.411764705882355
YFT,AMY,8,1,0.125,12.5
YFU,HPC,39,22,0.5641025641025641,56.41025641025641
YFU,AMY,23,3,0.13043478260869565,13.043478260869565
