subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFF,11,100,0.5,0.2018348623853211,6,0.1,0.26666666666666666,0.18181818181818182,0.14285714285714285,0.0,0.3125,0.17647058823529413,0.25,0.21428571428571427
YFF,12,300,0.5,0.1743119266055046,6,0.1,0.13333333333333333,0.2727272727272727,0.0,0.0,0.3125,0.17647058823529413,0.25,0.14285714285714285
YFF,14,100,0.2,0.1926605504587156,3,0.2,0.13333333333333333,0.5454545454545454,0.0,0.14285714285714285,0.1875,0.29411764705882354,0.0,0.14285714285714285
YFF,29,180,0.2,0.1834862385321101,7,0.1,0.2,0.2727272727272727,0.2857142857142857,0.0,0.25,0.29411764705882354,0.16666666666666666,0.0
YFF,31,100,0.5,0.1926605504587156,1,0.4,0.06666666666666667,0.0,0.2857142857142857,0.2857142857142857,0.125,0.29411764705882354,0.16666666666666666,0.21428571428571427
YFF,34,180,0.2,0.1834862385321101,7,0.1,0.2,0.09090909090909091,0.2857142857142857,0.0,0.25,0.4117647058823529,0.0,0.14285714285714285
YFF,35,180,0.8,0.1834862385321101,5,0.2,0.2,0.18181818181818182,0.14285714285714285,0.42857142857142855,0.0625,0.17647058823529413,0.25,0.14285714285714285
YFF,39,300,0.8,0.2018348623853211,4,0.1,0.26666666666666666,0.18181818181818182,0.42857142857142855,0.0,0.3125,0.058823529411764705,0.08333333333333333,0.35714285714285715
YFF,40,300,0.8,0.2018348623853211,7,0.0,0.26666666666666666,0.18181818181818182,0.0,0.14285714285714285,0.0,0.47058823529411764,0.08333333333333333,0.42857142857142855
YFF,41,60,0.2,0.1743119266055046,7,0.1,0.06666666666666667,0.09090909090909091,0.0,0.2857142857142857,0.125,0.29411764705882354,0.25,0.2857142857142857
YFF,51,90,0.2,0.22935779816513763,3,0.2,0.2,0.45454545454545453,0.14285714285714285,0.2857142857142857,0.1875,0.4117647058823529,0.0,0.14285714285714285
YFI,2,60,0.2,0.19230769230769232,8,0.2,0.0,0.2727272727272727,0.2727272727272727,0.1111111111111111,0.2,0.2,0.30434782608695654,0.0
YFI,3,90,0.2,0.16346153846153846,3,0.1,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.1111111111111111,0.1,0.2,0.17391304347826086,0.1111111111111111
