subject,number,n_coding_neurons,n_preferred,percent_preferred
YFF,1,11,1,9.090909090909092
YFF,2,11,0,0.0
YFF,3,11,2,18.181818181818183
YFF,4,11,1,9.090909090909092
YFF,5,11,1,9.090909090909092
YFF,6,11,2,18.181818181818183
YFF,7,11,4,36.36363636363637
YFF,8,11,0,0.0
YFF,9,11,0,0.0
YFI,1,8,1,12.5
YFI,2,8,3,37.5
YFI,3,8,0,0.0
YFI,4,8,0,0.0
YFI,5,8,1,12.5
YFI,6,8,0,0.0
YFI,7,8,0,0.0
YFI,8,8,1,12.5
YFI,9,8,2,25.0
YFJ,1,15,2,13.333333333333334
YFJ,2,15,1,6.666666666666667
YFJ,3,15,1,6.666666666666667
YFJ,4,15,3,20.0
YFJ,5,15,1,6.666666666666667
YFJ,6,15,0,0.0
YFJ,7,15,2,13.333333333333334
YFJ,8,15,3,20.0
YFJ,9,15,2,13.333333333333334
YFK,1,17,2,11.764705882352942
YFK,2,17,4,23.529411764705884
YFK,3,17,4,23.529411764705884
YFK,4,17,2,11.764705882352942
YFK,5,17,1,5.882352941176471
YFK,6,17,1,5.882352941176471
YFK,7,17,0,0.0
YFK,8,17,2,11.764705882352942
YFK,9,17,1,5.882352941176471
YFL,1,9,1,11.11111111111111
YFL,2,9,3,33.333333333333336
YFL,3,9,2,22.22222222222222
YFL,4,9,1,11.11111111111111
YFL,5,9,2,22.22222222222222
YFL,6,9,0,0.0
YFL,7,9,0,0.0
YFL,8,9,0,0.0
YFL,9,9,0,0.0
YFM,1,15,6,40.0
YFM,2,15,3,20.0
YFM,3,15,2,13.333333333333334
YFM,4,15,3,20.0
YFM,5,15,0,0.0
YFM,6,15,0,0.0
YFM,7,15,0,0.0
YFM,8,15,1,6.666666666666667
YFM,9,15,0,0.0
YFP,1,9,3,33.333333333333336
YFP,2,9,1,11.11111111111111
YFP,3,9,1,11.11111111111111
YFP,4,9,1,11.11111111111111
YFP,5,9,1,11.11111111111111
YFP,6,9,0,0.0
YFP,7,9,0,0.0
YFP,8,9,0,0.0
YFP,9,9,2,22.22222222222222
YFR,1,15,1,6.666666666666667
YFR,2,15,1,6.666666666666667
YFR,3,15,0,0.0
YFR,4,15,1,6.666666666666667
YFR,5,15,2,13.333333333333334
YFR,6,15,2,13.333333333333334
YFR,7,15,3,20.0
YFR,8,15,4,26.666666666666668
YFR,9,15,1,6.666666666666667
YFS,1,20,3,15.0
YFS,2,20,4,20.0
YFS,3,20,3,15.0
YFS,4,20,2,10.0
YFS,5,20,2,10.0
YFS,6,20,0,0.0
YFS,7,20,2,10.0
YFS,8,20,2,10.0
YFS,9,20,2,10.0
YFT,1,13,2,15.384615384615385
YFT,2,13,2,15.384615384615385
YFT,3,13,1,7.6923076923076925
YFT,4,13,0,0.0
YFT,5,13,1,7.6923076923076925
YFT,6,13,0,0.0
YFT,7,13,1,7.6923076923076925
YFT,8,13,1,7.6923076923076925
YFT,9,13,5,38.46153846153846
YFU,1,25,6,24.0
YFU,2,25,3,12.0
YFU,3,25,3,12.0
YFU,4,25,3,12.0
YFU,5,25,4,16.0
YFU,6,25,1,4.0
YFU,7,25,1,4.0
YFU,8,25,0,0.0
YFU,9,25,4,16.0
