subject,neuron,preferred_number,max_accuracy
YFF,11,6,0.3125
YFF,12,6,0.3125
YFF,14,3,0.5454545454545454
YFF,29,7,0.29411764705882354
YFF,31,1,0.4
YFF,34,7,0.4117647058823529
YFF,35,5,0.42857142857142855
YFF,39,4,0.42857142857142855
YFF,40,7,0.47058823529411764
YFF,41,7,0.29411764705882354
YFF,51,3,0.45454545454545453
YFI,2,8,0.30434782608695654
YFI,4,5,0.5555555555555556
YFI,8,9,0.4444444444444444
YFI,21,2,0.45454545454545453
YFI,26,2,0.36363636363636365
YFI,30,9,0.6666666666666666
YFI,31,1,0.4
YFI,35,2,0.45454545454545453
YFJ,10,3,0.42857142857142855
YFJ,12,8,0.4166666666666667
YFJ,20,5,0.5714285714285714
YFJ,22,4,0.5
YFJ,23,7,0.4
YFJ,26,2,0.4117647058823529
YFJ,29,4,0.5
YFJ,43,9,0.375
YFJ,44,1,0.3157894736842105
YFJ,45,8,0.4166666666666667
YFJ,50,7,0.4
YFJ,55,9,0.375
YFJ,58,8,0.5
YFJ,61,4,0.75
YFJ,62,1,0.3157894736842105
YFK,25,4,0.5
YFK,27,2,0.6470588235294118
YFK,29,2,0.47058823529411764
YFK,30,5,0.35714285714285715
YFK,31,2,0.35294117647058826
YFK,32,8,0.3333333333333333
YFK,37,8,0.5
YFK,40,9,0.375
YFK,43,2,0.4117647058823529
YFK,44,1,0.7368421052631579
YFK,46,3,0.2857142857142857
YFK,52,4,0.5
YFK,56,1,0.3157894736842105
YFK,58,6,0.75
YFK,60,3,0.7142857142857143
YFK,65,3,0.6428571428571429
YFK,67,3,0.8571428571428571
YFL,22,3,0.5714285714285714
YFL,25,1,0.5263157894736842
YFL,31,3,0.42857142857142855
YFL,36,2,0.4117647058823529
YFL,72,4,0.5
YFL,81,5,0.42857142857142855
YFL,83,2,0.4117647058823529
YFL,87,5,0.5
YFL,93,2,0.29411764705882354
YFM,17,1,0.3157894736842105
YFM,26,1,0.42105263157894735
YFM,34,2,0.47058823529411764
YFM,36,2,0.29411764705882354
YFM,37,4,0.5
YFM,39,3,0.42857142857142855
YFM,41,1,0.42105263157894735
YFM,43,1,1.0
YFM,44,1,0.3157894736842105
YFM,49,4,0.75
YFM,65,1,0.5789473684210527
YFM,81,3,0.5714285714285714
YFM,86,2,0.47058823529411764
YFM,89,4,1.0
YFM,92,8,0.4166666666666667
YFP,30,9,0.6
YFP,32,5,0.5625
YFP,34,1,0.6363636363636364
YFP,36,9,0.4
YFP,39,1,1.0
YFP,80,1,1.0
YFP,86,4,0.3333333333333333
YFP,91,3,0.29411764705882354
YFP,93,2,0.47619047619047616
YFR,6,9,0.38235294117647056
YFR,19,7,0.3333333333333333
YFR,20,4,0.6470588235294118
YFR,21,6,0.3
YFR,22,1,0.6666666666666666
YFR,23,7,0.2727272727272727
YFR,28,2,0.3448275862068966
YFR,32,6,0.3
YFR,34,5,0.26666666666666666
YFR,36,8,0.43478260869565216
YFR,53,8,0.8695652173913043
YFR,62,8,0.2608695652173913
YFR,64,8,0.43478260869565216
YFR,65,7,0.24242424242424243
YFR,67,5,0.5333333333333333
YFS,27,3,0.4583333333333333
YFS,34,4,0.9090909090909091
YFS,37,1,0.4375
YFS,39,2,0.7878787878787878
YFS,45,1,0.3125
YFS,46,2,0.36363636363636365
YFS,47,9,0.27586206896551724
YFS,49,9,0.3448275862068966
YFS,50,8,0.5666666666666667
YFS,53,2,0.30303030303030304
YFS,54,4,0.36363636363636365
YFS,55,3,0.3333333333333333
YFS,56,5,0.78125
YFS,58,1,0.375
YFS,59,5,0.375
YFS,75,3,0.3333333333333333
YFS,81,7,0.5185185185185185
YFS,93,8,0.7333333333333333
YFS,95,2,0.48484848484848486
YFS,96,7,0.4444444444444444
YFT,10,9,0.7678571428571429
YFT,13,1,0.8387096774193549
YFT,14,9,0.875
YFT,22,1,1.0
YFT,25,9,0.8214285714285714
YFT,28,9,0.5
YFT,33,9,0.8392857142857143
YFT,47,2,0.6041666666666666
YFT,48,5,0.3018867924528302
YFT,50,2,0.3125
YFT,51,7,0.2558139534883721
YFT,75,3,0.38461538461538464
YFT,78,8,0.52
YFU,22,2,0.5074626865671642
YFU,23,1,0.4339622641509434
YFU,24,1,0.24528301886792453
YFU,25,2,0.7014925373134329
YFU,26,3,0.28846153846153844
YFU,30,4,0.24193548387096775
YFU,31,4,0.3225806451612903
YFU,32,1,0.2641509433962264
YFU,33,3,0.4423076923076923
YFU,34,7,0.2923076923076923
YFU,39,1,0.41509433962264153
YFU,40,2,0.7761194029850746
YFU,41,5,0.23529411764705882
YFU,43,3,0.28846153846153844
YFU,44,5,0.4117647058823529
YFU,53,5,0.3137254901960784
YFU,54,6,0.4791666666666667
YFU,56,1,0.41509433962264153
YFU,57,9,0.425531914893617
YFU,58,1,0.24528301886792453
YFU,62,9,0.3191489361702128
YFU,63,5,0.3137254901960784
YFU,66,4,0.41935483870967744
YFU,69,9,0.23404255319148937
YFU,70,9,0.2978723404255319
